input_template_name:,onroad-fuels,input_template_version:,0.1,,
fuel_id,start_year,unit,direct_co2e_grams_per_unit,refuel_efficiency,transmission_efficiency
pump gasoline,2020,gallon,8596,1,1
pump diesel,2020,gallon,10049,1,1
US electricity,2020,kWh,0,0.9,0.980907974
US electricity,2028,kWh,0,0.9,0.980907974
US electricity,2030,kWh,0,0.9,0.971319196
US electricity,2035,kWh,0,0.9,0.954851522
US electricity,2040,kWh,0,0.9,0.937276725
US electricity,2045,kWh,0,0.9,0.9282126
US electricity,2050,kWh,0,0.9,0.912149913
