"model_name","model_label","param_class","b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_BEV","lambda_PHEV","alpha_PHEV_ICE_logistic","class_share","scalingFactor","wtp_Acceleration","wtp_OpCost","wtp_hev","wtp_phev20","wtp_phev40","wtp_bev","wtp_bevRangeRel","wtp_noBEVFC","wtp_american","wtp_chinese","wtp_japanese","wtp_skorean"
"MNL_none_pref","MNL","base","-0.066***","-0.087***","-0.123***","0.079","0.017","0.133","-0.225**","0.306***","-0.262***","-0.113","-1.204***","-0.058","-0.393***","","","","","","","","","","","","","","","","","",""
"NL_NL_pref","NL","base","-0.059***","-0.074***","-0.11***","0.065","0.035","0.134*","-0.211**","0.273***","-0.238***","-0.105*","-1.086***","-0.047","-0.344***","0.756***","0.819***","0.589***","","","","","","","","","","","","","","",""
"CNL_CNL_pref","CNL","base","-0.055***","-0.072***","-0.102***","0.057","0.03","0.135*","-0.236***","0.262***","-0.23***","-0.098","-1.018***","-0.036","-0.324***","0.702***","0.78***","","3.039","","","","","","","","","","","","","",""
"LCL2_none_pref","LCL (2 cl.)","class_1","-0.195***","-0.098**","-0.18***","0.376","0.356","0.2","-0.06","0.374***","-0.06","0.082","-1.058**","-0.157","-0.316**","","","","","0.356","","","","","","","","","","","","",""
"LCL2_none_pref","LCL (2 cl.)","class_2","-0.041***","-0.097***","-0.118***","-0.034","-0.097","0.12","-0.323*","0.317***","-0.372***","-0.173","-1.417***","-0.018","-0.455***","","","","","0.644","","","","","","","","","","","","",""
"LCL2_NL_pref","LC-NL (2 cl.)","class_1","-0.033***","-0.077***","-0.101***","-0.017","-0.054","0.121","-0.219","0.262***","-0.343***","-0.169*","-1.283***","0","-0.405***","0.731***","0.753***","0.571***","","0.596","","","","","","","","","","","","",""
"LCL2_NL_pref","LC-NL (2 cl.)","class_2","-0.151***","-0.089**","-0.145***","0.197","0.224","0.152","-0.269","0.344***","-0.039","0.122","-0.837***","-0.071","-0.184","0.666***","0.738***","0.484***","","0.404","","","","","","","","","","","","",""
"LCL2_CNL_pref","LC-CNL (2 cl.)","class_1","-0.032***","-0.079***","-0.094***","-0.008","-0.056","0.139","-0.232","0.261***","-0.337***","-0.159*","-1.204***","0.008","-0.372***","0.664***","0.734***","","9.976***","0.612","","","","","","","","","","","","",""
"LCL2_CNL_pref","LC-CNL (2 cl.)","class_2","-0.127***","-0.064**","-0.12***","0.161","0.243","0.134","-0.281","0.277***","-0.028","0.106","-0.65***","-0.059","-0.14","0.472***","0.596***","","0.687","0.388*","","","","","","","","","","","","",""
"LCL4_none_pref","LCL (4 cl.)","class_1","-0.072***","-0.059","-0.09***","-0.31","-0.443","-0.196","-2.236***","0.594***","-0.272","-0.004","-1.392***","-0.203","-0.265","","","","","0.246","","","","","","","","","","","","",""
"LCL4_none_pref","LCL (4 cl.)","class_2","-0.22***","-0.12**","-0.21***","0.224","0.35","0.084","0.067","0.343**","-0.044","0.099","-0.906**","-0.048","-0.202","","","","","0.286","","","","","","","","","","","","",""
"LCL4_none_pref","LCL (4 cl.)","class_3","-0.073***","-0.098**","-0.218***","0.197","0.185","0.231","0.321","0.247**","-0.527***","-0.515*","-5.244***","-0.099","-0.72***","","","","","0.244","","","","","","","","","","","","",""
