"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-11.192339351585,-10.3366131258174,-16.4580560613462,-7.52189322119427,-11.1780001104818,-98.0274828037679,-152.655559902858,-8.42361992431643,-8.47375612555948
-27.7885606645685,-51.0865116718964,-35.936828828084,-42.911564916198,-15.258612962114,-29.539280262533,-411.224684585569,-99.9402177603997,-19.4776414590191
-62.2857511964947,-54.1011717986471,-38.1990385617882,-21.2206370459706,-46.7765135150221,-310.201569324089,-382.076751202843,-55.9109403533802,-24.3163861197385
-12.957193167003,-6.48120595488745,-5.44661198417628,-5.38772094035298,-11.203081140983,-48.7216750051236,-59.1486390825432,-4.61672280621746,-5.45203100698098
-30.1354222102917,-26.2890963243609,-11.7983275618993,-15.2244897534085,-10.2953359689165,-21.687177869061,-26.7788966185702,-53.1200522855734,-11.9102267400154
-73.5520856874235,-30.0654435500622,-58.6205551876236,-57.7724053624033,-113.684842675149,-153.501866915162,-182.907761138955,-73.8434823207623,-36.4651851336509
-7.23729204046487,-6.15349576429257,-7.7515303428033,-4.18849429306223,-7.16955476373001,-82.0945506555306,-83.0207655683304,-8.48870781635624,-4.61401391716776
-18.8458806543547,-11.8839960079238,-28.2609244006366,-13.2239572392683,-24.7663242435199,-216.460800730457,-418.533780365614,-8.0669247714824,-10.9213800631177
-7.30413412003768,-4.94781237453692,-3.11003452003255,-2.79356952417578,-5.37161657828838,-5.81320136574007,-8.1822904105367,-7.72655520385856,-3.14270951365526
-6.78482176929441,-2.4617346336127,-1.82195148770654,-2.57494179047187,-4.12529461854056,-3.9319064815453,-3.27201518276825,-4.59381140960726,-2.07915356506911
-5.86798018866981,-4.73888775017842,-1.51374462235591,-3.12815485302186,-3.19276431819872,-3.05788785789343,-0.202450142443987,-7.10351235732251,-0.678261515403709
-44.2321946347804,-27.7738642743606,-45.6428587402697,-49.2369918191628,-44.3993875190756,-76.0462590882309,-92.6889887933988,-90.5050277900563,-32.8870893018599
-10.71477775798,-15.8662719050166,-5.96692696692786,-8.27558512253627,-6.92935781657028,-3.71132318916907,-23.9801524278292,-14.2858786800069,-4.86211870212938
-8.06354894228792,-3.13822951556606,-6.38868262782387,-5.13180926578108,-4.85732506428985,-7.55773123287627,-191.800524887124,-11.345890748223,-3.79968088799379
-3.07980362700306,-2.26524374656181,-3.54550764653087,-2.86454231378828,-2.54730251227311,-8.21033754710769,-14.6444449253693,-4.90363646628103,-2.54465145786125
-21.5611293987304,-9.28368490545649,-13.6061221217636,-16.1283161464761,-16.3620609184134,-17.8281425484921,-36.6542025235839,-36.7150388226254,-10.9914142594662
-9.53221220236628,-10.6419669443303,-2.6299361196376,-6.0587990899689,-3.60125571723979,-13.1910589594808,-5.70795112840573,-12.0467049300871,-3.22982282058386
-12.6410038105432,-13.2540161237387,-8.42610820480371,-6.71213775397667,-7.24095541488908,-28.9720737223192,-18.056642838029,-15.6888980383813,-7.46319559357775
-9.08503858377932,-17.1343546078442,-2.89087637942267,-5.46082702151759,-3.07001502978784,-1.19797046503668,-5.1267688867066,-8.38499071299411,-1.88537229919539
-9.32774065547003,-3.99887742452876,-1.80001564494066,-3.80501532779009,-5.67648716291764,-4.96630235562643,-6.88009000578179,-2.09619015005264,-2.1303543992478
-14.5898679774539,-8.70656643238681,-4.16544054363907,-6.12230706285002,-12.3412865166926,-6.08518905007619,-1.91307448348591,-21.0362467534555,-2.9437447468088
-12.222493251659,-6.35074125675535,-6.48906686420004,-3.7066988061087,-8.08960385703988,-71.0090142338645,-66.4224328743957,-4.59928593398135,-4.3961009188596
-8.91626462155318,-2.81714533591376,-3.41068472712025,-4.70819172445007,-7.5457547540891,-51.915275666139,-35.9333115301177,-11.69724544973,-3.22491237045575
-17.4860919264042,-29.3374024676724,-18.0621747359624,-10.61578680261,-12.4360255370388,-314.062016339493,-416.844738706436,-15.836607259515,-11.6470075240724
-18.8545387692861,-15.8649554585803,-10.1791249885697,-8.49109839113806,-18.2186466971169,-16.7209349475805,-23.8239394516662,-17.2468854462456,-9.64719689504312
-91.2172259958757,-69.0190945841668,-45.1470093947476,-31.3027549886062,-60.440195240048,-137.02176451877,-166.376915755475,-14.5356764691762,-20.9080766672042
-55.486642904662,-109.447633004283,-48.9751808657944,-41.0770822400815,-43.2653080492089,-1465.56891390893,-1096.88844632717,-14.4942835586393,-20.8685372627625
-11.7141105352785,-24.887085109526,-46.9977162095612,-27.3786908332522,-34.2413846178569,-64.4242839728597,-153.995222451689,-39.4887431438404,-15.4015246133181
-8.82842910830832,-2.17161230059179,-3.63256845567136,-5.51194478785833,-6.67400118010717,-5.96707160299295,-2.99411622563591,-13.7738177096939,-2.78128663876643
-18.8396261117467,-11.5871192765116,-31.2263660938321,-25.4743082882378,-32.0306357499611,-195.244811165093,-534.621510573002,-32.8790127657707,-14.3854555172346
-40.2250387498847,-42.3316755556284,-11.7244928789781,-19.4266921547594,-32.8665800865471,-35.5887900514135,-3.50997177378175,-54.5653914462184,-6.20614903213725
-10.204735442828,-12.6469896224341,-8.39966329099299,-5.10026438027443,-9.73693221727993,-104.463188700412,-92.55361950141,-14.204219208827,-5.6363506882054
-120.328850325995,-140.711721551421,-41.1319729007732,-81.8027288039207,-104.920259829372,-176.054086102646,-136.91409521268,-149.211220157613,-47.7788691124492
-6.56040701679645,-4.82462179621659,-1.68980096341072,-2.54702678921699,-4.89727690316144,-5.01127081000106,-1.27011002537686,-5.27975693041972,-1.68611406213994
-11.5446281068492,-4.34927885224244,-2.12134364279601,-3.62629324116011,-7.59405730440513,-4.32786917139225,-0.592671288359873,-7.51001489811567,-1.25022840141257
-4.87076498366629,-4.2074175692471,-3.12110548979394,-4.6633715160288,-3.34170807378293,-1.64812108998984,-38.5700625854944,-10.2092321098876,-2.3789315891353
-5.37298967379241,-3.53619897473747,-2.76150266649239,-2.95674369622402,-5.00243246636295,-18.5268304404595,-2.65090736769333,-9.66519740296722,-2.91405036771013
-9.06166345304464,-9.51462994191228,-5.28748095937567,-4.68475519420292,-2.79595417858842,-117.993922893927,-80.3305228124418,-8.37693005878685,-3.4742904666363
-15.0724730993834,-12.9876207818385,-15.4813371698969,-6.28444576926015,-14.2454063582276,-95.2978202822016,-68.7249446794508,-8.55437272799687,-7.26184167481631
-24.02680052323,-16.062753678521,-4.02982779122105,-6.51312148915837,-13.3671535002342,-72.0274912547998,-2.12825682872006,-11.0230476857718,-3.23234914616043
-18.0383994908042,-15.0214039511914,-11.2067586010376,-8.30590625174081,-18.7875914299755,-16.8071392029263,-17.3561384711724,-21.8054288328729,-9.65272652419494
-3.28933922843548,-2.15660141519552,-2.92060060258366,-2.66156777250293,-4.13586564087689,-6.12400552210417,-8.4904884686512,-4.14683754495415,-2.4496591756564
-6.86633633198972,-3.82787888221418,-2.89112581869475,-3.70588150217541,-7.76989748908475,-7.40359721750696,-5.25133338224597,-8.20123610268202,-3.2249577080964
-14.0190533305991,-10.2188334226696,-8.83965456308546,-14.8674841530562,-14.5999661765199,-14.04298377427,-35.0373702163142,-7.47799026623681,-9.49402885898634
-9.68000104051721,-4.71118567200314,-2.93525342959449,-3.53810017972359,-6.63709695105879,-5.43397679454525,-5.13998024745149,-7.39152328026734,-3.28882103488896
-3.96944600746119,-3.56634531476831,-2.42544820678205,-2.41404487189446,-3.72955984025408,-38.0324316762625,-15.4722605359885,-4.58697653256124,-2.61432930149082
-7.22749028494822,-8.32447945662384,-4.80397231160519,-6.56556932228952,-14.2192993974278,-11.9733098204464,-5.12487533005279,-16.1723484086582,-5.35085338906926
-20.1207622487925,-8.08317370744135,-8.82697534860156,-11.1622980953001,-12.6372045419399,-32.1708308001119,-80.189618166125,-12.845841666991,-8.91956687560706
-4.80359141540066,-3.24317008955085,-3.73459415113129,-3.14070577447167,-2.45294856378833,-38.5576570970983,-62.4168569419804,-4.30529021250341,-2.85271125671289
-104.678597588617,-22.496701336128,-68.6125551356496,-63.2631869540223,-99.8153081898844,-67.7798935734757,-264.802383390834,-74.4631767462588,-30.1828607311788
-59.8330900789454,-48.4320324512537,-23.2296767310538,-34.0492725056346,-30.5357748817735,-39.9337944078428,-28.8569082166578,-81.0342850116977,-25.9326460117457
-22.8670280900833,-11.8653595102032,-7.5653099201143,-12.3195514361742,-16.2013869981475,-19.4399246758765,-28.2573482138001,-25.5427743521173,-8.86053077122738
-6.14044957314349,-5.1836603030909,-1.03343620251499,-2.51689236256886,-2.56309754559983,-21.4998478482643,-2.81353814369344,-2.88055447722911,-1.30685152199164
-78.4093901143581,-77.0562799272503,-78.5704176364559,-81.4072412814589,-102.030029479231,-155.181726550726,-266.60149889022,-19.1707600157044,-34.3590142810284
-5.34922217186062,-5.04916424240517,-4.52249286490684,-3.68765908449485,-4.55614696608859,-44.8889184596048,-48.354242577738,-3.26903596651612,-3.83030500802804
-44.7760120834699,-40.5909286188115,-12.7086913637819,-22.2597873937978,-20.4737297214707,-108.473981678068,-57.0925236554045,-29.0853127309927,-14.8022458321769
-28.5077210916795,-37.6187028626501,-14.0772352932899,-17.442022644961,-23.5866883836432,-96.2018592467215,-4.66035009275435,-54.6706680557562,-7.59492825423043
-9.00561597757535,-4.97052535145188,-6.71897631223941,-8.56246468598143,-9.30446012650635,-15.5824905151739,-11.4808544886233,-11.1539745516029,-5.84226485273476
-8.18424025846318,-6.4706460673581,-2.31569073747757,-3.6212157434943,-1.44097814331287,-3.81456315486448,-6.97293963411873,-7.51099449894834,-1.94605240679235
