"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.0654604769225142,NA,NA,NA,NA
"b_Acceleration_1",0.0822872724340572,NA,NA,NA,NA
"b_OpCost_1",0.170039498865266,NA,NA,NA,NA
"b_hev_1",-0.935746367406168,NA,NA,NA,NA
"b_phev20_1",-2.35289111850596,NA,NA,NA,NA
"b_phev40_1",-0.882180096378094,NA,NA,NA,NA
"b_bev_1",-3.41667484171653,NA,NA,NA,NA
"b_bevRangeRel_1",0.08464470748957,NA,NA,NA,NA
"b_noBEVFC_1",1.67825426537254,NA,NA,NA,NA
"b_american_1",-4.70099311143027,NA,NA,NA,NA
"b_chinese_1",-7.78307793213197,NA,NA,NA,NA
"b_japanese_1",-1.5957569056049,NA,NA,NA,NA
"b_skorean_1",-5.08967977045744,NA,NA,NA,NA
"lambda_ICE_1",1.52495010589131,NA,NA,NA,NA
"lambda_BEV_1",2.08516447500517,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_1",8.1014212295399,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.0817136294986189,NA,NA,NA,NA
"b_Acceleration_2",-0.168152484806154,NA,NA,NA,NA
"b_OpCost_2",-0.25304038617862,NA,NA,NA,NA
"b_hev_2",0.408365518284104,NA,NA,NA,NA
"b_phev20_2",0.411645072488575,NA,NA,NA,NA
"b_phev40_2",0.263166840905656,NA,NA,NA,NA
"b_bev_2",0.625374431595272,NA,NA,NA,NA
"b_bevRangeRel_2",0.347197869015512,NA,NA,NA,NA
"b_noBEVFC_2",-0.704843170530716,NA,NA,NA,NA
"b_american_2",-0.308721279887856,NA,NA,NA,NA
"b_chinese_2",-4.81060574795263,NA,NA,NA,NA
"b_japanese_2",0.175817999300014,NA,NA,NA,NA
"b_skorean_2",-0.458318293464946,NA,NA,NA,NA
"lambda_ICE_2",0.364948841573308,NA,NA,NA,NA
"lambda_BEV_2",1.01189865675438,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_2",0.478497350135874,NA,NA,NA,NA
"class_intercept_2",1.45524802157064,NA,NA,NA,NA
"b_Price_3",-0.105848592863774,NA,NA,NA,NA
"b_Acceleration_3",-0.114872750338366,NA,NA,NA,NA
"b_OpCost_3",-0.146542555162919,NA,NA,NA,NA
"b_hev_3",0.136124634921407,NA,NA,NA,NA
"b_phev20_3",0.187618121967845,NA,NA,NA,NA
"b_phev40_3",0.188005983333213,NA,NA,NA,NA
"b_bev_3",-0.131715586814449,NA,NA,NA,NA
"b_bevRangeRel_3",0.603344254509367,NA,NA,NA,NA
"b_noBEVFC_3",-0.218275155062337,NA,NA,NA,NA
"b_american_3",-0.115036767946718,NA,NA,NA,NA
"b_chinese_3",-0.517653877203474,NA,NA,NA,NA
"b_japanese_3",-0.087243133439958,NA,NA,NA,NA
"b_skorean_3",-0.162835953263449,NA,NA,NA,NA
"lambda_ICE_3",0.583608327318165,NA,NA,NA,NA
"lambda_BEV_3",0.53553851808553,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_3",4.97151034951855,NA,NA,NA,NA
"class_intercept_3",1.6632948024694,NA,NA,NA,NA
"b_Price_4",-0.0169044259961431,NA,NA,NA,NA
"b_Acceleration_4",-0.178689246692068,NA,NA,NA,NA
"b_OpCost_4",-0.0981135781342515,NA,NA,NA,NA
"b_hev_4",0.721145874958405,NA,NA,NA,NA
"b_phev20_4",0.415372591517922,NA,NA,NA,NA
"b_phev40_4",0.598727803537004,NA,NA,NA,NA
"b_bev_4",0.875413119949711,NA,NA,NA,NA
"b_bevRangeRel_4",0.0693368557862368,NA,NA,NA,NA
"b_noBEVFC_4",-0.69714620212944,NA,NA,NA,NA
"b_american_4",0.458999071890714,NA,NA,NA,NA
"b_chinese_4",-0.0370235328840282,NA,NA,NA,NA
"b_japanese_4",0.233532752089291,NA,NA,NA,NA
"b_skorean_4",-0.199839210676773,NA,NA,NA,NA
"lambda_ICE_4",0.771111016352708,NA,NA,NA,NA
"lambda_BEV_4",0.842144598950257,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_4",4.25266001206562,NA,NA,NA,NA
"class_intercept_4",0.92468869773172,NA,NA,NA,NA
"b_Price_5",-0.0285777942812379,NA,NA,NA,NA
"b_Acceleration_5",-0.0748602762390743,NA,NA,NA,NA
"b_OpCost_5",-0.0583122280017368,NA,NA,NA,NA
"b_hev_5",-0.572044935166462,NA,NA,NA,NA
"b_phev20_5",-0.23361040358968,NA,NA,NA,NA
"b_phev40_5",-0.281201818821182,NA,NA,NA,NA
"b_bev_5",-2.42784844385048,NA,NA,NA,NA
"b_bevRangeRel_5",0.247195217194759,NA,NA,NA,NA
"b_noBEVFC_5",-0.244256986433172,NA,NA,NA,NA
"b_american_5",-0.218375421072874,NA,NA,NA,NA
"b_chinese_5",-1.07618017564807,NA,NA,NA,NA
"b_japanese_5",-0.228971265203622,NA,NA,NA,NA
"b_skorean_5",-0.185075666584389,NA,NA,NA,NA
"lambda_ICE_5",0.765566552263661,NA,NA,NA,NA
"lambda_BEV_5",0.408594981702106,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_5",1.77770413152363,NA,NA,NA,NA
"class_intercept_5",0.980538725811941,NA,NA,NA,NA
"b_Price_6",-0.127173988324261,NA,NA,NA,NA
"b_Acceleration_6",0.176207130353484,NA,NA,NA,NA
"b_OpCost_6",-0.0649145822837564,NA,NA,NA,NA
"b_hev_6",-0.434287773514852,NA,NA,NA,NA
"b_phev20_6",-1.60313399051766,NA,NA,NA,NA
"b_phev40_6",-1.18755090512151,NA,NA,NA,NA
"b_bev_6",-2.86887793949278,NA,NA,NA,NA
"b_bevRangeRel_6",0.206780162189423,NA,NA,NA,NA
"b_noBEVFC_6",-0.34035963212102,NA,NA,NA,NA
"b_american_6",1.43639973044454,NA,NA,NA,NA
