"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-31.60121362449,-46.7094673839635,-38.4208533988932,-41.1747508100469,-15.9940439895714,-32.8971189477131,-179.720699816536,-218.505558877996,-20.6470566434986
-10.7817450660093,-6.74126453575792,-6.35050742771754,-5.67982539217501,-10.6665180737826,-7.68455795468078,-36.1434534738722,-14.643101566466,-6.26716024279431
-61.284203059588,-37.005498278104,-62.7739967882501,-59.4804498637993,-106.976644295444,-87.2259503133866,-227.068259183343,-Inf,-43.3691915595039
-39.7112964705008,-28.6353778809923,-41.9766462830104,-48.8740739697943,-44.4904894864267,-58.5832940596403,-120.258296954021,-Inf,-33.658866195497
-2.34315588019884,-2.53871309439663,-3.46129557392507,-2.89401114417701,-2.4942831134981,-3.50063756217454,-14.7095940516977,-26.6585956561815,-2.65511994811317
-17.772703822319,-11.4195922011626,-8.74745309272174,-10.4770652742537,-17.7875149303186,-14.8688549573565,-12.6903313569092,-Inf,-9.75328667423877
-7.12538600883831,-4.39334853936508,-1.44898892034078,-4.06020069172858,-5.47756566463896,-1.96019961922418,-1.41757730064584,-137.413148554877,-1.75228562282763
-20.2000675923191,-37.5915411148933,-20.1255384108319,-16.1795347960865,-24.5028846372858,-17.7740233251226,-144.478952700648,-Inf,-18.0747510465022
-8.89615702913459,-7.94071951437112,-5.3751573243719,-3.65559215282312,-7.97284359500565,-7.2779627701299,-42.8595150914043,-60.2351304120978,-4.3186823935248
-47.4404375662077,-110.515779549822,-67.460401259446,-37.1696210708568,-46.9574063771943,-47.1070919141529,-495.676394358941,-184.943705877212,-41.2606447277674
-127.937519296572,-140.860853965121,-51.7179298855241,-73.7138906147439,-104.551002620294,-66.770548469777,-181.144532669517,-Inf,-59.654434310506
-20.7951284398224,-16.8336267894509,-3.63552257356799,-6.02783952120892,-13.6177696657919,-5.49749333302158,-2.77120417163911,-46.5089618378012,-3.79796819898892
-4.91609358367212,-2.64678822228873,-1.21218380030058,-2.74130415874908,-2.95908046128765,-1.85548526966934,-2.78211392666802,-51.9479099432925,-1.61720234568786
-3.07030196901477,-3.84049830482096,-1.82689360227276,-2.25791903313438,-4.02621277184895,-3.07566081010082,-11.0259168139844,-Inf,-2.14567703594533
-70.6904584374537,-78.2658259524615,-107.843423949169,-79.70208125856,-100.019458711436,-64.3110088238358,-350.703705409617,-189.47129123226,-72.2576916811662
-4.74152959652153,-5.65489137725232,-5.34456266266977,-3.47561066047531,-4.60364115472812,-5.08468537783791,-31.2709930811797,-48.6819419321797,-3.88013802898319
-8.21924725464943,-5.29082690230026,-5.83560170546852,-8.34896118618104,-8.64257300414996,-9.04373834906418,-15.2299113634032,-206.019270593123,-6.01211210251592
-17.0038775005747,-14.6962773227464,-11.245480764976,-16.1283778433859,-10.052988504536,-4.24332161463495,-68.3683292188381,-49.917137650878,-6.02936001690422
-20.2966275234717,-11.5452041312525,-15.188140052885,-13.1438234808445,-21.6456348318238,-12.17136950527,-63.4440949787737,-383.487913982528,-12.6401693115488
-31.0999851754822,-17.3366476318021,-16.6951471597684,-34.4109999858605,-23.0411719864181,-15.3821918741142,-19.6933792759321,-404.937150473835,-17.3806814566433
-53.5721072353885,-40.9819700277074,-13.118523074625,-20.2504995357885,-34.7903706786892,-18.2685088326855,-97.2824220105812,-72.195411966908,-16.0922217255309
-3.58851827810641,-4.74281149613086,-3.82171412550144,-3.22286102466668,-1.42285457188128,-2.13417759256485,-20.0296471882841,-15.3086777249656,-1.85807468346145
-10.1310225601634,-7.58498046296652,-4.69554754553377,-8.71910285735366,-14.002694927929,-9.1390660261918,-5.75928967487572,-304.070836894432,-5.8102389258032
-27.1330581503202,-39.7530213245822,-17.7234278405574,-12.6443398572391,-28.5237433243714,-17.5023111131393,-87.2035656947034,-686.667679880723,-14.5420620152735
