"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.0730110780751201,NA,NA,NA,NA
"b_Acceleration_1",-0.0737770939590681,NA,NA,NA,NA
"b_OpCost_1",-0.494984158429297,NA,NA,NA,NA
"b_hev_1",0.798218953486813,NA,NA,NA,NA
"b_phev20_1",1.05207121278391,NA,NA,NA,NA
"b_phev40_1",0.791337603750613,NA,NA,NA,NA
"b_bev_1",1.46386282112087,NA,NA,NA,NA
"b_bevRangeRel_1",0.205091170736731,NA,NA,NA,NA
"b_noBEVFC_1",-0.560040357677877,NA,NA,NA,NA
"b_american_1",-1.5795084752302,NA,NA,NA,NA
"b_chinese_1",-5.7110043123337,NA,NA,NA,NA
"b_japanese_1",-0.22928901611184,NA,NA,NA,NA
"b_skorean_1",-0.652530473261888,NA,NA,NA,NA
"lambda_ICE_1",0.850541229833675,NA,NA,NA,NA
"lambda_PHEV_1",0.0230648568394391,NA,NA,NA,NA
"lambda_BEV_1",1.15024951611451,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.120154252856918,NA,NA,NA,NA
"b_Acceleration_2",-0.206517915990921,NA,NA,NA,NA
"b_OpCost_2",-0.248200773306726,NA,NA,NA,NA
"b_hev_2",0.0396084247615682,NA,NA,NA,NA
"b_phev20_2",-0.0703854476227805,NA,NA,NA,NA
"b_phev40_2",0.153971620751419,NA,NA,NA,NA
"b_bev_2",0.271555542777086,NA,NA,NA,NA
"b_bevRangeRel_2",0.524059246033577,NA,NA,NA,NA
"b_noBEVFC_2",-0.407298258859533,NA,NA,NA,NA
"b_american_2",0.0117609046251142,NA,NA,NA,NA
"b_chinese_2",-0.239288242477937,NA,NA,NA,NA
"b_japanese_2",-0.216317443645392,NA,NA,NA,NA
"b_skorean_2",-0.195117400663667,NA,NA,NA,NA
"lambda_ICE_2",0.434430591134047,NA,NA,NA,NA
"lambda_PHEV_2",0.304797791227088,NA,NA,NA,NA
"lambda_BEV_2",0.788317358088687,NA,NA,NA,NA
"class_intercept_2",0.794392100392338,NA,NA,NA,NA
"b_Price_3",-0.148286377644594,NA,NA,NA,NA
"b_Acceleration_3",-0.0951688284776132,NA,NA,NA,NA
"b_OpCost_3",-0.15990301626005,NA,NA,NA,NA
"b_hev_3",0.370468289803649,NA,NA,NA,NA
"b_phev20_3",0.153757386425097,NA,NA,NA,NA
"b_phev40_3",0.628271795958009,NA,NA,NA,NA
"b_bev_3",0.333811286547076,NA,NA,NA,NA
"b_bevRangeRel_3",0.301394504790268,NA,NA,NA,NA
"b_noBEVFC_3",-0.567744431915046,NA,NA,NA,NA
"b_american_3",0.528018984813711,NA,NA,NA,NA
"b_chinese_3",-4.96896595592198,NA,NA,NA,NA
"b_japanese_3",0.572498300901519,NA,NA,NA,NA
"b_skorean_3",-0.255613480920099,NA,NA,NA,NA
"lambda_ICE_3",0.695810537089826,NA,NA,NA,NA
"lambda_PHEV_3",1.08344760796578,NA,NA,NA,NA
"lambda_BEV_3",0.928197604004403,NA,NA,NA,NA
"class_intercept_3",0.782138924578676,NA,NA,NA,NA
"b_Price_4",-0.10706473236939,NA,NA,NA,NA
"b_Acceleration_4",-0.0240061504129613,NA,NA,NA,NA
"b_OpCost_4",-0.126221244959091,NA,NA,NA,NA
"b_hev_4",0.0751782543286265,NA,NA,NA,NA
"b_phev20_4",-0.0589087810327417,NA,NA,NA,NA
"b_phev40_4",0.22231720166771,NA,NA,NA,NA
"b_bev_4",-2.1246545144454,NA,NA,NA,NA
"b_bevRangeRel_4",0.954048673880089,NA,NA,NA,NA
"b_noBEVFC_4",0.164727987485549,NA,NA,NA,NA
"b_american_4",0.384094380570219,NA,NA,NA,NA
"b_chinese_4",-0.780439031484616,NA,NA,NA,NA
"b_japanese_4",0.0617144066246472,NA,NA,NA,NA
"b_skorean_4",0.182212230166869,NA,NA,NA,NA
"lambda_ICE_4",0.898789299133167,NA,NA,NA,NA
"lambda_PHEV_4",0.328744880815496,NA,NA,NA,NA
"lambda_BEV_4",0.982456491426498,NA,NA,NA,NA
"class_intercept_4",0.717817832997326,NA,NA,NA,NA
"b_Price_5",-0.0175582083637282,NA,NA,NA,NA
"b_Acceleration_5",-0.205775078527207,NA,NA,NA,NA
"b_OpCost_5",-0.039976327610236,NA,NA,NA,NA
"b_hev_5",0.678867361523693,NA,NA,NA,NA
"b_phev20_5",0.581742130078602,NA,NA,NA,NA
"b_phev40_5",0.699787116665044,NA,NA,NA,NA
"b_bev_5",0.674097491546436,NA,NA,NA,NA
"b_bevRangeRel_5",0.100444684965156,NA,NA,NA,NA
"b_noBEVFC_5",-0.486894124260228,NA,NA,NA,NA
"b_american_5",0.23962928045892,NA,NA,NA,NA
"b_chinese_5",-0.0776345671374196,NA,NA,NA,NA
"b_japanese_5",0.438960439039855,NA,NA,NA,NA
