"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-4.74907182380365,-5.03578960504071,-1.59429254611998,-7.5325167290925,-7.42017963958815,-6.29679455371847,-6.58357551031192,-264.315387584895,-2.33366408604295
-8.60806209558815,-15.6648458321122,-15.0221266394333,-13.2784585090034,-7.15013903042706,-7.81502502743516,-112.548002617511,-161.523477867329,-8.02831464399433
-39.9358699031104,-35.381258986185,-49.5544755858748,-37.8456374507595,-22.5152833652478,-35.6178757206137,-210.01962634327,-290.079204331701,-25.6666533446635
-4.75927467382774,-1.69144596890329,-4.22098378485602,-4.19917629920403,-3.24443258484583,-5.92499778217686,-2.55298035722789,-34.2497797367585,-1.98161277715319
-38.7184490180979,-11.8521439276622,-28.340316102834,-9.49403505194721,-14.6014783050085,-17.3009092912114,-46.5591733311739,-379.259426113093,-11.1334729457919
-4.04076081304687,-7.71944712387591,-7.34116912070549,-7.26451193700627,-4.5910183328013,-6.75258719869561,-45.9974192890034,-227.043469632783,-4.57955041312221
-13.2710525517887,-29.4516362914573,-17.7941569119272,-25.4240057704456,-13.9034324624166,-14.0337997030884,-160.044888643638,-9.03102497398894,-12.7304592571884
-6.20212941137933,-3.4014881608187,-6.16956022484675,-3.69643926610756,-4.83129325981264,-6.0759140047481,-7.53946318772424,-53.0584532772912,-3.73169251415006
-5.0170433695289,-2.91096759271185,-6.08976005379625,-4.16238034263685,-2.92836224007835,-4.40992982693872,-13.8758020662372,-6.80679060408029,-3.12391185906476
-4.49579846370967,-1.64008591395683,-2.05546373744081,-3.20692422225181,-2.56869292928582,-4.01435284250595,-3.31112859015325,-38.197027428137,-1.90403941661432
-6.20916341226092,-1.36117707887381,-4.12820394749991,-2.06054542959781,-3.07261754265552,-3.86654571701434,-0.139266938119164,-49.689526078106,-0.661566616372307
-18.3773583276686,-6.03288234382661,-10.112256403842,-4.56864259182478,-7.8463240013884,-7.75044249375413,-14.5482707288556,-246.005829425873,-5.33516397484905
-3.30109074203552,-5.80459657089033,-3.26242859758896,-4.88098665069583,-5.58734762533178,-5.04857343894175,-44.110669518704,-176.296810682052,-3.86581544444602
-16.7847844625917,-12.6619981778094,-8.12027237498576,-15.5063054243669,-16.7267554099106,-13.7012887678743,-28.4836243300077,-528.788939304071,-10.0045372091584
-11.4002389411617,-2.99872927054943,-10.2728139901894,-3.80805296434975,-5.94072913180397,-6.74221619500866,-9.90164145528394,-16.477738617641,-3.61413567540492
-31.4154154615939,-5.12379942600239,-22.9431435276604,-9.33718896017286,-9.49141064882791,-19.9656771326189,-17.9222096567765,-374.063687762411,-6.49091060614127
-15.0361894601187,-8.5647447969823,-15.6089325272731,-9.46068759547599,-6.00869369675699,-6.91477954872738,-28.5213849328258,-210.438024939438,-6.847195942537
-14.9427727732345,-3.2754887869739,-10.8310459920491,-1.68640248432976,-4.66015858775568,-6.06783961413628,-4.37155507372774,-29.8606418228917,-2.15402928118506
-4.37321165611396,-2.11729093855394,-4.59785862979401,-3.64256066086403,-3.96682453912857,-5.3452332965796,-10.6419038494023,-1.96029656463661,-2.4480448046123
-7.69579005575521,-3.06672971367279,-9.07131287761421,-9.07351205148293,-6.4354136044807,-9.2104547701342,-1.81907219513777,-309.962762584911,-2.88381646211825
-3.84931913690463,-2.90793659307684,-2.21797613267035,-5.26070124415415,-5.2921171087287,-6.59405881655688,-10.0992229540848,-243.94291487902,-2.68134611371823
-1.76548725474607,-1.64243848170551,-1.17731785079946,-3.42900924423518,-3.28165574311661,-2.92299457474108,-6.03293551816853,-50.9964966798168,-1.53052748150737
-21.7768759406147,-16.0013878517994,-22.0123422889972,-13.4974078485058,-9.85546160835545,-13.9657052012827,-83.6677170704357,-208.057770313202,-10.9194879982864
-18.0570414109883,-9.52963058833592,-18.4867828213249,-14.1902894241363,-8.53503144804081,-12.4153741299777,-37.713138653591,-113.946934637509,-9.5932897296075
