"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-65.3468009680143,-48.6888558369333,-45.4944513128132,-26.5243308103872,-41.9830855146915,-20.6714523064622,-153.448835480282,-125.940419075326,-24.7888629058158
-8.22264214550428,-6.1526305926151,-8.68311213061306,-8.25875752970261,-6.04044123028963,-9.10976618254115,-41.3187508154526,-3.54488899808405,-4.86878640104476
-33.576580798096,-64.1836714765438,-46.4084263121696,-99.8090493253622,-68.3296950488872,-60.2308879006562,-253.820394803396,-Inf,-44.4638573846078
-34.5328138012847,-49.7148044743233,-33.7597230124177,-54.6141330187301,-49.6852347312191,-33.4779690236476,-199.475206117969,-Inf,-37.0023491235823
-2.38086511855953,-3.15976053998421,-2.79663077381619,-2.57034150778732,-3.11711542717106,-1.97199996172712,-14.2090423671925,-26.5982104166029,-2.35852691059177
-10.2480173423017,-9.36283576847606,-14.8244408147746,-17.5104870837008,-11.2764146734551,-14.3289870123519,-15.0217490856393,-Inf,-10.2115102910481
-6.3795687353799,-1.36053086223392,-4.90279334096952,-2.89446781081581,-4.23543967442871,-5.96209062930394,-1.62124162004917,-148.719209933073,-1.69990909396956
-29.2483858257527,-15.3706717617712,-33.7504648583202,-20.2561319439184,-16.9197797351671,-18.0698709956509,-63.8364769679705,-Inf,-16.7796321673791
-6.8734472133826,-5.28221177219941,-8.43859487211972,-8.67267781404722,-4.15979211823774,-6.90382786459096,-35.8379052410342,-74.9644907872084,-4.84770306834305
-70.7564132935774,-60.5259238381473,-105.79267936153,-39.5727221037628,-39.1780040378123,-52.4793165277266,-501.328046950949,-53.4423126070093,-42.0211064049156
-148.31139511398,-43.5691447496935,-175.348440498067,-79.7198213008946,-77.3170716242698,-91.8853370517831,-223.488041078558,-Inf,-50.638664577297
-16.5520056605768,-3.58784437141308,-17.5237926783422,-9.38267586854967,-6.5362108288398,-15.0467285729,-3.94110792273071,-9.71603832436081,-4.19424347043399
-2.78638732768448,-1.36475724711329,-2.77414904313661,-2.04598097953813,-3.14008654196381,-4.40201554409814,-3.23831275008981,-45.2299323201294,-1.71829957743763
-3.48075279891995,-1.94181226575588,-3.48465508337578,-3.72651714144134,-2.44021730868712,-3.30834995030539,-12.5215984343047,-118.224075310963,-2.22374584666572
-90.2543119901002,-93.8857138605698,-99.7593718297633,-83.7561711066594,-77.0610344308799,-77.4917235632186,-485.293244888321,-307.146890745191,-83.0907498452019
-4.62716613598969,-4.67330173158978,-7.11531058581661,-4.48407089293579,-3.48216868226529,-4.10180678215224,-25.6118997808944,-40.0679933486458,-3.90131635150855
-4.16010336686416,-6.78035871991158,-7.45343966922155,-9.32442984694856,-8.37538301673641,-6.70987770970124,-20.4783625233192,-160.546733673324,-5.73337376683576
-22.5893569776778,-10.2500883448843,-15.9660077669543,-4.76389446137732,-15.9909820916475,-12.7557400102116,-37.9286182226743,-87.3699608237609,-6.54582350881649
-15.2117493586494,-12.8581764214727,-12.8110559656774,-18.1144385028027,-13.8646436571399,-17.1957541774694,-69.756189181658,-318.194364250232,-13.5798428723784
-28.8516809221741,-17.6489567919027,-19.1382172338251,-15.7764686173483,-34.2179239694053,-27.7161362560128,-25.7744480223615,-523.453068702126,-18.1486266590751
