"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.14285349078919,NA,NA,NA,NA
"sigma_b_Price",0.101365960641902,NA,NA,NA,NA
"mu_b_Acceleration",-0.190097117261997,NA,NA,NA,NA
"sigma_b_Acceleration",-0.289177206723518,NA,NA,NA,NA
"mu_b_OpCost",-0.23037172646685,NA,NA,NA,NA
"sigma_b_OpCost",-0.199372490948044,NA,NA,NA,NA
"mu_b_hev",0.0968059727129067,NA,NA,NA,NA
"sigma_b_hev",0.86138613497633,NA,NA,NA,NA
"mu_b_phev20",-0.100136906553306,NA,NA,NA,NA
"sigma_b_phev20",-0.115829569757516,NA,NA,NA,NA
"mu_b_phev40",0.122684941297842,NA,NA,NA,NA
"sigma_b_phev40",0.111863920387725,NA,NA,NA,NA
"mu_b_bev",-0.654223604815438,NA,NA,NA,NA
"sigma_b_bev",-1.68245818951971,NA,NA,NA,NA
"mu_b_bevRangeRel",0.525205688284517,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.764624765508502,NA,NA,NA,NA
"mu_b_noBEVFC",-0.46247484180805,NA,NA,NA,NA
"sigma_b_noBEVFC",-0.42301862358239,NA,NA,NA,NA
"mu_b_american",-0.256943493413449,NA,NA,NA,NA
"sigma_b_american",1.11200370473972,NA,NA,NA,NA
"mu_b_chinese",-2.3385984938482,NA,NA,NA,NA
"sigma_b_chinese",-2.26615912510643,NA,NA,NA,NA
"mu_b_japanese",-0.16277826814882,NA,NA,NA,NA
"sigma_b_japanese",0.64646005468904,NA,NA,NA,NA
"mu_b_skorean",-0.712704996442506,NA,NA,NA,NA
"sigma_b_skorean",-0.831074948181637,NA,NA,NA,NA
