"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.137471757536405,0.0047476258555804,-28.9558953713295,0.00801790261006439,-17.1456008163338
"sigma_b_Price",0.111026980596312,0.00498752450800929,22.2609393533842,0.00840868540708979,13.2038452173154
"mu_b_Acceleration",-0.170517796606811,0.0153448334731457,-11.1123914707336,0.0286335454932923,-5.95517577963778
"sigma_b_Acceleration",-0.248351171740932,0.0209140499460075,-11.8748483618469,0.0430598571777013,-5.76758001579117
"mu_b_OpCost",-0.225238340057438,0.0113774391430992,-19.7969276938785,0.0198547774475003,-11.3442893355521
"sigma_b_OpCost",-0.200873512984609,0.0137325541737774,-14.6275420029422,0.0230003223608455,-8.73350859319105
"mu_b_hev",0.0751720003368835,0.0820500520158844,0.916172488499223,0.143646196118743,0.523313546533064
"sigma_b_hev",0.713438589964343,0.119011594618675,5.99469818256174,0.19718899567177,3.61804464561446
"mu_b_phev20",0.0256685264084132,0.078164312504262,0.328391891210116,0.140297810822392,0.182957426476938
"sigma_b_phev20",0.342300723024687,0.211425314346632,1.61901484731145,0.667461730672732,0.512839474226759
"mu_b_phev40",0.19813699464487,0.0763055600620581,2.59662591407137,0.133364379258463,1.48568152715558
"sigma_b_phev40",-0.0140619402803138,0.164944162794532,-0.0852527306336416,0.271034298662036,-0.0518825121017183
"mu_b_bev",-0.426582972838951,0.0918847468034163,-4.6425874552564,0.186122561160617,-2.29194660861573
"sigma_b_bev",-1.70359843840002,0.0818152505945383,-20.8225046799985,0.16258403547029,-10.4782639542203
"mu_b_bevRangeRel",0.586549127156158,0.0384283935890535,15.2634308222355,0.0629167925168309,9.32261648588093
"sigma_b_bevRangeRel",-0.757134931314362,0.046802183842116,-16.1773419349085,0.0830965608934054,-9.11150742189679
"mu_b_noBEVFC",-0.515097982356929,0.06565558258419,-7.84545597012136,0.0955473435782268,-5.39102358125956
"sigma_b_noBEVFC",0.642519171588495,0.108165959721609,5.94012361414046,0.19751133441412,3.25307493615192
"mu_b_american",-0.126652695241145,0.0706502203336795,-1.79267233198944,0.114786732074881,-1.10337399585975
"sigma_b_american",0.954711969031799,0.0871901553572104,10.9497679539671,0.153121501441833,6.23499613079793
"mu_b_chinese",-2.33081685503707,0.113002358705544,-20.6262672897882,0.194224729675058,-12.000618350385
"sigma_b_chinese",-2.23724034549306,0.110194155951033,-20.3027132081962,0.174615601020284,-12.8123737651206
"mu_b_japanese",-0.0356475249609513,0.069140332794119,-0.51558220101572,0.11654213750341,-0.305876704551676
"sigma_b_japanese",0.890912251452075,0.0807117823489801,11.0381932541146,0.1307000525323,6.81646437159542
"mu_b_skorean",-0.643144188193788,0.0716472865738183,-8.97653238453289,0.125341877298763,-5.13111979853948
"sigma_b_skorean",-0.891439664595861,0.0934976127936223,-9.53435748743169,0.179551118734831,-4.9648237832056
