"model_name","cores","inter_draws","intra_draws","batch_number","sys_elapsed_seconds","proc_user_seconds","proc_system_seconds","proc_elapsed_seconds","proc_total_cpu_seconds","timestamp"
"MXL1k_none_pref",1,1000,0,1,2.58768529891968,2.0176,0.5547,2.58769999999986,2.5723,"2025-11-05 17:37:48.206"
"MXL1k_none_pref",1,1000,0,2,2.60740144252777,2.0394,0.552200000000001,2.60740000000005,2.5916,"2025-11-05 17:38:14.085"
"MXL1k_none_pref",1,1000,0,3,2.56552360057831,2.0187,0.5316,2.56550000000007,2.5503,"2025-11-05 17:38:40.159"
"MXL1k_none_pref",1,1000,0,4,2.58583920001984,2.021,0.549299999999999,2.58589999999986,2.5703,"2025-11-05 17:39:05.816"
"MXL1k_none_pref",1,1000,0,5,2.58665242195129,2.0159,0.555500000000001,2.5866,2.5714,"2025-11-05 17:39:31.675"
"MXL1k_none_pref",1,1000,0,6,2.58149726390839,2.0338,0.5321,2.58150000000005,2.5659,"2025-11-05 17:39:57.543"
"MXL1k_none_pref",1,1000,0,7,2.58715164661407,2.0237,0.548099999999999,2.58719999999994,2.5718,"2025-11-05 17:40:23.359"
"MXL1k_none_pref",1,1000,0,8,2.56616938114166,2.0125,0.5384,2.56610000000001,2.5509,"2025-11-05 17:40:49.231"
"MXL1k_none_pref",1,1000,0,9,2.57556328773499,2.0169,0.543299999999999,2.57549999999992,2.5602,"2025-11-05 17:41:14.894"
"MXL1k_none_pref",1,1000,0,10,2.59920196533203,2.035,0.5486,2.59920000000002,2.5836,"2025-11-05 17:41:40.651"
"MXL1k_none_pref",1,1000,0,11,2.55968203544617,2.0107,0.5337,2.55969999999998,2.5444,"2025-11-05 17:42:06.644"
"MXL1k_none_pref",1,1000,0,12,2.57555649280548,2.0081,0.551900000000001,2.57559999999994,2.56,"2025-11-05 17:42:32.242"
"MXL1k_none_pref",1,1000,0,13,2.58203058242798,2.02950000000001,0.536799999999999,2.58199999999997,2.56630000000001,"2025-11-05 17:42:57.998"
"MXL1k_none_pref",1,1000,0,14,2.55911819934845,2.0028,0.541,2.55910000000004,2.5438,"2025-11-05 17:43:23.819"
"MXL1k_none_pref",1,1000,0,15,2.55538108348846,2.0145,0.5256,2.55540000000001,2.5401,"2025-11-05 17:43:49.411"
"MXL1k_none_pref",1,1000,0,16,2.56092557907105,2.01470000000002,0.5309,2.56089999999986,2.54560000000002,"2025-11-05 17:44:14.966"
"MXL1k_none_pref",1,1000,0,17,2.56652941703796,2.01519999999998,0.5351,2.56650000000009,2.55029999999998,"2025-11-05 17:44:40.576"
"MXL1k_none_pref",1,1000,0,18,2.58145365715027,2.01719999999998,0.5489,2.58149999999987,2.56609999999998,"2025-11-05 17:45:06.243"
"MXL1k_none_pref",1,1000,0,19,2.56730141639709,2.0127,0.539599999999999,2.56730000000007,2.55229999999999,"2025-11-05 17:45:32.058"
"MXL1k_none_pref",1,1000,0,20,2.57144677639008,2.01089999999999,0.545200000000003,2.57139999999999,2.55609999999999,"2025-11-05 17:45:57.732"
"MXL1k_none_pref",1,1000,0,21,2.58746752738953,2.02840000000001,0.543699999999998,2.5875,2.57210000000001,"2025-11-05 17:46:23.448"
"MXL1k_none_pref",1,1000,0,22,2.57307868003845,2.0104,0.547400000000002,2.57309999999998,2.55780000000001,"2025-11-05 17:46:49.324"
"MXL1k_none_pref",1,1000,0,23,2.57216267585754,2.01379999999999,0.543300000000002,2.57219999999998,2.55709999999999,"2025-11-05 17:47:15.056"
"MXL1k_none_pref",1,1000,0,24,2.5842294216156,2.03970000000002,0.5292,2.58419999999987,2.56890000000002,"2025-11-05 17:47:40.778"
"MXL1k_none_pref",1,1000,0,25,2.569642162323,2.0123,0.541899999999998,2.56970000000001,2.5542,"2025-11-05 17:48:06.622"
"MXL1k_none_pref",1,1000,0,26,2.58154730796814,2.02549999999999,0.5404,2.58150000000005,2.56589999999999,"2025-11-05 17:48:32.319"
"MXL1k_none_pref",1,1000,0,27,2.58864004611969,2.01660000000002,0.556,2.58859999999986,2.57260000000002,"2025-11-05 17:48:58.135"
"MXL1k_none_pref",1,1000,0,28,2.5817765712738,2.01889999999999,0.547400000000002,2.58170000000009,2.56629999999999,"2025-11-05 17:49:24.023"
"MXL1k_none_pref",1,1000,0,29,2.60286536216736,2.03870000000002,0.549199999999999,2.60289999999986,2.58790000000002,"2025-11-05 17:49:49.842"
