"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_scalingFactor",0.136715483182572,NA,NA,NA,NA
"sigma_scalingFactor",0.067576736787697,NA,NA,NA,NA
"mu_wtp_Acceleration",-1.24920503206888,NA,NA,NA,NA
"sigma_wtp_Acceleration",1.68840025199842,NA,NA,NA,NA
"mu_wtp_OpCost",-1.60913347783621,NA,NA,NA,NA
"sigma_wtp_OpCost",-1.45442466108111,NA,NA,NA,NA
"mu_wtp_hev",1.03061021570462,NA,NA,NA,NA
"sigma_wtp_hev",-5.43192034012038,NA,NA,NA,NA
"mu_wtp_phev20",-0.366034746330359,NA,NA,NA,NA
"sigma_wtp_phev20",1.24807558751653,NA,NA,NA,NA
"mu_wtp_phev40",1.46011332103077,NA,NA,NA,NA
"sigma_wtp_phev40",-2.26518661585438,NA,NA,NA,NA
"mu_wtp_bev",-4.7753864487237,NA,NA,NA,NA
"sigma_wtp_bev",13.2858922018815,NA,NA,NA,NA
"mu_wtp_bevRangeRel",4.45163361863119,NA,NA,NA,NA
"sigma_wtp_bevRangeRel",5.38268009292793,NA,NA,NA,NA
"mu_wtp_noBEVFC",-3.49395785299029,NA,NA,NA,NA
"sigma_wtp_noBEVFC",2.96694358622502,NA,NA,NA,NA
"mu_wtp_american",-0.520100027915631,NA,NA,NA,NA
"sigma_wtp_american",7.40832169193908,NA,NA,NA,NA
"mu_wtp_chinese",-19.5668430350552,NA,NA,NA,NA
"sigma_wtp_chinese",-19.7288184497344,NA,NA,NA,NA
"mu_wtp_japanese",0.0222975684972107,NA,NA,NA,NA
"sigma_wtp_japanese",-4.52853462706149,NA,NA,NA,NA
"mu_wtp_skorean",-4.58022112825832,NA,NA,NA,NA
"sigma_wtp_skorean",6.43630492125584,NA,NA,NA,NA
