"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price",-0.0525301010762473,NA,NA,NA,NA
"b_Acceleration",-0.0675586153937266,NA,NA,NA,NA
"b_OpCost",-0.0938509316449575,NA,NA,NA,NA
"b_hev",0.079946131105043,NA,NA,NA,NA
"b_phev20",0.0317739504506295,NA,NA,NA,NA
"b_phev40",0.18760972434796,NA,NA,NA,NA
"b_bev",-0.232443374608182,NA,NA,NA,NA
"b_bevRangeRel",0.220440223549578,NA,NA,NA,NA
"b_noBEVFC",-0.229488814258725,NA,NA,NA,NA
"b_american",-0.0733016317996131,NA,NA,NA,NA
"b_chinese",-0.96851071004055,NA,NA,NA,NA
"b_japanese",-0.0403922181011411,NA,NA,NA,NA
"b_skorean",-0.334031784473178,NA,NA,NA,NA
"lambda_ICE",0.652048575550983,NA,NA,NA,NA
"lambda_BEV",0.730566288071493,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic",1.87567226504943,NA,NA,NA,NA
