"row_num","gen_method","b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_BEV","alpha_PHEV_ICE_logistic","LL1","LL2","LL3","LL4","LL5","LL6","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
1,"beta_var_val",-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,-9336.048053076,-9285.91722293971,NA,NA,NA,NA,NA,3.35649808033237,NA,NA,NA,NA,0,"pruned_test1_too_close",86,1,-9285.91618511744,1,"best",4
2,"logit_random",-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.885853732856922,0.48685960337054,-0.324488586681244,-14319.6556881895,-9326.16270461534,NA,NA,NA,NA,NA,122.373731987368,NA,NA,NA,NA,0,"pruned_test1_too_close",36,1,-9325.46589569831,3,"test0_worse_conv",36
3,"logit_random",-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,0.67419874003157,0.215430199909024,-0.0596403474825378,-15679.4661846043,-9438.80265624966,-9285.93997125737,NA,NA,NA,NA,2738.2865092616,16.7713393551656,NA,NA,NA,0,"pruned_test1_too_close",69,1,-9285.92252182874,3,"test0_worse_conv",94
4,"logit_random",-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,0.701687556202523,0.36959819230251,0.0499317621628665,-12176.212833384,-9286.78259583206,-9285.91618511744,-9285.91618511744,-9285.91618511744,-9285.91618511744,NA,21.393100203256,0.0633587293380703,NA,NA,NA,1,"best",0,1,-9285.91618511744,1,"best",4
5,"logit_random",-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.221902657710016,0.742886021682061,0.542922506748234,-15379.6125190439,-9313.03374038494,-9285.9162147214,NA,NA,NA,NA,230.640736336263,1.02651692184863,NA,NA,NA,0,"pruned_test1_too_close",4,1,-9285.91618511744,1,"best",4
6,"logit_random",-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,0.624987461329438,0.140049960147589,0.848245055460688,-25077.1735663726,-9463.01241939943,-9286.14103398613,NA,NA,NA,NA,2396.4588991497,180.014274212635,NA,NA,NA,0,"pruned_test1_too_close",17,1,-9285.92252182874,3,"test0_worse_conv",94
7,"logit_random",-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,0.479549244437367,0.521739922864363,0.352578827432083,-11452.8430591343,-9285.92360441429,NA,NA,NA,NA,NA,10.1021448223942,NA,NA,NA,NA,0,"pruned_test1_too_close",26,1,-9285.91618511744,1,"best",4
8,"logit_random",-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,0.857346800053492,0.610036411811598,0.251978788945443,-13526.1670989308,-9286.20099786982,NA,NA,NA,NA,NA,275.549192591058,NA,NA,NA,NA,0,"pruned_test1_too_close",34,1,-9285.91618511744,1,"best",4
9,"logit_random",0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,0.637746538082138,0.845757617191412,0.229343515010235,-19622.7429655312,-9286.18884369706,-9286.05532560877,NA,NA,NA,NA,170.91430951554,0.00117836734659341,NA,NA,NA,3,"test0_worse_conv",0,1,-9286.05532560877,3,"test0_worse_conv",9
10,"logit_random",-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,0.161469025830738,0.297850301484577,0.667053308916823,-13596.9875398905,-9303.46746490592,-9285.91619538184,NA,NA,NA,NA,1230.00393090245,1.58339780198481,NA,NA,NA,0,"pruned_test1_too_close",4,1,-9285.91618511744,1,"best",4
11,"logit_random",-0.0417809629912746,-0.125698268753003,-0.269967530623023,0.151437675894396,0.0111494948484412,-0.104761992242752,-0.251729757074729,-0.306753575555337,-0.320560748428287,-0.134548953657592,-2.56519973957376,-0.0240609370063418,-0.848475616178635,0.318303458578885,0.365497044525109,0.209598066618987,-16225.8162137606,-9294.60694650275,-9285.91618600211,NA,NA,NA,NA,314.716216224278,0.15857567599251,NA,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
