"Class_1","Class_2","model"
-4.32124650194357,-3.75668797951605,-4.00465222535072
-7.30234958417901,-19.5956251493501,-7.54667122634159
-25.4973703047991,-42.426832844603,-26.2689703801772
-3.18566174285776,-1.60075799960861,-1.787733335805
-13.9800681070795,-13.1937319629566,-13.5851836113584
-4.50960200970698,-7.82495777367299,-4.61566731969322
-12.6851733401217,-35.7987211072276,-13.1853398763289
-4.26114799546773,-3.60776482208736,-3.82178833713638
-2.79853340300363,-3.48742754173789,-2.89977712500467
-2.45098104656732,-1.63060504486259,-1.80763103771961
-2.63888641292254,-1.11451620518123,-1.2962432070132
-6.73782467653924,-5.75808185440192,-6.09132781213609
-3.98109508376116,-7.11564447923815,-4.20534309927446
-12.919449614003,-11.4867964384312,-12.120715958092
-4.62733107621239,-2.82306462839739,-3.23871432914357
-11.0786699068625,-6.36725337134583,-7.24346986058282
-6.5216650319115,-9.20039298293067,-6.73913756564835
-4.67875889377514,-2.96884171799099,-3.20403682069521
-3.08948952953198,-2.54852363461688,-2.74059747514695
-6.32564421265513,-2.95415938888161,-3.34986941651647
-4.19371768184056,-2.7165916979325,-2.9814700076328
-2.27537098631088,-1.80991386429018,-1.97993796431393
-10.7838513105378,-21.2037627330951,-11.0444692834484
-9.07806586317972,-10.8836411712919,-9.3644550284909
-35.7620108125886,-61.1150860356194,-36.8436473803437
-4.82631497140301,-5.0454155162015,-4.89402099354174
-21.1697105276766,-52.4877609045031,-21.8048405471895
-4.09699922713567,-2.80974348682998,-3.16542283883888
-17.8560369376796,-35.9370804640849,-18.7970054136044
-21.3397950280043,-9.64614229643695,-10.6757791259461
-6.15925502657316,-8.7584384342957,-6.29286508929793
-3.83758512102519,-2.13962148116234,-2.39085500403386
-3.03997274596148,-1.32896047351323,-1.51077552504655
-3.67036365052125,-1.54395791604642,-1.79589825802721
-2.8553401662818,-3.01720157929871,-2.90972709797227
-2.79554632401875,-1.98369358333689,-2.16498912422876
-3.55372464302338,-7.33308936765811,-3.72789898352381
-7.96533014111215,-20.254518207838,-8.20931149665715
-10.4882376979717,-9.81560691717515,-10.1328169543887
-2.30662087623578,-3.58245490472623,-2.40948665720453
-3.73858789363456,-2.69667803794893,-2.92558396003747
-10.8416886569266,-11.6433949750175,-11.0912805593093
-3.71803213101298,-2.98701750476403,-3.21117117009565
-6.3630728464313,-4.56097992656898,-4.97606154149136
-8.72782956538425,-11.5833305851262,-9.0875112657851
-2.54216356535575,-5.22676413902431,-2.64822859003625
-50.9114145104977,-78.8702593312096,-53.4762196924442
-31.3294262282262,-20.0905782077469,-21.9841075288872
-10.0374990903468,-10.2779665278332,-10.1274183991241
-2.49343730920515,-1.22792275326417,-1.41438618386203
-53.6986901934335,-25.7747286015241,-29.5572332678682
-6.67514760643464,-2.38494500696605,-2.84455443676079
-18.8887926463386,-17.2107669761798,-17.9937059038928
-19.2367059435258,-9.94630740193689,-11.0657894080075
-2.97177341388549,-2.92196388588354,-2.95054853406985
-11.6099531167502,-5.30904963205609,-6.18923456477113
-3.29277917227073,-2.23924398355279,-2.48232658552961
-14.7752743704255,-7.24897900766417,-8.16611600973753
-9.58364060915708,-9.60041396594777,-9.59035966707296
-9.21132237227994,-15.3145388792445,-9.71327898171529
-1.96674518135733,-0.772921773280405,-0.95403723367761
-4.94389408242352,-1.55415149533251,-1.95084397759089
-7.38112414042424,-9.48033973882975,-7.79231169091254
-20.963227626313,-40.4900267632009,-21.9042297489165
-5.88330994258468,-12.6654620000313,-6.17929606806253
-2.88876739452522,-3.91970213741181,-2.99108478403821
-44.6254816820405,-46.4820460853329,-45.2370722639147
-14.0809719049149,-35.6487356439384,-14.7161019036627
-6.64902633066576,-12.0950209830363,-6.78280020862898
-3.05350197084248,-5.92681601306683,-3.15659638122408
-3.71166468896989,-1.31107530625031,-1.69347562925494
-4.11719424592498,-3.64817139857142,-3.86434697264521
-29.7540241630141,-44.6234568765778,-31.0432819570027
-5.42291631935553,-5.39081024168849,-5.40961553502932
-58.0910611039269,-38.5524561534153,-42.9525215655432
-7.7181277264203,-10.7292353543377,-8.04394226378172
-3.04725537858968,-1.59208305928739,-1.77375008989733
-36.0063460244477,-69.0063030370466,-37.0879903907121
-13.589783584003,-31.2912543945953,-14.1101544405929
-8.28742964238975,-13.3356805992024,-8.53140355017626
-11.8255152490753,-7.14052193626707,-7.78910953578305
-6.14555522709801,-8.3318080336297,-6.38639870937033
-19.440977642195,-37.826863396384,-20.2556324387853
-5.31381812092563,-8.61395047013364,-5.61726458120855
-4.3020535383595,-1.95650259470491,-2.3504768266429
-9.55603469205778,-5.02139217060658,-5.6696269890108
-7.31111976212223,-5.27021422151822,-5.71691269645906
-25.1126038588872,-14.5449944661398,-16.7727598554698
-3.32836252129175,-4.56538935842153,-3.46050524365101
-20.9623804490487,-11.9010629794788,-12.9301930338985
-2.38458162601902,-2.4200554065586,-2.39814325231384
-2.98386809609774,-1.0410537183083,-1.22290794845078
-16.3543398848319,-14.3366497482998,-15.1449515750711
-2.09516256251725,-1.10812341351637,-1.28787495249206
-2.46124924252729,-0.876613078844385,-1.05837783289456
-10.1608623327396,-14.3211727164601,-10.5279404821936
