"Class_1","Class_2","model"
-52.8439954884744,-74.1072012003849,-54.9753682621494
-2.44673235959714,-1.66264762816015,-1.83872193892854
-6.79813748770362,-5.81007568513313,-6.14443987261606
-6.39679142017872,-3.06972630596994,-3.46540322065746
-4.13594345371052,-7.75877807120027,-4.31011752125895
-10.7448043026576,-20.9053957868086,-11.0054246561188
-9.11830163666881,-10.77673478648,-9.39955517865854
-3.51856790776818,-7.19124611613031,-3.6927426648426
-10.5523902494171,-10.0312327191148,-10.2916397553563
-2.2483124303592,-1.35411168491552,-1.57811679092566
-10.5488309871247,-11.8480456128934,-10.8919486170017
-2.51456062605003,-5.12118806087346,-2.62062648177455
-51.2068766159054,-81.0928731080646,-53.7757180779715
-3.22553800694086,-6.00573951523569,-3.33160411176298
-14.8083403600849,-7.60283502142278,-8.51964153574517
-9.18179851843209,-15.7294604682923,-9.68422324099469
-20.5072722074687,-13.1100986016355,-14.7802264361607
-21.0352146972943,-41.9184306330798,-21.9762400241792
-5.8251001306072,-12.8786859316346,-6.12109004244438
-44.3223445693656,-47.7021207114396,-45.2607371240211
-22.5078629053525,-21.7562703746983,-22.1686481477314
-7.76176438784163,-11.1807274402571,-8.08940882510513
-11.887235595848,-7.36188890396287,-8.01009441585073
-2.38198524247847,-2.2447322065622,-2.31541010910267
-10.0310157570903,-14.6925330249178,-10.3988176337076
-8.13866070739477,-9.06374137776133,-8.34732859763889
-3.79386083758984,-7.60486865165295,-3.94564038612958
-3.95295680703024,-1.87799965097943,-2.12989894856249
-4.97613022688918,-4.20846840434489,-4.50318214394805
-4.84538376593154,-9.57861886358545,-5.06335994417552
-14.5672401370569,-5.59226864194142,-6.71145910205055
-13.6951527752176,-10.7271095585188,-11.5689307340122
-15.5975745396118,-25.5613628843911,-16.181146960886
-8.98235993500424,-6.23345585746378,-6.80231051676556
-4.37274689823043,-8.27879172896211,-4.51392629908871
-10.0814219748654,-13.0149762765326,-10.3055432843746
-2.15495945688022,-2.47568167172585,-2.23260932325774
-2.89044317344506,-2.77761627927587,-2.83738143077144
-2.21045265470871,-1.41764865402107,-1.59396683888981
-8.1595026163475,-7.85677072066884,-8.01850939620666
-2.09043816705546,-3.51583858572383,-2.19636842708991
-16.2249732238958,-21.8510592070851,-16.7303481126267
-1.92339088087357,-1.92661767931162,-1.9246845050527
-5.51519887129801,-2.59938427798847,-2.85150345250847
-8.99044539117717,-9.63199415719289,-9.17204174970134
-8.84811612446775,-13.9876270845656,-9.21626398904954
-9.60688621072942,-13.6507646162599,-10.0997113125282
-6.23455076905231,-7.37334854687802,-6.49975913339003
-12.970017519083,-8.17722696639615,-9.08232480194886
-16.0641897665985,-21.2021864422293,-16.5640146369657
-43.2141010905574,-36.0988791779463,-38.6001215788023
-62.1087092130897,-29.8624875875539,-34.3975439288405
-11.3353478508437,-16.0483536693379,-11.8493538599095
-2.82794638743531,-6.70633764669902,-2.93104181683866
-3.95367097824172,-2.77539161992893,-3.00706141319768
-3.04257801745992,-3.07950353496254,-3.05664188370917
-12.5665939540776,-9.53949687404571,-10.5125378167334
-3.1251481425817,-7.21058019238727,-3.22824357231441
-5.79729179877837,-2.92071106217056,-3.30455397522103
-8.55666769307056,-14.25350388023,-8.80064938545395
-21.1817547605034,-37.1405004964478,-22.1225966415737
-2.22091498111704,-1.75735210985519,-1.93575021712606
-3.03811848471885,-5.16158786032094,-3.17168909248449
-7.04766122386307,-9.01771714113146,-7.3014024275996
-5.44602610434679,-7.85315602559585,-5.66932997022522
-5.23495019927486,-4.95399797015443,-5.09943592221552
-4.38568961733406,-4.9560001919439,-4.52015435816039
-6.25646561607896,-10.1856159315212,-6.48145268911755
-2.41739895849392,-2.3981092684433,-2.40940428483953
-2.14402644291824,-2.47384840610667,-2.22274190174578
-3.31666471699133,-2.17893138400721,-2.3900373645961
-81.4651374582215,-164.288931805971,-84.0425229903322
-12.5762606810485,-10.4496017939399,-11.3147402939887
-14.9270089916708,-18.4419386492241,-15.5556244704166
-7.1327987452023,-15.7059320820145,-7.42879032123367
-5.68256515345045,-6.39680543395721,-5.84960263886353
-17.1404254851014,-7.77254700591898,-9.4167125911495
-5.05212776237882,-3.40491793374685,-3.77220964519384
-5.62306799148433,-3.33334361981843,-3.7192131089007
-62.3532082950883,-139.288488503806,-64.5016549742607
-3.24446780598049,-2.65437804241248,-2.85337244062455
-2.88882060755675,-2.62359538221768,-2.74524824070196
-16.3006140036522,-22.482138468573,-16.8268815829765
-6.0359072665793,-4.4557531908959,-4.93507509385631
-40.4520507788575,-54.059274269174,-41.5315458781919
-16.4688700099614,-5.85513714772091,-6.99381611300031
-4.83255474649587,-4.21045699191263,-4.47220825896444
-7.69351222506075,-9.28579803106868,-7.96580561367167
-18.7225942448702,-21.4261858343266,-19.1900836876519
-13.0281670550729,-17.7858152132263,-13.4060475683296
-4.97004360320491,-6.04097851340103,-5.1347778855465
-69.6697382359896,-140.27778205689,-72.2471215008503
-33.8176377136297,-42.0434226680778,-35.1909610662861
-45.5463108078818,-98.8346240290215,-47.02852715262
-16.5941629273636,-14.3759631539717,-15.3704902904123
-14.9816586146984,-27.0210779837001,-15.311357232813
-3.6775938008401,-1.91010986884396,-2.14567898159175
-4.95687028843117,-7.49041680813579,-5.1804675993272
-3.06347457687359,-1.88411182239077,-2.11579836699805
-18.0932471698449,-18.9407635761659,-18.3922014200791
-25.1607109548187,-62.2475643985619,-25.9926857482233
-8.49685640504972,-5.19058426657364,-5.84656007165833
-7.88918773709041,-14.4574069063206,-8.26776521659036
-5.10413784894034,-5.92255360830688,-5.31383695302607
-16.3267815779496,-6.564060014345,-8.21131138881721
-4.94976042225796,-4.18472415605962,-4.48183767174033
-6.71656380793733,-8.82056269035908,-6.9718976981436
-2.55180213618179,-2.88529063305637,-2.64118097787773
-5.64998988212126,-8.99859089783452,-5.87487602196591
-11.2440746341739,-18.0989163499443,-11.4685442487888
-7.23180160605123,-5.85625483866556,-6.24976639734671
-9.37254717539942,-19.8968961332036,-9.6775022163403
-10.0026561698684,-18.353034670072,-10.2632765010915
-7.20209668730312,-9.10869110502963,-7.4404297506186
-2.63745118488212,-1.41739157774006,-1.59859852328477
-5.63059089537944,-11.7134897880402,-5.85506030086485
-2.39988268810765,-1.41002493457966,-1.58980462305627
-4.82943878753361,-11.4769072312111,-4.9325342174478
-13.4709653136645,-8.22338910176695,-9.15975566148159
-3.25886063392134,-2.7876189678707,-2.94319104356951
-13.2666452189326,-17.715214876747,-13.7933357461573
-2.91918547831488,-3.70419169941996,-3.03484501187023
-5.22002632177277,-8.36452334077694,-5.43471664437954
-17.2447910370886,-22.9527609871899,-17.8718681293837
-39.0012981422687,-22.3984125636561,-24.3148607521678
-5.01993499159325,-5.04216066490712,-5.0287709450649
-3.36336316013708,-3.30007029976967,-3.3359858467137
-23.7287519994483,-34.8480576933081,-24.3844468036482
-5.36868903118074,-4.60825976518398,-4.89789026595155
-54.6578968155332,-81.5615385839177,-57.2197795019145
-4.92218582382987,-2.85434930176465,-3.30502556833393
-9.94006064080594,-12.1561449728466,-10.3588506798679
-19.7213732175324,-58.6633751545007,-20.3565090391166
-11.9285071506942,-8.71047085216565,-9.88133446174859
-7.33353311637998,-3.38061883789855,-3.96028062876544
-45.3663816601572,-86.4860441554678,-46.8485968280515
-15.9990039914866,-11.0002942720171,-12.1054862164453
-2.95883427913047,-2.00212955709117,-2.22842991491237
-17.0088792262821,-8.80229558012577,-9.96139001028803
-17.6531745033125,-10.5363268881575,-11.7498815935965
-6.69607828682499,-5.10474461861635,-5.47852538073582
-6.19711515104291,-4.70525870367072,-5.12987524673361
-15.0173665099949,-17.582103463608,-15.5585182740654
-16.3341383971745,-20.3624351794564,-16.9565873844961
-15.3867816048764,-18.0836511254279,-15.9451430735264
-3.05113386668552,-3.9077901108928,-3.16824232569988
-6.23093897500221,-11.8858704499177,-6.45136557065188
