"Class_1","Class_2","model"
-4.23533327286083,-3.90181484756798,-4.06631902680653
-27.7872798052993,-34.1411589468563,-28.8324219420527
-24.4087710447197,-39.9402603029496,-25.2042974264154
-5.35916812903141,-7.30141758831928,-5.53799615027162
-14.4942752974494,-12.6908156051117,-13.3579357549541
-47.9581746358066,-72.2385190782076,-50.1646587720959
-4.36723442954807,-7.73382882642087,-4.4765914355768
-3.91186504486871,-3.27853194537793,-3.48505203059808
-2.60828618503772,-1.10449105330513,-1.28155678507737
-33.1655663151614,-44.7633932047266,-34.8747477722778
-6.78819843803306,-5.14815096718276,-5.52066699772386
-3.90879143048519,-6.0385977879637,-4.13793608824145
-11.966723471962,-11.5277170569923,-11.7647736675182
-9.79808615905574,-9.74954023500683,-9.77762435259533
-4.73909192773658,-3.04882099781619,-3.45008797490086
-4.7052607002242,-2.58711498546066,-2.81670081550054
-3.44779088282158,-1.17194065391966,-1.40157407130401
-16.3339165441094,-16.6867497259541,-16.4663449028575
-6.10156811981306,-3.19732788390957,-3.58240261030428
-3.99003036326756,-7.23239566335119,-4.169597272216
-2.07097948126529,-1.84362485360367,-1.95013269774766
-10.0439255839835,-16.4056751470593,-10.3126305115693
-9.25598012228013,-10.7277978648121,-9.53688561516337
-34.9941961071425,-59.9839734992526,-36.1093991714414
-4.98780111493663,-4.75652880600916,-4.8669951089805
-34.3937678917997,-68.8824933595286,-35.5089807517469
-17.1371614468311,-34.980536577253,-18.1073230416232
-21.2484126821644,-10.0693639052378,-11.0726360487562
-6.4419684676591,-8.66388332424266,-6.57969859538234
-75.8525218872272,-54.8388844335521,-59.1639136295214
-3.70732323482864,-2.16717227074299,-2.41133070729138
-2.97346336351713,-1.3533521965513,-1.53048612414908
-3.53527857884767,-1.75891356193018,-2.00394545031503
-2.94761425281332,-2.63879784957493,-2.77802941261375
-2.8341629058144,-2.0347899191038,-2.2111756656138
-3.74270860289028,-7.0311139799127,-3.92227756538146
-8.46004051718888,-20.381474779394,-8.71159373305675
-7.61315319373904,-4.48148981242637,-4.89999395604541
-10.9232224764128,-9.57985012793685,-10.0517017711409
-2.20378300925398,-1.50114237953667,-1.70752573679236
-2.36752937672604,-4.04740782653508,-2.47379179710129
-3.53087376901006,-2.91259636632835,-3.1103169332456
-10.8387967951451,-11.0775902333259,-10.9302818741835
-3.41311976342275,-2.89550955481863,-3.08596369798491
-2.1911068887926,-2.21339027445265,-2.20000304597597
-5.92451418510119,-4.5805891183561,-4.96210420424134
-2.53031793149865,-4.88074300092745,-2.63967336968441
-46.8827654431063,-79.4502024469042,-49.5349155604587
-32.6574063654308,-19.966272359891,-21.8185747765658
-9.48215067426862,-11.6778741538211,-9.9338602999485
-63.0717629106064,-94.259517310158,-65.7222619588715
-3.3016657919325,-5.46544813528258,-3.41101889761983
-51.6541358726613,-27.7526764720695,-31.4266833274076
-6.49654693564365,-2.62086125379378,-3.06852835109121
-3.05873979093696,-2.28676177016926,-2.50904323076628
-14.2945385097156,-7.53440808914752,-8.4271543980114
-10.0202735114237,-8.04416283192246,-8.7458415365137
-8.15144341503865,-15.8704994348956,-8.67003326313179
-2.04726122790597,-0.907947189044905,-1.08421256518463
-11.2400944727787,-13.4868164188631,-11.7028949140038
-4.83743380760683,-1.68382552131742,-2.07018602744708
-6.98260587854743,-9.79602235446592,-7.43936619992846
-20.2424569887063,-12.6134238908479,-14.2476993958516
-19.5702538927008,-40.4416943992932,-20.5404744792232
-6.07523291621054,-11.0452904831323,-6.38033766570297
-2.77716196334247,-3.57244604061633,-2.88084235879699
-42.0765061617266,-43.1325525764959,-42.4661175551938
-12.9109553908494,-33.8093903869981,-13.565796370294
-21.8357223991248,-20.3698752944137,-21.0914319548386
-6.3223834054243,-11.092591643774,-6.46030889853298
