"Class_1","Class_2","model"
-7.11745244142517,-18.0967146792983,-7.3693565045398
-3.18158726974555,-1.83189317893107,-2.01380532675524
-12.30150112526,-31.5929783332288,-12.8171901212272
-2.87949114721148,-3.52429163428355,-2.98265584475374
-2.26679827244444,-1.66277659614187,-1.82654637352404
-2.13395333901589,-3.38295068874239,-2.24297708003558
-11.3006420866859,-6.41264483312578,-7.2684241470058
-7.04764089454476,-9.43336914476424,-7.27133318069708
-3.00992539628751,-2.45882539069412,-2.64792445631731
-3.93613844000291,-2.62313568886636,-2.87922690497663
-20.9721959134673,-47.1857376407312,-21.627036929608
-3.90943654558013,-3.10658726124507,-3.39945112496026
-8.46864110012588,-11.4170079677904,-8.84051990233658
-2.35545526659284,-1.13309161901301,-1.31464875239632
-18.9834540175856,-17.6969925317059,-18.3236135541101
-19.5185710195289,-10.3164429494578,-11.4072352476922
-6.53723714417621,-6.45082879867213,-6.50007365677689
-3.26689348422855,-2.95351302032352,-3.09134525777273
-11.8599910579632,-5.4491817880377,-6.30710591483918
-9.10955801166427,-9.94748016277971,-9.3694520278196
-2.43778116920767,-3.49575403308824,-2.54336901432285
-7.35025793059477,-4.58314036747008,-5.2102041971235
-56.3461291741955,-40.6512464222349,-44.7820720414752
-35.6714975182692,-60.5741645712703,-36.786700162823
-24.1118714997737,-41.6304162574937,-25.0173804248366
-14.9992412573221,-30.1795994817766,-15.5357614163141
-3.82618212974722,-5.03659015409384,-3.93513718921634
-7.27321133986131,-5.67876898359936,-6.09689809865184
-2.42810663300112,-1.4031913238943,-1.583514029609
-4.84995939510393,-4.8196412708909,-4.83705643130092
-2.49221527916754,-0.957124161299137,-1.13928274682129
-5.20249901723556,-5.39237636376752,-5.27335835018509
-1.8238089419617,-0.747547281046101,-0.923459859601672
-4.79436410372251,-9.61651419209028,-5.0191037684516
-9.697825358173,-7.34340029480088,-8.10707001908941
-16.4153523344905,-10.9857250455109,-11.8403926834856
-6.44787434053212,-3.3735983367075,-3.75892739139807
-2.6010811127675,-2.2864336477741,-2.4269906114893
-3.40378799367738,-4.35333987457634,-3.54341662033699
-2.29280113848689,-1.4589226067065,-1.63178230440659
-8.74740895773792,-5.37901935080038,-5.94107942352847
-4.56414494305069,-7.74400706292112,-4.70970283759017
-38.6673766578055,-24.7253950638297,-26.9356088435263
-86.6435489644212,-161.618541442303,-89.3008974577976
-4.3258566735765,-5.47551790181451,-4.47821294800115
