"Class_1","Class_2","model"
-17.4575094319579,-6.7039197044953,-6.92776321943098
-34.483152746647,-26.3152100296401,-27.2805221592948
-43.1782392645862,-26.5629205908466,-27.2698457072028
-7.26969411566107,-5.81098565588622,-5.96785428888599
-14.9352023878171,-13.6844774171105,-13.9942256378005
-77.3553455506344,-54.4550331337738,-56.4130612568779
-7.12491134389877,-4.45268262919206,-4.54985766952971
-31.043350725416,-12.5006743498233,-12.9589187928229
-3.92773657964022,-3.22699089024004,-3.32008497031481
-1.68861005240999,-2.40665935779982,-1.87508441704034
-1.2705084666569,-2.75162003407093,-1.4657206720769
-41.7582735933371,-33.0675508464362,-34.5031017145075
-5.86245494251791,-6.88543978319056,-6.22455080081078
-6.0179068352826,-4.17396449693469,-4.3758265149607
-3.77681421773751,-2.16549188401541,-2.26261787487654
-12.1396335141633,-11.9618607196001,-12.0255461801875
-2.77458750358058,-4.43776001521123,-3.21475872631214
-9.64093210276112,-7.18665209178062,-7.38559096822895
-2.85741765742161,-4.63822821471037,-3.11024190546424
-2.60442266223514,-3.2606346261571,-2.82577660786923
-2.87748911756768,-6.5699147335486,-3.30281309023552
-6.37502276432183,-3.81520543537599,-3.97467946214319
-2.42081470937927,-4.23031905953598,-2.7074644491847
-16.5703679851517,-10.0346013940129,-10.273374600462
-11.7111775039959,-9.69534411234333,-9.9630237472973
-59.9806539634824,-35.2525040216979,-36.2434795367605
-62.5166610274984,-32.749235036791,-33.740219330998
-48.4121347362955,-20.7922973965087,-21.3741931906891
-2.86736636772346,-3.91448102368261,-3.22540570987953
-32.8056374348097,-18.1048220662474,-18.9666277886953
-9.72495949204148,-22.3375146706298,-10.8312900948198
-8.59726944620593,-6.42953391364971,-6.55191583822351
-54.0701587208917,-76.0257854199599,-58.8539319110011
-1.32187928360448,-2.94349420612516,-1.51719305389694
-1.75499778523946,-4.18383803685785,-2.02583058470909
-2.96101466458694,-3.01804745027007,-2.99518142776398
-2.15338412055175,-2.89604856467601,-2.34540199064599
-7.48836102978806,-3.61195970979185,-3.77153618158817
-18.3799029703965,-8.43835074286824,-8.66188249256351
-4.28966817003447,-8.36355601102705,-4.751986559207
-9.56284914223718,-10.8640750474779,-10.0704590205073
-3.3113696547476,-2.28284292118482,-2.37659234420314
-2.84420787979169,-3.79582505003049,-3.08677411927192
-10.6886390067063,-10.2317374320841,-10.3797583769838
-3.03166642490868,-3.73037138268449,-3.26787803301404
-2.0791723310181,-2.24364706117149,-2.16567210850841
-4.64777373500124,-6.71829549056096,-5.10046150873402
-12.6655437749951,-8.78776756807534,-9.12348908180289
-5.20859749562902,-2.47396387767465,-2.57113899242558
-79.2923896584987,-50.1337454229365,-52.48623839825
-19.4101838015255,-30.6750364487057,-21.4442768502953
