"Class_1","Class_2","model"
-81.0854629620704,-56.8201638178893,-58.7558057060588
-1.64789076608616,-2.39727106117174,-1.83754817910842
-6.18972485107729,-6.58742830758334,-6.39498046191022
-2.80471781625114,-6.40360962054033,-3.23443296357945
-6.9655045845629,-3.91481622792198,-4.07231254106992
-17.7514320416838,-9.96202588018101,-10.197720109077
-12.3835763895093,-9.57227813157358,-9.8450411391795
-8.24826125902712,-3.43148720774714,-3.58900746222191
-9.38581001706649,-10.4699486798158,-9.85107498522532
-1.49055653002498,-2.17749627956837,-1.71750875737426
-11.3317234364572,-10.3102821541475,-10.58042592998
-5.73404865087227,-2.5189575446167,-2.61487950156126
-84.6722841431621,-52.516653088938,-54.8427539670792
-5.77668610513861,-3.04291205668066,-3.13883382612396
-6.71965660052384,-14.3272480934014,-7.71537258548995
-15.8509890255669,-9.03820866817932,-9.49276837578701
-14.0612019278113,-19.9805718355195,-15.7991071008937
-41.774288157277,-21.377713348466,-22.2287345597069
-11.9403584501657,-5.98746355405503,-6.2551355072075
-45.5132904999679,-44.3582402658956,-44.7364985810091
-20.3416544252795,-20.8533111349193,-20.646221727368
-11.0712092508336,-8.12635576197277,-8.42073072639957
-6.67745137313225,-11.9616576922873,-7.38248262368575
-3.05855064620464,-2.52795071817058,-2.61480377451654
-12.4500219942409,-9.65871043299845,-9.98347256743286
-8.56273867874451,-7.8055310737519,-7.97817157869172
-7.11908196061626,-3.66173867241053,-3.79900086968728
-1.75961142236759,-3.93411368323757,-2.03315375379956
-4.24157427689347,-5.28555401147076,-4.60525234569305
-10.2809103007677,-4.99786394398131,-5.19499521078456
-4.93980509800012,-13.826760900955,-6.15468763358358
-11.9333016917818,-12.868210770163,-12.4140741314305
-23.1409474614405,-14.7654090064398,-15.2928596645565
-5.99954804154194,-8.11980264108918,-6.59300503283088
-7.30017407117452,-4.24888458070427,-4.37655915046411
-14.8254348759034,-9.85495607102651,-10.0579543091321
-2.82113756796393,-2.19199307769291,-2.28018086934964
-2.56026553793103,-2.70420660719856,-2.63832352119133
-1.30640518118227,-2.08626106610098,-1.49714546930118
-10.6543739660814,-8.37193650912303,-8.6403551359571
-3.51918887795421,-2.17869670322911,-2.27443772504797
-24.8368081339876,-17.2985353508795,-17.7572785557909
-2.0138937730337,-1.87465950437023,-1.91629970878423
-2.51638233231406,-5.67480581466984,-2.79010261793266
-8.93612761352024,-8.69301735350582,-8.7720836760156
-13.174406415701,-8.86452039868411,-9.19676523749507
-16.5880656582384,-10.0318744186217,-10.4862718614994
-7.73764388551173,-6.01556951738778,-6.29480487100574
-8.2087850448565,-14.2451143717976,-9.20111600865575
-20.1163168668913,-15.7972612242721,-16.2454374258012
-40.0482500927867,-43.817424989034,-41.8953240430214
-25.6177209653187,-63.2056203271003,-30.5493524461253
-20.8263577252385,-11.1795822840575,-11.6501460877508
-6.71816889704685,-2.84511777452696,-2.93835302518885
-2.81013386527731,-3.73347031438839,-3.05394047156672
-3.03674909367644,-2.92684561227424,-2.9611281387743
-9.30509260687984,-11.8662791838005,-10.2859812355951
-7.35371776528519,-3.09130179272409,-3.18453704378197
-2.65199177728415,-5.72281878976432,-3.06896748284481
-16.033334504683,-7.9777742492501,-8.19842292011293
-36.8849369036372,-20.5517818687609,-21.4026772236057
-1.95146839415209,-2.18920457327075,-2.07401724196351
-5.0049633534337,-3.14427812088311,-3.26500019367286
-8.39042868471718,-6.76738351456903,-6.99110542916831
-7.05526821310486,-5.47063689207769,-5.66689432866392
-4.92509197020932,-4.96660425754317,-4.95067048524889
-4.79993999975926,-4.30611717149588,-4.42003908742133
-10.1025155103702,-6.13612662969596,-6.33959912867446
-2.54031368717933,-2.31238783480565,-2.37083123474826
-2.40030347013536,-2.25936478664057,-2.30112426840305
-2.70983628639778,-3.29354150584953,-2.91104359927912
-155.256291761067,-87.7627725964986,-90.0936497983326
-10.4973632300175,-12.2709122625274,-11.3251672142265
-17.5830220332338,-15.8937522242425,-16.310648997548
-15.2665501315123,-6.99860107682568,-7.26628356447883
-6.43423670110839,-5.45466916514056,-5.62600687417073
-7.47357998545179,-16.3034032929401,-9.25163213412874
-3.18179694795338,-5.08552781731872,-3.58603369802774
-3.08585585579146,-5.67820625720909,-3.50634380351079
-137.543019654037,-59.1892048588381,-61.1321713569693
-2.55976534162469,-3.2911704170112,-2.79091869854378
-2.53247507028743,-2.91807131217698,-2.69815577167962
-21.9488810300674,-16.9915265401857,-17.4641583992771
-4.47132244506914,-5.92567530447882,-4.97488724089356
-65.1612661515495,-41.5839944561804,-42.5621816601803
-5.97298200724268,-16.1398250698753,-7.2089818528281
-3.93033710600725,-4.57343055156511,-4.21655589749111
-9.16988461767999,-7.21169608905948,-7.46822292146709
-20.339813355962,-18.8398091665443,-19.1797517219968
-18.6881410338819,-12.969982990534,-13.3122299402744
-6.72871579080609,-5.02023588817126,-5.17648043217397
-142.01505587968,-71.4790824421735,-73.8099615020817
-40.5749244792959,-34.7568375770249,-35.8799497050045
-90.7629626792385,-47.9380067959205,-49.2784615080458
-15.5817739661482,-16.9228130041899,-16.3031779510964
-24.7061642193293,-14.442639735207,-14.7408055175714
-1.66279204616911,-3.43209514404792,-1.91852015609653
-7.85262803348925,-5.36122200376648,-5.56337685771158
-2.19190508326139,-3.12408564982863,-2.43610855085746
-24.9160652706094,-19.2391701897722,-20.0920933747137
-64.167590796012,-25.6587856187397,-26.4111892787539
-5.22306941206635,-8.29446765916038,-5.92958704114404
-13.3680795685024,-7.68259915822282,-8.02483785269937
-6.22193134242871,-5.35164180623579,-5.54891280473748
-6.2873493721107,-15.275616337536,-8.06740304113346
-4.21127797741363,-5.24198965103293,-4.57790082143344
-8.63575886063513,-7.08426621448398,-7.30619258237555
-2.71603902037314,-2.59293699989562,-2.6323003980509
-8.24594192324158,-5.58939847653169,-5.79231078659912
-17.2801446664179,-10.7217226285802,-10.9247236463917
-6.29704562071851,-7.15882414914945,-6.65021501538686
-19.0760291984451,-9.4421736727513,-9.71796240052952
-19.8196191285514,-9.56962905754115,-9.80532334715837
-9.15862984369693,-7.4614569222048,-7.67437786660857
-1.56930741856294,-2.52669045093541,-1.76396715222815
-11.9006620384553,-5.79488261436116,-5.99788349612715
-1.4351781426197,-2.40985639030541,-1.63006740765858
-11.2714155159876,-5.03302911260918,-5.12626436373308
-7.93829357340372,-12.642751227911,-8.94673283115943
-3.5607391329184,-3.28226870760977,-3.34797370467778
-15.4476129385536,-12.5903631638213,-13.036531248
-3.62544246784725,-2.98399664991312,-3.0846692618611
-10.1995424131263,-5.47937550533346,-5.67366399919734
-25.371092182948,-18.8791116523318,-19.4497400537464
-21.5827897207747,-39.7860940038947,-23.664043252508
-4.93160668188383,-5.36463848585774,-5.15839363479804
-3.35775306474463,-3.28089648308516,-3.3069443118435
-35.1392287090268,-22.91371699405,-23.5067738377424
-4.87522716954591,-5.31340359931565,-5.09382191770397
-101.176443564546,-57.0890737206234,-59.4195151785934
-2.69215308324266,-4.92945795655477,-3.18491072170629
-12.7519567137394,-10.4998939506867,-10.8815118299758
-50.9058366649581,-19.3190936722357,-19.8934842914117
-9.72926704362074,-11.6385147245944,-10.6512453051229
-4.14471600963941,-6.95664471256083,-4.76301993953929
-86.1524035588498,-44.6567589852372,-45.997213355815
-10.9940213716962,-15.8356567990841,-12.1872087761889
-2.14230631285406,-2.91751602366506,-2.37715660036583
-8.6438358925858,-16.7081477597629,-9.90164381909556
-9.7749234470126,-17.9089649345783,-11.0979516711801
-5.27424136469539,-6.65429437221708,-5.66875680537708
-5.25002822073789,-6.27836447872455,-5.6502830526239
-19.8352150751337,-15.349110698613,-15.9125097711763
-21.9090142655777,-16.4106212080935,-16.9961699846901
-17.4436575914259,-15.6875943078724,-16.1044238340062
-4.56546930224648,-3.18412626786896,-3.29336451506858
-12.5050455542269,-6.2303051041061,-6.42965018163025
