"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.195360205497629,NA,NA,NA,NA
"b_Acceleration_1",-0.112854863019518,NA,NA,NA,NA
"b_OpCost_1",-0.181307098403201,NA,NA,NA,NA
"b_hev_1",0.444989684338909,NA,NA,NA,NA
"b_phev20_1",0.359191085552217,NA,NA,NA,NA
"b_phev40_1",0.220594537386878,NA,NA,NA,NA
"b_bev_1",-0.000359090006555157,NA,NA,NA,NA
"b_bevRangeRel_1",0.35664310963033,NA,NA,NA,NA
"b_noBEVFC_1",-0.113417235112324,NA,NA,NA,NA
"b_american_1",0.046414186966487,NA,NA,NA,NA
"b_chinese_1",-1.14159742185703,NA,NA,NA,NA
"b_japanese_1",-0.214962599043149,NA,NA,NA,NA
"b_skorean_1",-0.352334038371387,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.0408167795402819,NA,NA,NA,NA
"b_Acceleration_2",-0.108263300338305,NA,NA,NA,NA
"b_OpCost_2",-0.113140777216249,NA,NA,NA,NA
"b_hev_2",-0.0543566564719104,NA,NA,NA,NA
"b_phev20_2",-0.206678575859624,NA,NA,NA,NA
"b_phev40_2",0.101353792953664,NA,NA,NA,NA
"b_bev_2",-0.477365455424375,NA,NA,NA,NA
"b_bevRangeRel_2",0.311898372639058,NA,NA,NA,NA
"b_noBEVFC_2",-0.345375272749035,NA,NA,NA,NA
"b_american_2",-0.222148017777949,NA,NA,NA,NA
"b_chinese_2",-1.36825823416004,NA,NA,NA,NA
"b_japanese_2",-0.0933566636092608,NA,NA,NA,NA
"b_skorean_2",-0.505499374141475,NA,NA,NA,NA
"class_intercept_2",0.521064687374998,NA,NA,NA,NA
