"Class_1","Class_2","Class_3","Class_4","model"
-3.49067734089226,-4.77806245165112,-4.45902238627716,-2.86802788509415,-3.18159065594229
-2.79014441306785,-11.2569134838109,-3.15838238092783,-5.66063427394184,-3.20600058979011
-1.97737483300854,-1.3884829480104,-2.79118872949303,-2.54242096310869,-1.689211694187
-76.9320508580614,-102.186118254286,-36.6427925662926,-32.4494735362277,-35.4824250017628
-8.54841654519926,-42.4790983587347,-26.3077714484576,-17.7830551802019,-9.89463258018983
-9.53968920414963,-11.6426274034484,-8.49194143743228,-5.59472976342042,-6.00810495039484
-2.22025806587379,-3.55438706506958,-4.96278000929964,-4.47148806645546,-2.54802707759889
-8.11035503494936,-9.56786112132504,-3.14545839010312,-4.23328305107497,-3.61484934668009
-12.5451231602368,-10.3865388364774,-9.62058032588829,-11.4864791823906,-10.5123879086571
-2.32422723827816,-3.70218669235929,-3.02902689354159,-2.41345306344062,-2.49119716256865
-4.30477929489888,-8.14678750262119,-10.4519125282007,-6.46258762824054,-4.86418392585782
-11.8529576922097,-8.60599487739254,-10.0816446337229,-10.5277197447406,-9.46903639651637
-0.973597295951544,-5.27936319877378,-2.21000412752145,-2.26224280511965,-1.21760707263932
-25.2895096798788,-42.8958043280251,-76.4302189050852,-61.7975428981815,-30.1949807715923
-15.6527196624562,-39.7224281249089,-16.4688419461253,-19.4049992489405,-16.8551048236342
-5.66970470602686,-19.4932574129443,-11.8325832708569,-12.9383544538687,-6.8217839100299
-7.70206204826614,-16.9381037947624,-19.6992387829264,-15.9311574123469,-8.90216076016801
-14.3366991796692,-20.0910781993785,-16.083873062109,-32.7898870044618,-16.0168567280927
-45.9538418753952,-14.5751576773848,-31.4999043736243,-25.7040111135033,-17.092501283949
-23.7882567778343,-35.5558747363504,-20.0672149728396,-13.9592075988359,-15.5044125856852
-40.0819552894375,-22.4949557782315,-37.2098594702724,-26.0658723876383,-24.6860933866326
-35.5422023168882,-22.6709519808887,-15.4046657986876,-13.5169170630982,-14.9569165049468
-13.3417609977721,-21.8619929928333,-11.4194703346431,-6.53473565893079,-7.28953324316844
-1.70770784448348,-3.35897515494304,-6.46125468897214,-4.62368261998713,-2.21829372273418
-4.84217030557866,-3.77941916777153,-2.73174623748517,-4.12544967537358,-3.0946258714138
-2.72950709326937,-5.92643962413413,-0.940448964378117,-3.3464755393724,-1.23304861408462
-5.09171300557738,-7.31271178050945,-4.65866152337357,-5.40150145055467,-4.97546633866168
-7.35555478142044,-10.8572492442357,-9.66911722295071,-5.98010890143561,-6.69736493163897
-1.67765657423626,-4.06673211054818,-2.62028430592941,-2.8232202826406,-1.91362573370316
-1.3548196671905,-4.94829945353694,-3.59681993405827,-3.67277894978185,-1.59263370392674
-4.18823341801427,-4.73719861595271,-7.73910293309099,-5.63588092666965,-4.60080060035749
-47.3039131042055,-23.4826464705314,-49.8077759020615,-45.3304519642886,-28.1051457908658
-6.68430811568634,-11.8881338407385,-11.7450040193632,-5.9120900499941,-6.49494947695484
-2.26753493568428,-4.34030124488593,-1.92619805227844,-3.6806998431635,-2.23057937341783
-6.14713162343471,-11.6896701454067,-5.72086886133474,-6.20422777837008,-6.05142379650868
-11.9102780207408,-6.71192230936375,-12.939791165168,-8.95593549827692,-7.57957033374208
-15.4075248774402,-16.4208036735093,-5.7337959238961,-8.05011456414951,-6.44852792733009
-4.41413476380096,-4.72339962234178,-4.54444296388156,-3.78211906345607,-4.15503133649792
-8.7315428103228,-8.40346992184604,-5.66281683000318,-3.70911434135506,-4.14562442685455
-5.12749471082399,-8.50964792595607,-8.69060530928631,-7.99236481284238,-5.87867048502415
-2.88335760773838,-5.1074519730835,-6.43342572797533,-4.71377334025387,-3.38061741453764
-5.68298007078958,-6.17499749517057,-2.83903954513898,-3.65389873514076,-3.24261607747611
-1.44232748609876,-2.30672983567774,-1.96988653830738,-3.09676624675809,-1.66702993279415
-3.01891794649583,-3.9418281981629,-3.8595040994348,-3.2182318111276,-3.2095519173059
-18.5869811223708,-13.6749365213508,-16.2410292900717,-9.72831959929928,-10.8647570266861
-8.85493610483289,-5.27676777365713,-4.880213508598,-4.91837256541549,-5.09337385748222
-16.8729211480906,-13.3072771148963,-12.9928261293146,-6.01850822737794,-6.55736931286433
-8.11202899328418,-6.87129157671211,-10.3716956388057,-7.78822573836239,-7.40562923142759
-119.509128497005,-20.6991210644139,-66.8041008869954,-72.6795436984228,-27.6027418891779
-2.73800050217164,-5.23380074406181,-2.29073878413737,-3.13573082416079,-2.60031931223918
-9.47746343144818,-15.1089537057742,-10.0030192184426,-8.41924550045057,-9.17931815916483
-2.65568992288919,-4.83185143679057,-5.24117976396032,-4.55616121386723,-3.16651417960197
-7.34183873265243,-12.0789852510575,-5.4787812318606,-6.66692742035119,-6.28881900960718
-21.0832403008087,-33.3641281952808,-22.3345623674745,-14.3875115005329,-15.9424862334016
-26.8546727504992,-96.0540408858021,-81.1851015465479,-71.3059563030331,-32.7995695947873
-3.96673385921785,-12.2604594142394,-7.28867517077725,-10.0161098940811,-4.66847620519932
-3.04563369258043,-5.99938259407311,-4.21710156787606,-2.69407982183871,-2.96692030003944
-4.65513242708676,-14.5533400731345,-11.6325166935543,-7.73394377464571,-5.35642778496034
-8.69358302990457,-22.8693666350872,-13.4024495734289,-10.3571273061376,-9.49786972215867
-1.17593777912538,-2.77626369503042,-1.51806713771399,-3.3992125327389,-1.43401593172775
-1.86360360019305,-1.69002187670907,-2.40851160690212,-3.25425601767917,-1.91331712211075
-3.44393000147947,-6.38559162062027,-6.93167420689685,-7.2846629107775,-4.12333665729422
-4.82021067718846,-6.37916712240986,-5.04332191628393,-4.34366999758227,-4.74126658805689
-43.5422033524307,-26.3956675622291,-35.8965963406771,-33.5444223540271,-29.2285745074684
-11.1361750483464,-7.00017339089164,-6.2287891593479,-8.49072865444466,-6.77635800706401
-0.888199581637118,-2.27400761056135,-2.96275926992228,-2.46769565238772,-1.12580099063807
-2.46119140497886,-1.58533324360144,-3.42858446651782,-2.39166629269287,-1.85566661269228
-18.6462833546292,-7.45318268843144,-19.9394785210899,-19.2414164572884,-9.21751433255909
-4.21604897793942,-2.53554593204798,-3.80191188693294,-4.38706442018567,-2.89096766131834
-11.4783664805133,-40.5313887556355,-22.3099952322264,-27.8974132505839,-13.9755255353256
-2.1181914682816,-6.04312072667357,-4.02978641903691,-3.30546737573561,-2.39677044062084
-6.20447755013461,-4.37018114263103,-5.90409203952906,-5.34423537968843,-4.89955187327284
