"Class_1","Class_2","Class_3","Class_4","model"
-4.26067677944024,-2.23917573251429,-6.19443487918405,-6.72799594807004,-2.82738588072727
-21.9871801469985,-9.48616989739788,-11.3233044654379,-7.120577261921,-7.82774059939518
-46.3402536031136,-54.9243091353099,-36.9074154190945,-22.9380174845533,-25.1831018402501
-1.40974444117651,-4.10069805547235,-4.54058149803934,-3.01471596419003,-1.64419177706033
-13.4609154711198,-23.8338776416412,-10.6461212706537,-14.9736323914127,-12.1210458012773
-8.4974582694868,-6.22580083644275,-7.17759130108837,-4.22183626020503,-4.53044636427369
-39.3408722849755,-12.4078567629018,-21.4015676836809,-12.4586865119717,-13.1434910132675
-3.5871384359761,-5.73354170104395,-4.74086113582987,-4.28119478133083,-3.88205179073099
-3.63512569036494,-4.83836731231751,-4.42568929589724,-2.57263849063927,-2.87955561153445
-1.64677330599467,-2.36948102010897,-3.56686165029305,-2.57878430523494,-1.86913408959915
-1.0108913774264,-4.0924868447758,-2.66495543722591,-2.76824765775224,-1.23877610590947
-5.85336580582858,-14.1092816515724,-5.64757206751977,-7.26345373715414,-6.04176410134416
-7.79537522782875,-3.32057743591555,-4.38168883227735,-5.16619377522919,-3.87882808467391
-12.8443679417365,-9.3184077377084,-14.0412845947306,-16.6572458374262,-10.7827078213434
-2.70561154709489,-10.6959563720942,-3.14636406269095,-5.34246453351626,-3.14019308846313
-5.88472813875824,-20.4431218402351,-12.3336108422069,-9.84001052869145,-6.98474865124271
-9.63586463397745,-12.3597906757564,-8.03210448886056,-6.14326819801498,-6.77304131929712
-2.77533463805683,-15.3264567303658,-2.45828276279636,-4.90263771363251,-2.77529805465457
-2.62151955348672,-4.02784587097954,-4.23300795842329,-3.18824861184119,-2.89650826132339
-2.75491393772472,-8.38458047603971,-9.37881071908829,-6.26700398842481,-3.25110714614554
-2.80785968733012,-2.85835608198865,-5.928556432114,-4.87859301399647,-2.99125794055738
-1.93213629662049,-1.40638754433447,-3.26915642080347,-2.45225620562878,-1.69456075292661
-22.1952317523849,-28.0176749122891,-12.9366051190973,-10.6107768229292,-11.3645739685428
-11.4898749919364,-15.3874771246591,-13.8732971153323,-8.41395574347287,-9.29657200815403
-64.240633283652,-69.0430598881242,-53.4197087846185,-29.9931770209632,-33.1404713513096
-5.24836017671581,-6.46449653895634,-8.15129171007512,-3.83515915305116,-4.2227959086077
-58.5909600487042,-21.8172809821138,-33.9711956771715,-24.5551267562575,-23.3815728011427
-2.87966040450769,-2.29838023484556,-5.59403906003515,-5.66012676828293,-2.75728105923388
-42.1273685142698,-11.5025625155729,-26.4048811025233,-24.2759715904201,-13.9828321374225
