"row_num","gen_method","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","lambda_ICE_3","lambda_BEV_3","alpha_PHEV_ICE_logistic_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","lambda_ICE_4","lambda_BEV_4","alpha_PHEV_ICE_logistic_4","class_intercept_4","LL1","LL2","LL3","LL4","LL5","LL6","LL7","LL8","LL9","LL10","LL11","LL12","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","gradNorm7","gradNorm8","gradNorm9","gradNorm10","gradNorm11","gradNorm12","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
1,"beta_var_val",-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,0,-0.06464181136,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,0,-0.06398220104,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,0,-9336.00944952447,-8659.98067784578,-8442.52576781047,-8329.27197764548,-8290.07685062376,-8256.82062790951,-8248.20274205907,-8246.26458253228,-8245.95563483531,-8245.86148882876,-8245.55285547041,NA,NA,1055.19362592095,2578.69047817785,1013.14265380914,1098.95095610317,721.32610464237,314.983170262226,145.454558998546,15.4473080329619,14.1178500511529,0.0110858173020406,NA,3,"test0_worse_conv",0,1,-8245.55285547041,3,"test0_worse_conv",1
2,"logit_random",-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.885853732856922,0.48685960337054,-0.324488586681244,-0.115881448416687,-0.124079952141965,0.0705533162222263,-0.0572618950667804,0.0403850696367383,0.0871434117464914,-0.352193020437886,0.189353326255561,-0.136106336163808,-0.254156691189153,-1.75392696920882,-0.10529053574164,-0.119361199158684,0.48931577314157,0.711718644252978,-0.0541562322046004,-0.372872099166,0.0739002963094422,0.0416385781048676,-0.176775009743578,0.0551640237280486,0.0320499972831648,-0.105806226900297,-0.301947624402915,-0.471839266016603,-0.464861506981427,-0.0817642046907953,-0.989666022592487,-0.0639439321638907,-0.78415624941705,0.0287207925412804,0.60841799554415,0.131572252525187,0.457030723285157,-0.0680686319690568,-0.0496242136934966,-0.189792645019959,0.0736784337624492,-0.010420666894327,0.0359132668427069,-0.308766525089186,0.246064238593194,-0.403040093990099,-0.195796556129721,-0.867798065251771,-0.0399628610184552,0.00139185870276975,0.985427184100263,0.581739409384318,-0.298552213692857,-0.972099065901285,-10307.334990022,-8714.57441904582,-8484.96897591637,-8380.39299247222,-8269.64309623701,-8251.55048735529,-8247.64112523795,-8246.56532482113,-8246.15484946013,NA,NA,NA,NA,3052.5467327665,1764.97122897058,1703.65542454419,1144.83407462548,709.806119944537,337.204726640907,49.2538510239121,27.9891208289051,NA,NA,NA,0,"pruned_test1_too_close",34,1,-8246.04340106197,3,"test0_worse_conv",34
3,"logit_random",-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,0.67419874003157,0.215430199909024,-0.0596403474825378,0.00310232703103366,0.0369352642790794,-0.0997056704485612,0.0298076173222089,0.0200028971721214,0.274417541850914,-0.419790875583248,0.580436266014987,-0.330842385598499,-0.0559370523638318,-1.08357066390194,-0.0217265472277205,0.161099016963971,0.49862176975701,0.186397380270064,-0.591028350897768,-0.858990968582657,-0.0283823858781426,0.0504319105634274,-0.0571233988827462,0.137777556850828,0.0108078149016344,0.135263578289873,-0.0545364425855935,0.551252735365187,-0.563660217792659,-0.00198774441403116,-1.865766311064,-0.0821738801444101,-0.91190412630855,0.222705961726606,0.257581579694524,-0.0834448616479223,-0.0650228455146721,-0.100197630058928,-0.222080800279561,-0.176924044214671,0.134945976786724,0.0207766974364053,0.299723540690705,0.052324384656837,0.647099860748609,-0.233423127346717,0.00487790254075497,-1.39571958499471,-0.0661745158401424,-0.0580246988308252,0.699701723614708,0.792636628723703,1.14877398933589,0.00324975932999271,-10188.8761063415,-8706.11846499043,-8429.70192521485,-8310.19203003583,-8257.25175295124,-8247.69569750354,-8245.53315994129,-8244.81743047865,-8244.52097359892,-8244.38023907912,-8243.61548379349,NA,NA,1595.98216372257,2651.00554418743,1948.61804975972,786.484697826558,460.088862864499,76.8520650939948,125.261118185037,59.3637212321164,27.0946047507625,0.056089250910703,NA,3,"test0_worse_conv",0,1,-8243.61548379349,3,"test0_worse_conv",3
4,"logit_random",-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,0.701687556202523,0.36959819230251,0.0499317621628665,-0.106700096914053,-0.0678045355130346,-0.00692256545252457,-0.000626248171308616,0.0144490791807696,-0.000174407561718964,-0.303747691409517,0.0208213709104464,-0.256828852694116,-0.095144708934054,-0.748841700702518,-0.0290599049790891,-0.37906234400855,0.555736332214437,0.278203713805415,-1.01405050506505,-0.690995339159994,-0.0216618578646173,-0.137778981920956,-0.0938565016566993,0.203816253133399,0.0308739854648337,0.229548547015312,-0.381498656447417,-0.0343029198501016,-0.338921357791694,-0.19067199672746,-2.17413937944713,-0.0242199959447954,-0.835420907004276,0.43740843641106,0.366926260255277,0.0958386154420927,0.199360858424344,-0.0280475217954002,0.000768097949547838,-0.0767217044415328,0.0599274148016921,-0.0135490497783964,-0.0262029815397785,-0.293985164543767,0.397589804576742,0.134992611584181,0.180355619553543,0.782390115974109,0.0469094413592702,-0.623840968493755,0.971147833294235,0.886599535648711,0.430120565553582,-0.31558315723142,-9237.9032108234,-8523.48042998357,-8341.60049507726,-8263.61698664077,-8250.10337529318,-8247.22715218004,-8246.53202406397,-8245.78762926781,-8245.35743083639,-8244.89955406561,-8243.68805280079,NA,NA,5112.03189325702,833.955191625991,605.124388381419,402.373622578943,159.108007952204,74.571000614171,36.3455242437121,38.9493503951341,26.4148670214579,5.49886108929976,NA,3,"test0_worse_conv",0,1,-8243.68805280079,3,"test0_worse_conv",4
5,"logit_random",-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.221902657710016,0.742886021682061,0.542922506748234,-0.119220997487646,-0.0148486573400911,0.0827617743931047,0.0889986062142195,0.0371020291706503,0.116933873040916,-0.500912296690578,0.405772767660023,-0.483714527901435,-0.00244119850673928,-0.793643692928294,-0.0996248117129587,-0.501626658083288,0.114980680178851,0.309009046815336,0.0343736807369984,0.233394618874304,-0.0600804430284185,-0.0853756242555578,0.013476511543476,0.0906037563181873,0.00268812276764374,0.0501328662005357,-0.30456646187326,0.302084546894849,-0.11263368594243,-0.278078015458387,-1.50811830878595,-0.0577612473943326,-0.429057972029781,0.324056801963598,0.544904349893331,0.366805719353832,0.024169531676996,-0.0996912370413238,-0.159983226247866,0.0187413029342502,0.105463369932596,0.0242538619170224,0.0653962001521365,-0.137240536120092,-0.181839536322841,-0.333580298167371,-0.293962862540403,-3.63829351634327,-0.00067348168932764,-0.0341169374411813,0.835538834324107,0.659771531997248,-0.191538362689176,0.0639410331462914,-10775.4943401309,-8537.30206411118,-8353.93173856714,-8313.85177049645,-8305.67685474924,-8304.69154214328,-8304.33806116218,-8304.10057342378,-8303.9586918896,-8303.85008247497,-8303.84154254344,NA,NA,2180.72030267911,469.069731723228,356.882848601088,71.2442458913159,79.5000297001162,18.9442129251181,13.7841806149597,9.76978605733586,25.2270438431881,26.6667207300067,NA,3,"test0_worse_conv",0,1,-8303.84154254344,3,"test0_worse_conv",5
6,"logit_random",-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,0.624987461329438,0.140049960147589,0.848245055460688,-0.186693243909521,-0.105631341854801,-0.0687741568965523,-0.0979268807567673,0.019573034945759,0.0665054886769327,-0.220820933338395,0.663543260750919,-0.400354814559059,-0.0540757676676163,-0.774145041343531,0.0547764167576494,-0.793252977698038,0.143358053257689,0.662739232121967,-0.425537802378237,0.399176227458526,0.0569796021173107,-0.33798929014465,-0.285965042582784,-0.00817080026908772,0.0272290640070137,0.085974668180943,-0.0751434265953226,0.213279729761463,0.119288983473983,-0.0433117723964523,0.03419633287293,-0.131415633541698,-0.680473166904429,0.265520817744546,0.0757417091587558,-0.0193905498179093,-0.630464043066911,-0.0627196767453402,-0.219744348282385,-0.252740205080351,-0.0134466036913781,-0.00145045231190249,0.164441695175443,-0.441568895738758,0.166651192058217,-0.391993174157309,-0.193221751840472,-2.57163481034929,-0.0548808094564447,-0.649280331712709,0.579329653861932,0.868908536774106,0.213615863146865,0.575089504273796,-10104.2184986298,-8630.71063489387,-8383.02778559428,-8298.9205237012,-8251.70225451694,-8246.64187065926,-8245.79746388612,-8245.39777554086,-8245.02338772442,-8244.74938475758,-8243.61567988804,NA,NA,2741.22743854459,1357.22476772083,1331.14423408551,721.982584627255,279.089611778806,67.8165694128195,31.6337964772359,17.958752626162,12.9926985605461,0.0637736819519227,NA,4,"dup_best_test0_conv",88,1,-8243.61563469351,3,"test0_worse_conv",88
7,"logit_random",-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,0.479549244437367,0.521739922864363,0.352578827432083,-0.119805778787171,-0.209459696976765,-0.221991340672878,0.0675692551792843,-0.0221429825006121,0.0624249561129677,-0.813583546256553,0.103520946048843,-0.316287981251478,0.0343315198807669,-0.730006705243137,-0.0549452193494613,-0.174526391454883,0.503933576084673,0.962143624671735,0.356678799138128,0.528978094422497,-0.12500244740752,-0.234535280686771,-0.0817085091318162,-0.156066669462582,0.0310703354077718,0.0285785359815107,-0.307957191190481,-0.231358500196113,0.223799449234818,0.0455074264871342,-0.00866580232526459,0.000942971275917734,-0.0829310078591279,0.45949180431664,0.610984353977255,-0.356758627878444,0.229278810261918,-0.0951483722191802,-0.142037193777021,-0.00905602114579122,0.051326935954258,0.0187949503119008,0.0331459382692635,-0.334857759334317,0.10795864962699,-0.578159707276058,-0.110352536145304,-1.88030829271528,-0.167498106382426,-0.25167764390904,0.553766335132532,0.512844624673016,0.407457552170332,-0.507059130704284,-10166.2652132825,-8954.74236939075,-8783.77805688324,-8636.13098184336,-8594.24887855369,-8528.47409199932,-8514.99189396888,-8512.64397144793,-8511.87247454056,-8511.49889701952,-8510.3229316487,NA,NA,4797.59025767319,2117.77144405501,1249.43738669514,1984.04235523017,787.766075835134,165.140520916021,23.9686946130433,20.6159823340305,14.4424443480124,0.0673938334748965,NA,3,"test0_worse_conv",0,1,-8510.3229316487,3,"test0_worse_conv",7
8,"logit_random",-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,0.857346800053492,0.610036411811598,0.251978788945443,-0.0453791980948085,0.129257642678339,0.00640756193941518,0.204434281652738,0.0147663984264714,0.073582904690889,-0.0838204471899879,0.14367872597213,-0.436047458774481,0.155465851323194,-0.101294934522618,-0.0294675760605562,-0.219353976692388,0.103796811518259,0.198551927725784,0.236406018564386,0.139160853280761,-0.0624984317780065,-0.0946000645094213,-0.306503629118879,0.033065251232041,0.0179015731621973,0.206917379735404,-0.504017747237842,0.627781939889703,-0.147525793667928,-0.105645936149765,-0.193265669525163,-0.0887764017736967,-0.170885231505032,0.201959124575369,0.769897553911433,-0.335376244821672,0.27906461935399,-0.174009361572927,-0.102071786474075,-0.0932810988979975,0.0813377162079402,0.0279217801193896,0.0282683643678214,-0.173519678588787,0.431937544607842,-0.362142970102879,0.0259572832446139,-2.24042922366545,-0.10442759669007,-0.0206198825279974,0.314746446995996,0.915337404757738,0.560334680378085,-0.341027448330993,-9897.02410424472,-8662.72408342787,-8444.34379431369,-8286.47241942061,-8254.44180301534,-8247.11618989121,-8245.77348957516,-8245.30523816459,-8244.90633623453,-8244.51284213442,-8243.6155660846,NA,NA,2690.92699700389,1833.87156620472,1531.94421189283,783.391441123892,463.405516966054,79.5294289633882,45.7147367016377,11.2270291019489,27.139173374211,0.103151118215243,NA,3,"test0_worse_conv",0,1,-8243.6155660846,3,"test0_worse_conv",8
9,"logit_random",0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,0.637746538082138,0.845757617191412,0.229343515010235,-0.0609042909505368,-0.0755486766852365,-0.230943880116877,-0.0434774887929201,0.036777792228402,0.0637396696743968,-0.12601226927154,0.283917764870816,0.286871135055826,-0.0760689946480826,-2.90128381051107,0.0601273177364852,-0.58675071219089,0.377294126786292,0.126583511955105,-0.0883844847101298,0.120660235319021,-0.0584732947133969,-0.0436781706916397,0.0425131485660187,0.0772254547885484,0.0344932213300029,0.0838515594350734,-0.150961472763018,-0.0546808018152289,-0.101117532321301,-0.164027368284743,-0.924413861374762,-0.184460610411281,-0.415042406555771,0.911483793403022,0.436958216647618,0.301637038857072,-0.257591446040419,-0.0192947770087704,0.00238792496782282,-0.0797048861561024,0.143337654732693,0.0328376388474547,0.179058526273362,-0.199968039709848,-0.00733409245620431,-0.116047302556103,-0.212259146315002,-0.725829318600732,-0.122403299358158,-0.888820655721718,0.107898915344849,0.505763345621526,-0.194055711900496,1.05237313465006,-10135.9803997222,-8648.31247178572,-8313.22368204615,-8254.60046336569,-8248.71652223207,-8246.44176434983,-8245.81316348791,-8245.34792142998,-8245.02947110753,-8244.79210355244,-8243.61532016348,NA,NA,3462.56570684954,1332.13570746695,692.545015205083,558.359803514826,102.94789991873,48.6783168290584,27.6812526451303,21.4703913589724,21.3278091300853,0.0676160396522237,NA,3,"test0_worse_conv",0,1,-8243.61532016348,3,"test0_worse_conv",9
10,"logit_random",-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,0.161469025830738,0.297850301484577,0.667053308916823,-0.152330000157122,-0.0204614300630016,-0.207516647845682,0.0397462180338577,0.00416133205017825,-0.0289330771916121,-0.412363482697409,0.138288755354978,0.434273989521824,-0.239743559149483,-1.57998719329669,0.00993801711888979,-0.282745233207509,0.47998535072431,0.438344059232622,0.153713998886893,-0.0836206950036896,-0.146171334703755,-0.0991025040662957,-0.0224675624278615,0.0429574507634798,0.0374548528041582,0.101442329511916,-0.284345358280956,-0.0388575019638435,0.0543157535059017,-0.106991991493258,0.150740343645791,-0.0856137748642459,0.28145736666736,0.348480707430281,0.415038571138866,0.305475992092418,-0.698205332315278,-0.147525348964558,-0.0534174946318931,-0.0824245063511421,0.0894143119735338,0.00870469244215878,-0.00651029303167003,-0.164353700211972,0.420187485636389,-0.291774156541585,0.0416464138027021,0.418203256636419,0.0237872019005899,-1.65671885515838,0.104785446240567,0.607675029640086,-0.635822144869881,0.0689748742842758,-11589.0811441781,-9007.36038511561,-8742.63489776255,-8656.91538155229,-8620.19338691256,-8613.51647752579,-8612.63910153398,-8612.40246630872,-8612.25997423782,-8612.10316528392,-8609.3577836654,NA,NA,3628.0019220744,1176.86151264615,1338.72067859156,236.595682056188,138.243781826222,11.5152048763714,9.95535960412762,10.947966288872,7.80074469233938,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8609.3577836654,5,"pruned_test3_bad_gradient",10
