"Class_1","Class_2","Class_3","Class_4","model"
-6.2288429064096,-4.17710978997517,-2.62687892775583,-6.79957252713778,-3.25125154904049
-4.55070381113534,-1.5617926985102,-4.70650625927031,-3.19950241225545,-1.7713411569427
-4.51044533519643,-3.40583939496854,-6.91165817263776,-4.07970030837663,-3.66997359915693
-16.2998997851662,-9.32315543575246,-11.2815638941412,-10.3740483603136,-9.89578314129909
-12.9243347409231,-5.74047115443434,-22.8331540543961,-10.9542123435911,-6.73201624985881
-4.06184794188315,-1.17509601635355,-5.34214217890499,-4.0105357827281,-1.4391215609844
-21.0077404708681,-16.7139630270232,-33.2825407190082,-15.891932585448,-17.0277595481249
-3.46075524497991,-1.88483502555808,-1.33029155782877,-2.46355216629956,-1.64302379646401
-8.00803606141483,-4.73843329454473,-7.28916391173938,-4.28103544918905,-4.63915964578471
-5.01134857145681,-2.18548748698333,-4.07375823238945,-4.64779952859647,-2.46768192147153
-2.5098293166184,-1.41200778851427,-3.45016189156727,-2.79765692935534,-1.67334096505592
-86.8422456043198,-27.7141970899289,-46.9600067989952,-63.106523819793,-31.933065787596
-9.54433737676841,-2.42116851169459,-9.40953225022839,-7.4075837099193,-2.93613824579463
-13.7631275678368,-9.24442289742478,-9.05850620579122,-10.0126524651272,-9.53872062681252
-2.27500692419944,-0.893054031057796,-5.08099714813566,-2.33923167131419,-1.09657214074256
-3.50775154206988,-6.51258213971964,-4.31661100585978,-3.49914971070189,-3.68009910678506
-4.21468415839664,-1.40721981615955,-5.22279943445102,-4.44935757751122,-1.83741057019823
-5.84762823954064,-4.28443555540858,-1.91668431261202,-5.62043104846877,-2.53781081656722
-37.7362495043182,-40.3439039830867,-32.1632989349465,-34.8446080275359,-34.932536564239
-7.43553652898864,-5.35648823968437,-6.53266675991303,-5.37702533178649,-5.56031279455082
-22.6066413708324,-23.1722258950996,-31.9396335413219,-14.1428867022664,-15.7559298473281
-16.3074666499272,-31.8365670906962,-24.5721579046977,-13.7527291639207,-15.3419087592271
-7.35320737052253,-1.96570411697341,-3.02633439212317,-4.74006340332842,-2.38626688591876
-10.923702912746,-5.52399865017744,-21.6312157861004,-10.4302511291074,-6.25155402159744
-26.1476909697999,-15.1727197841202,-29.7713949003136,-31.4169742245841,-17.703269326077
-3.40753817527568,-1.00734820176561,-5.55223468299774,-3.21985992624137,-1.21106169997741
-20.6073350905162,-14.9176680729333,-29.5341835780184,-18.2813010140906,-16.1240332132273
-11.1566296731853,-14.8051048480167,-27.9676799236959,-10.0242776169003,-11.0586642880129
-34.5516229372858,-44.3730803657988,-105.503633556455,-66.9128431368916,-41.0722101390593
