"Class_1","Class_2","Class_3","Class_4","model"
-6.93698776087047,-4.42615424035364,-2.37000236283853,-7.03688521890786,-2.93680336094928
-10.8980267017112,-22.2419982968132,-8.80141580505399,-6.65030543248729,-7.39189972692631
-19.3458205667496,-42.5455677680176,-28.9568282216766,-42.5035841054073,-22.4222704304209
-35.7025810126835,-46.9976700371873,-38.0559670890868,-22.8410753492599,-25.2038178249063
-8.36532357411821,-8.05213940846104,-7.00567728711682,-5.27615772605251,-5.80678077308879
-4.19833844098697,-1.35163788132721,-4.19612399379828,-3.28241716205074,-1.60252541563152
-9.34318639926176,-14.6423919701752,-22.2852632076223,-16.2792676811756,-10.7800399219937
-6.33017108475545,-8.86873439353551,-6.3599844055332,-4.13767016587241,-4.4624929120973
-23.3136700888394,-38.6753380285358,-13.1908091283695,-10.8837450340982,-12.3042165421159
-3.96985200904498,-3.59452431905525,-5.45954553635724,-4.27646197871195,-3.86628305093443
-4.02377468782527,-3.72528507486216,-4.71022321727948,-2.75056305082477,-3.07234926927842
-2.16972002551996,-0.999544968375737,-3.87887541875907,-2.99072373200997,-1.24296690523699
-42.8280879793315,-49.0765520108164,-25.7278006980579,-44.4683376619486,-30.0852283117476
-4.93783280327299,-6.9339910978497,-3.40345637928246,-4.92924551442586,-3.95265977368479
-2.47812554539713,-4.06334007358316,-2.14570173160812,-2.66116745955257,-2.37227524652385
-14.5645626851388,-12.8707638631153,-8.83353431116077,-16.9582008829168,-10.2739225816193
-15.9043350884858,-8.70165709447359,-11.5837868963702,-10.4142452119327,-9.44544159119522
-3.18487194877877,-2.94226631136299,-7.98113828059825,-5.90713523015539,-3.33953548008943
-9.34188699656847,-5.54466243391898,-19.4440259665793,-10.3117719445473,-6.71469062463184
-8.42976946573549,-10.131828097658,-11.3251077980471,-6.15213739222744,-6.81752512836657
-2.04164226801754,-2.99622730989144,-8.79127278684589,-5.26443985249514,-2.41650833825106
-3.76921721081886,-2.77070972106744,-4.0343159931616,-3.33044898196706,-3.06141659478405
-2.8557103526073,-1.13192939995836,-4.664941253155,-4.06713161356777,-1.44774408207847
-17.975594752111,-18.9848364224095,-28.3608780173792,-15.0214146864561,-16.6759809258819
-5.02495120056661,-2.61886878547658,-3.17374474563465,-5.34411833578157,-2.93951149503623
-3.0475318945285,-1.95290526295709,-1.61844043459179,-2.37276652357675,-1.86505228882718
-51.9510596419864,-66.642213458266,-62.6154759441628,-29.2987258624861,-32.6113016419839
-6.95356771879598,-5.06603081432305,-6.81499226010253,-3.92272021333775,-4.32790697755312
-32.5711786113023,-78.9791727209628,-88.6863433080162,-31.1002654783171,-33.495289098255
-35.8058107967216,-56.7859775121117,-20.7646293321244,-23.9407598515325,-22.307145184695
-6.25391400204585,-2.87615961401843,-2.47411815392403,-5.92711350281815,-2.87824964536713
-29.0719156896292,-44.9502095639297,-12.3952994542713,-23.3972613079162,-14.7800640708428
-24.6755563866601,-7.29341330790473,-38.0268718474357,-19.1733857453022,-8.67410495848579
-8.87804495482721,-9.24205950348444,-10.7750109210289,-5.84858948046592,-6.25780155177876
-75.746207135028,-52.7357896044684,-124.501256772942,-74.441370140809,-58.7491249541283
-5.27686299805431,-1.95954360130781,-3.45553363870082,-4.72100563997044,-2.29646878487931
-3.2954978955885,-1.0628156153445,-4.85924941921276,-2.62971825916366,-1.30663053950637
-4.83392019066295,-1.27208413043873,-4.58840264996695,-3.68584322891788,-1.61013403031306
-3.1856509105057,-2.85053354504738,-3.43520500888119,-4.28979428493166,-3.10634630572566
-4.08860934808651,-2.05816432929571,-3.14930314557951,-3.38324774739376,-2.30789299923841
-15.0123894367947,-24.4099489605778,-12.5889670120462,-5.44988212005522,-6.19709452064919
-9.31968755480893,-3.33784776820982,-15.1921291438729,-6.68574393302052,-3.91471012338077
-4.19362300809552,-4.27540011531303,-2.36209423903948,-2.45112733381552,-2.54411338975365
-5.98591638533587,-2.4528593767892,-4.15332218130576,-3.65287758887883,-2.76684146126615
-5.16265596756842,-2.7707189185679,-4.61115809751385,-3.64958539963314,-3.1004277715254
-3.07407429155101,-2.34468355278341,-3.21808996777694,-2.25989471001708,-2.4439434376821
-11.1403616956403,-3.87948604099019,-7.16187666919662,-6.53510858027541,-4.45500181105464
-9.21000887417546,-13.7528078931154,-8.62490962081763,-10.5765848726162,-9.30809452589753
-24.9626661499712,-19.5675834223369,-43.3518507138624,-34.9193402763954,-22.0049807381204
-11.4760654544926,-12.9195639824029,-12.3655361028108,-11.4508035164945,-11.9509475123672
-1.95532083120191,-0.914305965348667,-3.61619451140388,-2.37261134550216,-1.16407998527971
-69.8639395607306,-111.524995637694,-75.8220468216892,-63.3369238103182,-69.5205481047837
-88.8706700454235,-23.6202287123413,-44.5450297454807,-62.8543195883988,-28.6770479839421
-8.0944616797459,-1.94866099300914,-7.29279261503637,-7.32491695945741,-2.56513635788389
-15.5690347665567,-18.8357272504299,-33.9317751860593,-20.2584844985005,-17.6033521679573
-18.8910298801562,-8.54244286524218,-32.5976232874187,-18.3172285802586,-10.0443350097978
-8.35349257985326,-6.61823582788533,-4.94667732767801,-8.26500892565458,-5.68046831919212
-1.63368431566098,-3.43080903321873,-5.79731374948513,-3.66245031113361,-2.01688741248472
-12.2259480946997,-5.55286315905175,-17.8314800007424,-12.8439603835903,-6.73487486708964
-4.78667224247273,-1.91416558222983,-2.85476628911749,-3.43736394136695,-2.24307010175335
-5.55676682785549,-10.979214541264,-12.5458530027695,-14.300237595592,-7.01272139674662
-12.9610340177469,-10.0613991363376,-10.6736788145557,-9.3304671543602,-10.1558221906705
-1.95639998275829,-0.870130651652982,-3.21228268518547,-2.21490155962221,-1.11315971768779
-16.0198610465059,-16.2553949421626,-11.4868379678568,-11.6385516966588,-12.2863494629091
-4.73015950171655,-1.43510557210137,-4.89200220955227,-6.57758493007232,-1.96707356306438
