"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.0726579410456431,NA,NA,NA,NA
"b_Acceleration_1",-0.0417134180649729,NA,NA,NA,NA
"b_OpCost_1",-0.109757090691693,NA,NA,NA,NA
"b_hev_1",-0.43037151986595,NA,NA,NA,NA
"b_phev20_1",-0.478103719123358,NA,NA,NA,NA
"b_phev40_1",-0.355197495686227,NA,NA,NA,NA
"b_bev_1",-2.38654468944389,NA,NA,NA,NA
"b_bevRangeRel_1",0.688777816010715,NA,NA,NA,NA
"b_noBEVFC_1",-0.0338144018942789,NA,NA,NA,NA
"b_american_1",0.174686123715254,NA,NA,NA,NA
"b_chinese_1",-0.881561745336653,NA,NA,NA,NA
"b_japanese_1",0.01863435434157,NA,NA,NA,NA
"b_skorean_1",0.0868186252620663,NA,NA,NA,NA
"lambda_ICE_1",0.962816089690584,NA,NA,NA,NA
"lambda_PHEV_1",0.555261707929078,NA,NA,NA,NA
"lambda_BEV_1",0.914211639402586,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.180106695086032,NA,NA,NA,NA
"b_Acceleration_2",-0.111652398075733,NA,NA,NA,NA
"b_OpCost_2",-0.187076990438824,NA,NA,NA,NA
"b_hev_2",0.208692940824403,NA,NA,NA,NA
"b_phev20_2",0.288953182661962,NA,NA,NA,NA
"b_phev40_2",0.147947819209222,NA,NA,NA,NA
"b_bev_2",0.130720964166177,NA,NA,NA,NA
"b_bevRangeRel_2",0.298693294390188,NA,NA,NA,NA
"b_noBEVFC_2",-0.201761664390559,NA,NA,NA,NA
"b_american_2",0.0589605915414726,NA,NA,NA,NA
"b_chinese_2",-0.575867634152561,NA,NA,NA,NA
"b_japanese_2",-0.0814484929497125,NA,NA,NA,NA
"b_skorean_2",-0.186485541234978,NA,NA,NA,NA
"lambda_ICE_2",0.699747763494216,NA,NA,NA,NA
"lambda_PHEV_2",0.499253142493778,NA,NA,NA,NA
"lambda_BEV_2",0.710448171116218,NA,NA,NA,NA
"class_intercept_2",0.258875489791701,NA,NA,NA,NA
"b_Price_3",-0.0729791145377527,NA,NA,NA,NA
"b_Acceleration_3",-0.0718177325223929,NA,NA,NA,NA
"b_OpCost_3",-0.151557560319225,NA,NA,NA,NA
"b_hev_3",0.0745146978503411,NA,NA,NA,NA
"b_phev20_3",-0.203319296967397,NA,NA,NA,NA
"b_phev40_3",0.0593412684843415,NA,NA,NA,NA
"b_bev_3",-0.243808252226592,NA,NA,NA,NA
"b_bevRangeRel_3",0.228740462034247,NA,NA,NA,NA
"b_noBEVFC_3",-0.407317208207616,NA,NA,NA,NA
"b_american_3",-0.567627517619009,NA,NA,NA,NA
"b_chinese_3",-4.42727569529237,NA,NA,NA,NA
"b_japanese_3",-0.375560101597715,NA,NA,NA,NA
"b_skorean_3",-0.82749474202139,NA,NA,NA,NA
"lambda_ICE_3",0.406149325809473,NA,NA,NA,NA
"lambda_PHEV_3",0.745913270254423,NA,NA,NA,NA
"lambda_BEV_3",0.912921345894603,NA,NA,NA,NA
"class_intercept_3",0.169992703553267,NA,NA,NA,NA
"b_Price_4",-0.0181113231691346,NA,NA,NA,NA
"b_Acceleration_4",-0.200147929205055,NA,NA,NA,NA
"b_OpCost_4",-0.10055070914515,NA,NA,NA,NA
"b_hev_4",0.364224260449859,NA,NA,NA,NA
"b_phev20_4",0.163709444173769,NA,NA,NA,NA
"b_phev40_4",0.700546852635678,NA,NA,NA,NA
"b_bev_4",0.712926815001562,NA,NA,NA,NA
"b_bevRangeRel_4",0.314362502225581,NA,NA,NA,NA
"b_noBEVFC_4",-0.365532333563321,NA,NA,NA,NA
"b_american_4",-0.00250672297867806,NA,NA,NA,NA
"b_chinese_4",-0.380817009313291,NA,NA,NA,NA
"b_japanese_4",0.185563768050126,NA,NA,NA,NA
"b_skorean_4",-0.606465677543066,NA,NA,NA,NA
"lambda_ICE_4",1.03562433469405,NA,NA,NA,NA
"lambda_PHEV_4",0.73977253930516,NA,NA,NA,NA
"lambda_BEV_4",0.892866476612421,NA,NA,NA,NA
"class_intercept_4",-0.100438539745033,NA,NA,NA,NA
