"Class_1","Class_2","Class_3","Class_4","model"
-5.89093112648215,-3.34474208173085,-2.69954681870183,-6.5930395111851,-3.20581482942755
-15.7872649982079,-43.7228518248839,-36.876942079857,-40.4225108805587,-18.6926006327196
-36.8123958457756,-63.6436616026149,-39.4401961194661,-23.8690230079335,-25.9170835737025
-8.72239223339777,-9.8912402817144,-6.67007462260993,-4.78289206220043,-5.24397893081591
-9.44520501095067,-20.8704148701522,-24.8571311891328,-14.7424144637233,-10.7925733804132
-92.5210909274197,-98.9716851863529,-37.2338739458801,-51.1641873724508,-42.7115888550601
-6.7141143502911,-9.10679019486731,-5.2066156710065,-4.08928821111977,-4.36993662403309
-4.33822619111808,-3.94245231612725,-5.84636206192814,-3.93205535346222,-4.1017238680331
-2.37798130571725,-0.851401281859801,-4.50891432425917,-2.55089037185537,-1.1405489089764
-36.443063019629,-50.4998887221013,-27.7388640077761,-45.3609727315828,-32.0087122008285
-4.98969479039863,-7.19161532431303,-11.1794912983131,-6.97176581481011,-5.58681615270473
-4.58578594095717,-7.66192394132252,-3.35841509670446,-5.24440228449537,-3.91589458727736
-11.9791408086703,-13.4217617404762,-9.00175283519734,-16.1021979337945,-10.43125237456
-15.1082358495854,-9.31004055902284,-11.5018401375853,-9.29634406154044,-9.74842393223942
-3.06634753155686,-3.36840145312696,-9.00346658839642,-4.91684125909426,-3.524947017867
-2.52067445410682,-3.20998989741483,-10.5349536506202,-4.30931914238181,-2.862822433399
-3.10294709777024,-1.03033861466389,-5.23945200251169,-2.8842028617714,-1.404972839864
-16.7311246203463,-24.0802722686831,-25.3626506280573,-13.2461217804342,-14.7453126188543
-8.19479632730739,-2.61746335038329,-9.25547824202953,-5.33461852774829,-3.24642598606125
-6.17766084238607,-9.83637683270745,-4.89391533820914,-3.25566629147875,-3.7152972318242
-2.80193698734538,-2.08758157291878,-1.5568546309031,-2.20566388646295,-1.83866536058913
-12.9330980543312,-22.4645573597372,-16.1328029326872,-10.2203371089148,-10.9098636686299
-13.4694793036883,-15.935436604417,-14.3994139946205,-7.97359738629402,-8.78307465452931
-54.6780752595151,-87.316193458786,-50.004870794621,-27.4923054464854,-30.3636480144965
-6.13629631620673,-5.74037994356341,-7.07626893573163,-3.88704803444114,-4.24193659735533
-40.0170963121627,-91.4279681638599,-56.3535658455263,-29.2071153157149,-32.0665848128219
-24.5404143456539,-45.8558256083319,-12.8917603680092,-25.5056730251706,-15.3484799035343
-25.1526824856158,-8.22954157500561,-40.2923138727321,-13.7888507592235,-9.85842585179419
-8.64257573359178,-10.7471143440438,-10.4916538132261,-5.88972425343213,-6.24442728765929
-80.2215206766442,-79.1454158428532,-149.744660156675,-56.6867627520849,-63.4334529792046
-4.89930499195703,-1.76552147330859,-3.9371217636234,-4.03553917967504,-2.16636703487588
-3.25867918446471,-1.37495322496796,-4.82440188442276,-1.97231130889201,-1.65360956667608
-5.60113566884578,-1.32018977825934,-4.82711452194034,-2.61396435284813,-1.71843665540127
-2.77014849922593,-3.63622385479949,-3.97094630142019,-3.88022199850638,-3.13437914805028
-3.44615530275188,-2.14966027013047,-3.45285407107555,-3.08645097679754,-2.44416624071681
-3.00438634920329,-11.4637954265848,-6.63737897649105,-4.62127269558802,-3.46938765767643
-13.2062543387977,-27.1914899411825,-12.016412315208,-7.01147444284215,-7.65914772096074
-10.2104445839989,-4.43386128656173,-14.9337202879761,-4.80984300940449,-4.9302080001984
-14.3443682717334,-10.9173406445521,-14.0847265976195,-9.60832266489365,-10.4306148668627
-1.98398800547682,-1.75365506407448,-2.98869423926823,-2.00421338624151,-1.96811402441473
-3.39303334126326,-4.47804614215089,-2.32937030065041,-2.31999363174311,-2.45724079254819
-5.7619947953203,-3.57908230522184,-4.24592373238913,-2.73488520400436,-3.07976988866172
-9.26557625920828,-14.2466427029519,-10.5232441818318,-10.6398249647303,-10.1955537805991
-5.08726333015412,-3.40133312136329,-4.73592067489855,-3.05385673113164,-3.36761875355605
-2.67356529360784,-2.8516666784141,-2.36899244168049,-2.00960517563512,-2.24817694686763
-10.420268382341,-4.13352649879745,-6.61619544977958,-5.45053531419218,-4.78493760144334
-2.48474098617695,-7.93387759137422,-2.97957125850691,-3.12228901877275,-2.74278175050757
-74.6224145370486,-112.734918596902,-26.6625375124682,-62.1863014359491,-33.3998714307296
-25.6926076151764,-21.0957074936175,-47.7749461119168,-28.9744655966828,-23.8481128423697
-11.5163542763753,-16.1226555731534,-12.7417253859654,-8.98721597763297,-10.2420196252351
-71.2451919460305,-110.973031507323,-76.869024102642,-61.6247810213049,-67.5882868618319
-4.01381852258748,-7.94399478505222,-4.76064964495134,-3.11826703035763,-3.39717266774153
-77.6604959873649,-18.3605279059104,-49.1997551452038,-49.9745706545663,-24.3841545346687
-7.53688990927092,-1.38438712763207,-7.37865860545703,-5.84603041081584,-2.11562330433487
-4.95020900049586,-2.25792858276278,-2.60825544110822,-2.90405696764414,-2.56233976945042
-18.1938144530894,-5.67153191354379,-18.0453853412352,-14.4504168082639,-7.1315588601701
-5.94316120761605,-12.5287301031637,-16.2386932010692,-12.7587998854461,-7.31071324306996
-10.9027346840974,-19.604141999682,-5.10810788477042,-12.6448144320172,-6.42149860210097
-1.82271503700872,-0.751397396175884,-2.97388637362535,-1.95496639419561,-1.0391645644727
-15.6122613874196,-19.10639035157,-11.1604847902922,-10.9046336666886,-11.6918757556608
-4.2965746319659,-1.024978838952,-5.86468670065906,-5.27253288003696,-1.65612033929804
-8.50265507470359,-10.5082397654545,-4.8752683599413,-10.566769599109,-6.08784887418083
-16.0889699225161,-12.0607853569974,-20.0640528749535,-29.4758959256956,-14.5518246252662
-31.1383835274542,-56.1237969293849,-15.1058093433011,-26.0457359612172,-17.5625583882714
-5.02777900639577,-15.3584931749778,-5.67558050774731,-9.30899219713197,-5.6564344155765
-3.69147082440691,-5.01083344950492,-3.42011769406196,-2.84071242426326,-3.10080410140276
-62.2960839235749,-52.5480659919588,-58.868298259761,-34.9433390288726,-38.8713299977225
-18.1021531798037,-46.1241677945323,-9.90445398709117,-19.5272862747123,-11.5637623132085
-21.9964776905789,-30.8640591353938,-41.4347543496861,-14.4236794611314,-16.987113264556
-9.60123667762861,-16.1097280149859,-11.1663830470225,-4.74055718212153,-5.09568081884733
-3.7291968863845,-8.56196214866984,-3.69434112538159,-4.2370413959605,-3.83827543297194
-3.23102732981477,-1.13211041898586,-4.540611869513,-2.85420976939027,-1.73284395406223
-5.53319787312748,-3.86168008659304,-2.0427006689724,-5.82523530051804,-2.60755262532216
-34.4351467667888,-57.0601336433111,-32.7835544228656,-33.605655460917,-34.1821357211728
-6.42340201092388,-6.15625620393061,-6.48335990409951,-4.88319768976072,-5.33211861829987
