"Class_1","Class_2","Class_3","Class_4","model"
-97.8197921049017,-86.5505094751172,-45.9185115960646,-53.7581423886086,-50.7998998435971
-3.36587618908472,-1.64550399974745,-2.41998096296842,-2.60767421821151,-1.89246536650687
-4.71435729496678,-6.83137202856347,-9.83972640990602,-7.61613777164019,-5.33460838127218
-8.74895571934278,-2.51129269705157,-8.43800257823227,-6.8354791906818,-3.0603248243539
-6.52824963257723,-7.31885233223674,-5.18109084377458,-3.55529801089426,-4.0990675007325
-12.5051331205716,-18.984167246461,-15.4412210309094,-10.1846727046692,-10.9980013215681
-13.6738392960906,-12.7107063579248,-13.624432545852,-8.92684229149375,-9.88382954247188
-2.88329517137938,-9.74749082749232,-6.12317302884892,-4.12455684363839,-3.35983621713325
-16.1015542368769,-9.64289361623964,-13.1792615384299,-8.94241136556895,-9.74479901769521
-1.97909408335386,-1.54269288419744,-2.74849033422284,-2.63221350180361,-1.82763435405805
-9.69646498364595,-12.3355858143871,-10.1396552195916,-12.019463629045,-10.4672635869536
-2.36966593082485,-6.46127266159483,-3.07349224923598,-2.88619372913245,-2.64351440680072
-76.8781371035808,-99.9243706730384,-29.2290721765286,-64.7434054774499,-35.5935562897578
-3.97721622292288,-6.24544501183375,-4.66438543830544,-3.20084918992394,-3.52850519022982
-21.0317369633105,-7.08283244320647,-15.7175684076275,-16.316805817052,-8.35539126973886
-11.6275757034248,-19.5740252842609,-4.98813599642757,-13.690019822677,-6.23039639728501
-15.5236995905192,-16.6949217332456,-18.1371995160938,-34.6645724996952,-16.9872298827401
-34.6907586909574,-49.7609579501202,-16.7198418582382,-25.3738756273843,-19.0334631410019
-5.47110223258381,-15.0197635186407,-5.33519025837479,-8.43690632994598,-5.76948866582137
-61.4908564577778,-45.0254153117313,-59.0137212768458,-42.172440345247,-45.5973688867876
-19.9269086365361,-19.9031254377771,-38.9605816679569,-19.4932179881738,-20.4121055921243
-11.6036880204031,-13.6316662880114,-4.58801218369658,-9.31674496184415,-5.40227952049687
-14.5067915833691,-6.30801975527474,-14.5611668167016,-11.6429445114348,-7.20909140676614
-0.812481950699938,-3.499395492431,-5.12230491085433,-3.74097998536947,-1.10696330507014
-12.0043318604153,-13.1641107198544,-16.4215303531487,-9.24865304753211,-10.3851530843512
-11.0430491485535,-8.39308725394931,-12.1341980268755,-7.51821057462438,-8.22276884956324
-5.11276831948157,-8.20938841053266,-3.25047827307202,-4.60410103838133,-3.62293018457834
-5.40704071874518,-1.62511235348416,-4.65237292245191,-4.30809821577741,-1.97468096626837
-8.46783125396492,-4.32157383870579,-5.30816263992763,-5.82569883896741,-4.81263881671752
-7.3517746603071,-11.9372530273608,-4.50311960496079,-5.84943987369541,-5.02904581890184
-16.8376877469016,-5.71075744488293,-16.3988348323998,-17.3647527653097,-7.26388589426944
-16.1139331103881,-10.9666316775322,-18.7739993975354,-14.1842977753766,-12.2053370294882
-17.2615372016171,-23.9911591027569,-25.2992416347531,-15.53654693892,-17.1061444409697
-6.37044883806719,-6.52985775169144,-14.590977743762,-9.91395872236038,-6.86614445585176
-5.41720772054608,-7.70781595182778,-7.18981688204278,-3.79032015664129,-4.23338729791094
-16.0645531007452,-14.4339087432271,-15.4127946412674,-7.77693889766258,-8.4827834992641
-2.14733853136511,-3.07920051905858,-3.07548816224751,-3.12790990158434,-2.42791847534228
-3.00844222207537,-2.39484661483592,-4.73176683654328,-2.22164783110393,-2.45286035497412
-2.20849934293285,-1.3064673926979,-1.88320353620551,-3.07903820626606,-1.54611733742048
-3.42567026707672,-11.6484017588009,-18.725289587533,-10.5923658013997,-4.27234278892991
-3.33404630582068,-3.83230249875709,-1.80651514411864,-2.57058567802451,-2.06493272603084
-24.6126446213243,-26.1432950717608,-27.5011180610472,-13.4178695591703,-15.01388635947
-2.29849163606106,-2.35866352930011,-1.39141566150503,-2.74308639666559,-1.64926890131893
-6.6531115993427,-2.35999967538638,-9.34750461400309,-4.9824298142293,-2.70957052225775
-9.046775073759,-9.05696627554133,-15.3781140864064,-8.44581083667139,-9.00267904978721
-13.7582914920516,-13.9647848277299,-7.86084281789721,-10.3750306159051,-8.75615212271252
-7.25715026354886,-19.4085038856728,-8.93561056130462,-15.2963111257344,-8.46821710292419
-4.70428147078076,-8.00758403455432,-11.2728298094959,-6.44481258585397,-5.60514647736504
-18.042210614153,-6.952837394671,-22.1006443460147,-13.2990502269882,-8.22433960881705
-21.8500292348027,-19.9800403429747,-24.6696785581074,-13.6113943199537,-15.1914744966631
-51.0021964027261,-44.2319896821379,-69.4862461500306,-45.4058048924945,-46.8755942485484
-88.0684028082222,-23.4102138849924,-69.9407071355033,-71.9580246513414,-29.713770172797
-6.43146130509418,-22.9105375815847,-22.8274731052503,-14.8693492151652,-7.87603397909673
-4.57467027324632,-7.91693608087226,-2.5307741664333,-3.0664369896721,-2.77599962426624
-3.06917070255943,-2.54075892350489,-6.87403539897669,-4.06277011627904,-2.84011765588376
-3.74558463284283,-2.99582225943389,-4.4431799721317,-2.58944514772402,-2.878540597041
-13.7760422091431,-9.70018091127393,-8.32460584846886,-17.6191305375535,-9.53110826662736
-2.86442662826544,-8.42641028119833,-5.30513656627541,-3.25079501394124,-3.12802197179017
-8.81186679254551,-2.19764936859595,-7.53968072555289,-5.11299085736176,-2.73052338316572
-6.28640615010981,-17.2086580344777,-13.9136281010604,-8.96150799011959,-6.96242840428646
-29.4345584612173,-39.6627531709352,-19.4530336638772,-24.8914258176088,-21.7071694566979
-2.34748440263595,-2.08816574064534,-1.57002972203186,-3.15209060960224,-1.8571777602161
-4.72074355774186,-6.08422175341913,-2.08114423716863,-4.03073662098043,-2.41115652523439
-6.92700673387314,-9.8385828838756,-6.24664521571663,-8.97343631096555,-6.78733695022936
-7.35865835844083,-6.80181489196546,-9.82511986225591,-5.1278031568823,-5.81744412475776
-5.38017355265859,-4.70822833177879,-7.03010648479047,-5.51249276714141,-5.1446859914757
-4.86339659057531,-4.8902116495795,-6.33806717481179,-4.1913441314734,-4.63787254450204
-6.86855347971631,-11.841815336111,-5.72647728846732,-9.07840474253359,-6.25585464862716
-2.48570707809604,-2.62023155900031,-3.66688498534687,-2.56442374056946,-2.61733096095822
-3.29015184922667,-2.59409804929129,-1.91391380715251,-2.42154098576942,-2.15129985081171
-3.99126263704004,-2.68601420974571,-4.24523966448679,-3.42487324989114,-2.97450027294384
-174.128142162377,-172.188562808178,-63.76257114909,-88.6381608256405,-70.105931224465
-16.3573747824549,-10.467533195416,-14.3675552338639,-12.4931477764106,-11.8966946674298
-22.1120576699827,-16.1044102324491,-22.1102251876704,-14.6017925555999,-16.256106198832
-7.10895705285875,-17.2282642480707,-7.73693710607063,-9.2418269366228,-7.73250076350583
-6.31111934126127,-6.66380296566084,-7.91271141908212,-6.36748858250074,-6.56845091275732
-16.9982277105928,-6.49135229502763,-19.9503446030301,-18.8776079355548,-8.78567971287012
-6.70274868662762,-2.91890478214572,-5.27636627506479,-5.90067267691092,-3.44269386372244
-7.41904917523907,-2.73310542674936,-7.89635382206235,-5.83452376986719,-3.27204522947006
-68.736562821055,-156.083888503132,-79.0676479541303,-71.6248238237591,-72.9788665043988
-5.15210703598851,-2.80384305247156,-3.10582703798445,-3.69916174785587,-3.05672134432214
-4.742560922945,-2.8345120536858,-1.92785622815925,-3.6834732240144,-2.2222723218038
-27.1767246712198,-23.8579412309917,-16.3159458836225,-15.483108139757,-16.6440147050703
