"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-21.6457793988062,-5.12034483973622,-2.36898682658636,-7.13425933778938,-6.54132520896068,-6.48014212148112,-2.98584130744939
-13.514405006051,-15.0835455630852,-9.67250398835347,-7.43032206658701,-10.0334737838975,-59.5923661357437,-8.3341756976773
-80.83087329023,-41.3607737634258,-39.3659667841123,-37.7560692511848,-13.2193819128332,-77.1393927169686,-17.1019040993606
-60.3186115333357,-39.4858203463913,-50.9139900792703,-22.4820744961425,-41.2207446356022,-169.678074299252,-25.3649457267913
-3.50536647046018,-6.0445019237952,-6.90434134761492,-5.95232074520832,-9.04258186065086,-23.0296189832956,-4.53479229663841
-5.73458299408846,-1.91137576766163,-4.0444954010788,-3.30052572415863,-5.3658518381064,-2.10154988915817,-2.1271495181264
-49.7311020347825,-11.0165407817259,-24.2986138728535,-15.0747446256041,-10.7767415503145,-49.3050109846397,-11.6622664544569
-94.776300610331,-74.6584109299124,-35.273465898111,-52.3798592089235,-104.542137672208,-242.652073177396,-41.1316749422243
-13.7901844791662,-7.47809836030746,-6.01346470150138,-4.14861172892992,-6.96932397834998,-17.3859237051695,-4.54485521726043
-6.67291953132946,-28.9966706426114,-12.452029837761,-12.382852129283,-21.0903511930167,-96.7874618748051,-9.61383381036995
-5.31374440910309,-3.49207260358657,-6.00540027445621,-4.76230146736946,-4.74167921054528,-4.94902847222209,-3.80718660457454
-4.46619785508865,-1.76760722481914,-2.49396243921308,-2.81739339467599,-3.40342321363687,-2.94662703202433,-1.99526886098181
-8.0769722144502,-1.63233014805685,-4.23379536542677,-3.14330785220183,-2.9992880614051,-0.379328983819639,-0.850611860099246
-134.55651829667,-45.5143317070503,-26.4229500581469,-45.6739449578678,-38.9330475512091,-94.2451948729862,-31.0979936223091
-20.0876730248549,-4.8052675221465,-14.0851957022399,-7.40482803523102,-5.65504652981423,-13.1634146306507,-5.28178399702117
-14.8350895870001,-7.40914183194028,-3.3979993627149,-5.18574575714832,-4.56575499379246,-11.7561981620022,-3.99135908954062
-4.99504768070326,-3.02032663063082,-2.16559650265561,-2.63518642577219,-2.11952379974774,-9.374127941427,-2.32572306669234
-50.1906949432514,-13.6230214135872,-9.50409488763321,-16.4934710886049,-12.5101222765959,-22.76459253398,-11.0190531768321
-39.3087736680935,-10.7759707220812,-10.0512945276329,-10.5663135025788,-15.8392143383102,-9.62418883801421,-10.3862430218537
-34.547817223285,-5.34637075841613,-21.0731673207221,-11.2288789268727,-12.4689137533239,-12.5577473247228,-6.47913326867417
-16.7721778971558,-7.63813477686397,-12.8846020946397,-5.73629903975076,-7.59033131952655,-26.1083231082311,-6.53520333599511
-9.29826928776461,-2.3642128697746,-14.9895202102513,-4.9842263580747,-2.61313549330974,-4.35959252341581,-2.6197859209873
-2.58202953409447,-1.88854531783275,-4.19728845766007,-4.02679910526746,-4.31066141782506,-9.51316257185021,-2.18733618131909
-11.6532326142562,-1.36528745923347,-4.67123561230763,-4.43109007121047,-4.43178058642213,-2.13246076344618,-1.6624747521708
-59.1450124387772,-15.7993627445826,-31.3628832583123,-15.8465964865104,-18.5797523914899,-47.7579564947307,-16.6636237777914
-34.0708216408368,-4.36393935390813,-7.89374680969275,-6.57904102922562,-10.4947447953108,-1.82308577814727,-2.84773194962338
-6.15615292821994,-5.67480562463559,-6.81375858757014,-4.31282626840462,-6.64385213365774,-22.0416430767074,-4.94981370202831
-17.1009082171416,-3.09423727598367,-2.89547958169995,-5.29371345507971,-6.17590157324305,-3.257096686152,-3.14417957823495
-23.1007944646062,-22.9012823184799,-26.5919823072738,-9.52839388156143,-12.6659050666892,-35.3690198607069,-10.5010209662481
-18.3203296542646,-10.3631390103399,-15.192797135826,-9.38935930162609,-16.9844920697046,-37.154746114613,-10.323779433036
-16.9817255254465,-43.5388648526428,-65.7923041611571,-32.8885108121235,-56.1276015582674,-197.613183028533,-23.3837645163742
-25.4674680454578,-5.80822559083835,-6.40510835337044,-3.25837413626306,-7.8164729566211,-10.7484527557375,-3.75815044167729
-63.5976291371613,-43.9166678437711,-21.0276329365771,-25.4083181297564,-30.9045693412035,-134.022880510154,-22.7505268267724
-17.198946032649,-3.57899854722413,-2.24382090058507,-5.6640198835303,-5.44974646255351,-3.99392009272451,-2.81716007194928
-28.6382897652503,-37.4885030959425,-11.8488552205572,-23.6349619404366,-26.1479988340971,-100.392521663928,-14.4307522999294
-159.488499005358,-47.3389175941888,-132.299167589616,-76.0885584368621,-95.5006113749585,-171.352306334848,-53.1412641632278
-7.08830610400284,-1.5368675144961,-4.68551498606434,-2.67047860712098,-4.47152189276844,-0.938299723835932,-1.3799770766415
-5.2654089047611,-2.05585053244705,-4.23004779474175,-4.09389654501178,-6.64517949289249,-0.735406423842054,-1.38273439353348
-10.88709816156,-3.12666925008892,-3.5765678525243,-3.94646526734046,-3.18749639429779,-5.18277618511199,-3.32183676668985
-14.7772175181651,-2.58425484851607,-3.26317918464232,-3.14909143557143,-4.2337831408724,-2.80604011757366,-2.79260414305745
-6.48381237759713,-14.827856278333,-12.9048236079857,-6.15109443311115,-12.9571145490108,-58.8986529723081,-6.99221787211676
-7.45945237309795,-4.09084918668499,-15.8369956361139,-7.27633131965113,-12.4723685475495,-2.52739865067171,-3.59112509735238
-40.4207766895424,-10.7057445354157,-13.5271122042355,-8.28597149503942,-17.2808287181331,-17.6590406213946,-9.52032920209745
-6.29543426064744,-1.39230106645454,-2.84137497894226,-2.97935590841892,-2.48639488714632,-3.24933550150567,-1.6908636403929
-5.46859954579064,-3.04510856672425,-2.23311453167403,-2.64901674262251,-4.00183640518121,-8.02642834675832,-2.4976389099355
-12.0473771744833,-3.02534671555978,-3.72182526006554,-3.69141342747396,-6.52941623742764,-7.0271408456178,-3.30456494500645
-12.0845838811965,-3.34024096112849,-4.60097124739635,-3.83257089158409,-5.79425859755683,-5.24153453562695,-3.63915640239577
-3.74037835194674,-3.62009562758675,-3.51609158636359,-3.12472169713946,-2.24098970436677,-18.1411617494439,-2.61795116991453
-110.750009748565,-65.7752471912995,-27.109880769174,-69.6862911779497,-89.6801215967285,-287.061940975391,-34.1840340742516
-108.835815775186,-19.9072564359795,-45.8997237804844,-34.6343305381043,-32.3109505803173,-33.4245625654195,-22.3407730530985
-31.4808697057996,-7.73133008687008,-12.5836696195841,-12.821482252588,-13.9765896690893,-47.7800384238677,-8.86650484338663
-18.1991896816083,-71.4051764121843,-76.7762409193169,-74.87800228181,-78.0562849917487,-245.430777226766,-33.4607636178091
-6.01770901425048,-4.34612924978533,-4.96983209531052,-3.60377152670064,-3.98610516871931,-18.8202938469752,-3.95769343267415
-18.8536814876468,-4.18327176437733,-7.37814827100526,-7.24974563148007,-10.2611837246786,-0.400009460522657,-1.59363060645548
-85.761610067663,-12.9441134281661,-32.9023038725602,-16.4636318055611,-21.8326005761471,-5.8975567456328,-8.7950087268444
-14.0573843281001,-6.65850963580765,-4.78429935273184,-8.26378729150704,-9.39415946848716,-18.1433293025248,-5.58938434901199
-8.46763738902394,-2.44022843050856,-6.13225689089521,-3.72712290337128,-2.09447438222888,-10.0353407028029,-2.46481586649668
-8.28369846461426,-2.49804385178029,-2.62336564145606,-3.85239257035878,-5.54776254868596,-4.19243284273075,-2.70816019940307
-14.4879088111604,-7.27841063406602,-15.8529993335227,-16.2206390472999,-7.39218797020109,-31.3975547190646,-8.06163677328549
-26.0727767050209,-8.11118642397913,-9.65808070218404,-10.4938659938527,-13.7929930370849,-29.6165663994493,-9.02398181695112
-17.7517326665327,-11.8171106345325,-4.50915840688559,-15.2161327319075,-10.3925761132129,-58.6384305421407,-5.88880366053258
-4.3862773065695,-0.850297202235859,-3.62154183435575,-2.39890859073006,-2.29952993759023,-1.21785890341471,-1.07322841947703
