"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-85.0087749680492,-38.7769289355438,-35.6555211320633,-38.3632084017363,-15.7458600931717,-99.4610767244643,-19.4903876027779
-65.3122854536816,-5.61772879187702,-7.21574127856263,-6.18018676762454,-9.18962914033305,-32.9835054886274,-5.98587101112731
-Inf,-71.3507470571927,-40.9899142661095,-53.7915720959983,-92.9488376817582,-356.443484623839,-46.5653592074848
-Inf,-46.9447839884694,-26.573945801907,-45.2242661225832,-39.3547292715841,-150.541345446132,-31.0979485509982
-17.82204873883,-3.35013949188226,-2.22591208856655,-2.56266124152452,-2.35502890215096,-13.6953651254591,-2.42609600138819
-Inf,-10.3818120657757,-10.6432836806399,-10.0499734959024,-17.0616345965059,-14.1258444684853,-10.5630160834857
-176.607808500123,-1.25318735079891,-4.3547012980187,-4.31708459864884,-4.58174002329007,-2.48965227507146,-1.5626386310285
-Inf,-16.7124677670706,-30.7484563681112,-14.8185911742407,-21.3778152734137,-57.1146075609922,-16.5081715626322
-61.3440374091474,-5.57383553809477,-7.08085072931969,-3.98556570634941,-7.45550280602177,-32.91741162513,-4.58355410523634
-71.7319771287175,-54.1030743625826,-92.9486229586801,-37.1087574521174,-43.4404141704653,-270.708916632966,-40.7553393608665
-Inf,-49.5148747662568,-131.251152906331,-72.0880066248297,-92.7420443627423,-247.613614344617,-55.4640063656548
-31.1333958960347,-3.84119526071008,-16.0974013353225,-6.83948963235523,-12.2431567449757,-2.37794154524133,-3.51381140121238
-31.7916573203457,-1.29180508519562,-2.85415782738149,-2.87572859970498,-2.57481363528587,-5.00828649241675,-1.60030842195889
-129.796034119913,-2.08943335597984,-3.31264263530761,-2.21095109885912,-3.5825765690575,-7.99718603681108,-2.28001659937848
-314.864823905701,-78.87525480981,-74.8987185511711,-80.895104366184,-87.0688298488614,-375.2165618348,-78.8225978053049
-60.9415038367436,-4.45292946875563,-4.94114654002652,-3.6280363275827,-4.57074796347136,-26.3096372447757,-3.98639756649995
-198.333849911334,-7.02108780059516,-4.6410687640147,-7.52989913140853,-8.29748060749851,-26.8329090642178,-5.43459819221244
-45.4933366269752,-8.81638907693887,-13.6740401083528,-16.1131725626003,-7.68238016833881,-41.5886279914779,-8.99770536279516
