"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.0370650806018878,NA,NA,NA,NA
"b_Acceleration_1",-0.400584098291395,NA,NA,NA,NA
"b_OpCost_1",-0.128368804779867,NA,NA,NA,NA
"b_hev_1",-1.79142332066672,NA,NA,NA,NA
"b_phev20_1",-0.857150880202198,NA,NA,NA,NA
"b_phev40_1",-0.241193219588903,NA,NA,NA,NA
"b_bev_1",1.64752742652242,NA,NA,NA,NA
"b_bevRangeRel_1",1.57820742819622,NA,NA,NA,NA
"b_noBEVFC_1",-0.368766619991463,NA,NA,NA,NA
"b_american_1",-1.07934931412791,NA,NA,NA,NA
"b_chinese_1",-2.146326099556,NA,NA,NA,NA
"b_japanese_1",-0.0153410301080493,NA,NA,NA,NA
"b_skorean_1",-0.435749587409415,NA,NA,NA,NA
"lambda_ICE_1",1.66608284000043,NA,NA,NA,NA
"lambda_BEV_1",0.365046528616386,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_1",-2.15953338003105,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.100646750417642,NA,NA,NA,NA
"b_Acceleration_2",-0.105871276012289,NA,NA,NA,NA
"b_OpCost_2",-0.13021364415737,NA,NA,NA,NA
"b_hev_2",0.273090223763979,NA,NA,NA,NA
"b_phev20_2",0.332365877390312,NA,NA,NA,NA
"b_phev40_2",0.289197667111356,NA,NA,NA,NA
"b_bev_2",-0.444182463678462,NA,NA,NA,NA
"b_bevRangeRel_2",0.544229465238842,NA,NA,NA,NA
"b_noBEVFC_2",-0.110969859360607,NA,NA,NA,NA
"b_american_2",-0.0432289273464409,NA,NA,NA,NA
"b_chinese_2",-0.592600669432528,NA,NA,NA,NA
"b_japanese_2",-0.0352248031609234,NA,NA,NA,NA
"b_skorean_2",-0.0854285189162066,NA,NA,NA,NA
"lambda_ICE_2",0.594852312738645,NA,NA,NA,NA
"lambda_BEV_2",0.537697720523252,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_2",4.16866053841235,NA,NA,NA,NA
"class_intercept_2",1.80515383119202,NA,NA,NA,NA
"b_Price_3",-0.0852275076837859,NA,NA,NA,NA
"b_Acceleration_3",-0.10649923848562,NA,NA,NA,NA
"b_OpCost_3",-0.200272718116584,NA,NA,NA,NA
"b_hev_3",0.108415261817458,NA,NA,NA,NA
"b_phev20_3",0.0267212051015478,NA,NA,NA,NA
"b_phev40_3",0.107138306137418,NA,NA,NA,NA
"b_bev_3",-0.141857329881542,NA,NA,NA,NA
"b_bevRangeRel_3",0.229667692544199,NA,NA,NA,NA
"b_noBEVFC_3",-0.489951940596047,NA,NA,NA,NA
"b_american_3",-0.558059930925297,NA,NA,NA,NA
"b_chinese_3",-5.22014646843967,NA,NA,NA,NA
"b_japanese_3",-0.318598378756306,NA,NA,NA,NA
"b_skorean_3",-0.851546003918492,NA,NA,NA,NA
"lambda_ICE_3",0.479785698959817,NA,NA,NA,NA
"lambda_BEV_3",1.26589374337896,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_3",0.261311575720806,NA,NA,NA,NA
"class_intercept_3",1.58400651940042,NA,NA,NA,NA
"b_Price_4",-0.0168908138611788,NA,NA,NA,NA
"b_Acceleration_4",-0.168561706906898,NA,NA,NA,NA
"b_OpCost_4",-0.099300323816111,NA,NA,NA,NA
"b_hev_4",0.562456825304942,NA,NA,NA,NA
"b_phev20_4",0.301978847864607,NA,NA,NA,NA
"b_phev40_4",0.700087020746512,NA,NA,NA,NA
"b_bev_4",0.434485830957415,NA,NA,NA,NA
"b_bevRangeRel_4",0.0714951556869289,NA,NA,NA,NA
"b_noBEVFC_4",-0.399266783505175,NA,NA,NA,NA
"b_american_4",0.106796079564051,NA,NA,NA,NA
"b_chinese_4",-0.15847556040637,NA,NA,NA,NA
"b_japanese_4",0.266929058165301,NA,NA,NA,NA
"b_skorean_4",-0.476195956042314,NA,NA,NA,NA
"lambda_ICE_4",0.752388407964358,NA,NA,NA,NA
"lambda_BEV_4",0.765963915879723,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_4",1.51787915039222,NA,NA,NA,NA
"class_intercept_4",1.28330903209545,NA,NA,NA,NA
"b_Price_5",-0.0741332132725801,NA,NA,NA,NA
"b_Acceleration_5",-0.00289611545096811,NA,NA,NA,NA
"b_OpCost_5",-0.0220198804212276,NA,NA,NA,NA
"b_hev_5",-1.3607920232947,NA,NA,NA,NA
"b_phev20_5",-2.23893990523664,NA,NA,NA,NA
"b_phev40_5",-1.59636640442674,NA,NA,NA,NA
"b_bev_5",-3.87154822829534,NA,NA,NA,NA
"b_bevRangeRel_5",0.201074253901247,NA,NA,NA,NA
"b_noBEVFC_5",-0.403435408560877,NA,NA,NA,NA
"b_american_5",0.139829031999711,NA,NA,NA,NA
"b_chinese_5",-1.87181538170115,NA,NA,NA,NA
"b_japanese_5",-0.0775392575503688,NA,NA,NA,NA
"b_skorean_5",-0.00867863463345044,NA,NA,NA,NA
"lambda_ICE_5",1.07543344867879,NA,NA,NA,NA
"lambda_BEV_5",0.877511994603048,NA,NA,NA,NA
"alpha_PHEV_ICE_logistic_5",4.46695618362731,NA,NA,NA,NA
"class_intercept_5",1.02787621567014,NA,NA,NA,NA
