"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-11.7922340872301,-3.08449601682772,-5.14107999059755,-3.01032971400499,-4.00325568411781,-6.68969518386492,-3.21922962196235
-5.73315564935845,-3.08732156027006,-13.3888481871656,-6.289657233496,-4.10279359429487,-12.0047716475735,-3.63604877953845
-5.02550547833513,-1.82042550561801,-1.50854342475923,-2.6627047957705,-2.8435653039857,-4.22220691767367,-1.79860931141232
-194.784147958222,-54.3802869968444,-287.844700389679,-35.4985905330418,-41.5413755758586,-22.3897828494198,-28.5555361430427
-3.27449857608756,-12.2433273772118,-60.1180184741136,-18.9100812118513,-26.3651511119105,-48.703131103922,-6.0939494715177
-18.8840861182176,-8.23591833556375,-18.542275599184,-5.23196352655985,-8.6381214332543,-14.0572338141751,-5.70930594220036
-1.67526011120725,-2.7323522825067,-3.26728962545826,-4.34765287493073,-4.89434405682343,-10.6338989693528,-2.34319311872479
-29.0859234732319,-5.38521015186773,-22.3801502281391,-4.0975964834372,-3.72825356746963,-8.49711288812907,-4.18471375106677
-39.481795186282,-9.64494938848905,-11.7024595224831,-14.4612459264164,-9.61567850144295,-8.38154324031449,-9.9674971947694
-5.98551437068645,-2.18044316932573,-10.1684365116296,-2.54226299077864,-3.07590328845315,-5.37822258967494,-2.41505818654796
-5.86838640761939,-4.74169392593604,-14.5097979958697,-6.49650864980129,-10.0146149501378,-13.5906732929855,-5.30942093336777
-46.6283003421169,-8.45850522573347,-9.54436918203542,-11.6898307193065,-10.2832187784949,-13.7355358303917,-9.20099399655842
-1.16899183991418,-1.07948720510132,-4.51532056391633,-2.3185503675256,-2.58423593741829,-3.14304580356801,-1.29910700511715
-19.6328997926346,-37.012413405049,-40.9377737647837,-65.7587347095235,-76.4439264489412,-111.919970831028,-29.7357223890253
-38.7518533965403,-16.4275735205203,-101.422807223496,-21.2965993344872,-19.3018744276169,-26.5663384516262,-18.1786883485852
-3.9075249503424,-7.11256982642735,-20.5870313655204,-12.1938992073531,-12.8315475948903,-42.8117058478787,-6.20680320422795
-3.8091020865061,-10.4491445428708,-16.3588379897527,-15.794499858499,-18.7427458255155,-41.2807533381298,-6.31908625021273
-29.2486756116805,-15.334314358262,-18.7905440467462,-32.7091372055672,-16.1694936700874,-50.7572791642272,-16.8273087149914
-135.490570628824,-34.0530490351719,-16.4560618081445,-25.968901178069,-30.3756239053095,-32.5119800948422,-19.2751606323369
-89.1926002472733,-19.8293343416766,-31.5775826067727,-14.3195286864182,-19.3274528796271,-36.4319799123141,-16.0932438417916
-131.727242424368,-32.544648337664,-25.8458801863434,-26.8834456649614,-36.6062160651704,-34.1087087990035,-27.8679874294915
-136.67467386624,-26.5738528183286,-26.3624692800589,-13.8221763075374,-13.5207916775033,-32.788919921109,-14.6667793938938
-26.8712703501243,-10.3099673932064,-44.1561174024483,-6.28907103564933,-12.4849444179629,-14.2308944344143,-7.16051254496827
-4.17984211747406,-2.36486901942577,-3.30059097587247,-5.28058337408919,-6.29257301072294,-5.23766495776023,-2.86734154634878
-8.90335697983971,-3.59322174420105,-2.51364095168147,-3.75194615247975,-2.48527714062123,-7.1694283132555,-2.7231808338383
-9.86776847694238,-2.13308218542448,-6.65890865437511,-3.30016748448081,-0.944191273730559,-9.44690281680682,-1.27066769336947
-11.5292211628422,-5.03452986064319,-7.76854491185855,-5.56468352768294,-5.09190485998134,-9.08207349856467,-5.23868334183725
-16.73779703543,-7.17101199779295,-17.1459981044447,-5.89700404342479,-10.3534596557288,-19.341357786367,-6.71331651329402
-1.33547549985161,-1.86493078801976,-4.12399432432611,-3.05731280228101,-2.30674387300739,-6.84298288403122,-1.78632660202509
-0.444268999845638,-2.39483113765401,-9.19920684484947,-3.52872536648447,-3.66618033842594,-7.93917008360917,-0.942475872972914
-9.49190567408139,-4.42388093506982,-5.11313229434884,-5.59056876104532,-7.75131639512096,-11.8413782933167,-4.88189175384035
-167.02939856215,-34.9709944750886,-27.8329101228563,-48.8450100265335,-50.9727837126841,-81.8792432731825,-32.516169086617
-12.5153049194,-7.48315092705182,-25.8817952185294,-5.75177659700773,-10.5204444887454,-10.5997537590292,-6.51780406250136
-7.55821732978793,-2.0809778593847,-4.58281392396228,-4.11969776461063,-2.03232856587919,-3.20716121959659,-2.25275675658084
-14.1905203447626,-5.15073413449644,-23.9309559455523,-6.31530894022284,-6.06389433780373,-12.7248154638678,-5.54810544428685
-49.2497750341293,-11.4559141920625,-6.97874793108292,-9.24544364477927,-12.1568453484426,-14.170186729803,-7.95480345368677
-51.2648126439743,-12.3092854229927,-21.9616940578666,-7.67046167571115,-6.62381606630815,-21.6468167065742,-7.38086649729862
-12.8861773963281,-3.95940570742516,-4.71753742509958,-4.3090730608537,-4.39349691849691,-5.15904197911461,-4.21744518825149
-16.9274243423557,-5.74937194608433,-15.6555548269366,-3.83142610323547,-6.26456959685703,-4.80531768206751,-4.33270132235966
-19.0972221823431,-3.49397335281973,-8.22176296783191,-9.2598863046325,-10.0315112637458,-12.9470629517018,-4.28581016342249
-9.09601994234725,-2.58590707762901,-5.20876827528495,-5.78320668697985,-7.25751676517065,-4.70544502864937,-3.10839763824132
-23.7080166942635,-4.20580190177677,-7.15084230153258,-3.48325936892852,-2.81562366586232,-9.56043774553338,-3.25784120756494
-1.42460581879279,-1.6555665293242,-2.538344262992,-3.32403123592894,-1.98709395662061,-4.64888314676738,-1.7597363528576
-8.64940171811599,-3.11721147197214,-3.89371856038238,-2.89579978193101,-3.39871245882482,-8.96996678036225,-3.15597691532818
-53.6902421180658,-14.8890966019726,-15.6857550741994,-9.7200989232618,-15.4866172736449,-15.9155691061442,-11.0350876239801
-22.8531408711799,-7.85793263632045,-6.23295752922916,-4.54492787027097,-4.80949013490728,-10.4144529549003,-4.96243245289673
-29.67059984799,-13.1047339275199,-24.3358143490046,-5.95257398814114,-11.5925558962737,-15.8686610430052,-6.57482038239714
-20.6230034442811,-7.09974681075629,-7.00712186487866,-8.30192807060335,-9.83197907823015,-12.7163769496098,-7.35052695271226
-325.621389992739,-86.5890830306219,-20.8580945575782,-80.9574604633342,-61.1714469198273,-44.2974129628635,-28.5896002359118
-12.3698014415895,-1.91067201711624,-5.63632085706658,-3.39195503833348,-2.57379819094691,-4.42702842116949,-2.21785495408774
-23.56810894156,-10.1868075173392,-15.9001752546672,-8.39126097526609,-11.3282383566306,-22.2370696030468,-9.40157025118416
-5.25341833591353,-2.57993766447241,-5.37734094255971,-5.40157078177264,-5.41345002265244,-6.2617794130007,-3.11766041449671
-23.0363698355367,-5.23384324619305,-13.3185233054098,-7.47932805645501,-6.0354866956485,-8.71233448905599,-5.91533505490837
-51.7967117427915,-17.9979508291104,-71.9494816971934,-12.8397230925277,-23.7140339995815,-46.559753765837,-14.6284575505609
-9.59759457072569,-37.6491437373176,-76.6711460352521,-73.5461709357072,-82.6020352227721,-129.490609332809,-21.9900993766391
-1.73038275769186,-5.63699741124213,-14.751928187163,-9.93378392062647,-6.68669329539795,-26.7875489013264,-3.20105941514051
-6.92996713612747,-2.90431161226907,-11.802399339096,-2.59953558826935,-4.17485957909237,-6.63530057133318,-2.90073939455033
-6.54633492417809,-5.56905555652596,-33.1943121543151,-8.87834141638161,-11.60780680128,-11.4306068629772,-6.26908129612016
-11.0480548931644,-10.3828894728092,-32.4203879280049,-9.52643560431261,-13.014448554319,-35.0221105961891,-10.496521883219
-0.86185535762164,-1.39181920517303,-2.88511344921138,-3.69865944702399,-1.47861020253368,-5.63336231136115,-1.37284384734311
-5.55419769503792,-2.02823912811439,-1.7282614424313,-3.33484210174861,-2.33940437614461,-3.31486827755544,-2.02115816869963
-5.44229474457728,-3.79717924853936,-8.20230602702621,-6.96967445453433,-7.82160979360224,-13.2623743633424,-4.49828437917674
-14.7655014357438,-3.54768818182403,-7.00224515136199,-5.24512912409525,-5.43302627787797,-4.66257541876578,-3.9618394347968
-177.935961436344,-38.8151746020395,-26.781366490242,-34.1929029641313,-35.3595498500996,-62.6942908118711,-29.958558741164
-27.4880081910517,-11.4968341225533,-9.06495189516978,-7.54941718389769,-6.02518628724809,-20.7810800756109,-6.70908950459705
-0.507748356710343,-1.42117328594412,-2.43767428803684,-2.67089743073903,-2.6254203260619,-4.93793470808946,-0.99880298591243
-7.91320452252422,-1.94791206982906,-1.7654768680939,-2.67195117838524,-3.35102544695066,-2.15056824708671,-1.98222117508971
-40.8317670530977,-16.4744341328886,-6.94570497161819,-19.1338963310815,-18.0955086456253,-31.2108573411218,-8.92393952373631
-8.58021941868923,-4.11617725673891,-2.50316084709121,-4.30006267538176,-3.3592622744051,-6.32478106567495,-2.89481215982371
-27.350280552234,-12.9192148068149,-66.9988282490125,-28.4411032119028,-22.7433937767527,-53.642324403708,-15.5157198878635
-5.50468660498718,-2.54556252152762,-13.6806559071479,-3.43647199601086,-4.20268246922594,-7.05028722677427,-2.83379894474075
-21.8631054084318,-5.19361748521095,-4.06717016337562,-5.98226460411719,-6.25382080988852,-7.62238630605587,-4.67145838300998
-25.2608351852117,-8.34801663423742,-8.59886658730897,-6.7837501423294,-11.5131920390054,-5.57818630497065,-6.76236425903707
-189.135122538135,-65.7594918903267,-50.794653863572,-39.2159232956422,-33.9829153788462,-71.9827733079888,-38.2085623496779
-113.245773177456,-29.4779944235361,-167.081825114737,-35.5510701115098,-22.7933081597431,-47.0600251246629,-26.1453041597442
-3.54981120079403,-3.1752154372672,-7.67265101392599,-6.2847606360565,-7.38601083157341,-15.4566177822021,-3.65660333537882
-4.63562228882847,-18.3491352242209,-85.1938317965808,-27.5276958996712,-26.9497582837465,-59.7137111848458,-8.8784236550295
-10.6964804262282,-5.55865759860297,-27.3331903172239,-18.4501471693662,-11.2498953274256,-26.8376809374909,-7.20313109666022
-25.1248187217851,-18.4832294455681,-21.5130207260578,-21.6833168144979,-22.5852431545002,-33.8568840152938,-19.9462885867162
-13.1647899786397,-4.12002450146934,-9.34012783131493,-8.20168703821836,-5.47192257039836,-9.40361213089242,-4.80993090602295
-37.3092821251206,-23.7129125911252,-19.5371917156561,-16.7464442693381,-26.2512758347979,-54.1722238684069,-18.4907475741713
-13.2097185297686,-3.63769784462283,-28.6439258554512,-3.95149727187788,-2.83595853021994,-6.71371647107361,-3.2296219559261
-42.9655936752214,-16.4533242848113,-9.80618010814616,-7.6293165097594,-14.9704434013633,-14.9088765072612,-8.39381865870771
-60.6231874327503,-13.2462408855582,-28.8852777924497,-11.0333758619833,-18.7922350500314,-16.6317446168682,-12.3227241478357
-70.5611034439058,-38.6421254552381,-86.9306172416524,-47.1754967719661,-55.8003136976846,-102.369943030882,-42.4321624200747
-110.848140289696,-31.4932000086604,-24.1882097402187,-27.6068486889595,-29.1982663688118,-40.6232034250644,-27.127690054602
-28.4002279758221,-10.6751143064832,-9.88752565958231,-8.33918038638837,-8.48347502596543,-8.46052078269125,-8.85062129761405
-5.65271866158995,-1.84442465302603,-4.27051345340554,-3.76156594209318,-2.78472656744387,-8.71345969781542,-2.16057786276945
-32.2571859740166,-8.8518396154537,-60.3977091053561,-13.0697302147772,-10.9830254693032,-29.8284029970956,-9.91902048468125
-20.3258871508986,-5.53412385340344,-4.11454663772029,-7.5512101905856,-4.36230684178214,-11.3196925639971,-4.68598293170233
-53.4688495589352,-17.6009718972055,-21.786498103643,-11.9364836187922,-19.5521090656861,-29.6623197959302,-13.1141438112555
-128.688441853676,-37.3951113925642,-40.8932833216893,-27.061626588769,-41.6042811383338,-48.6026069870001,-30.1909859811588
-19.7246882221685,-6.02575271219498,-8.14942376588952,-5.47595228959753,-6.45632736409583,-11.5485217147998,-6.059237955037
-29.6176581807561,-5.6030395293656,-11.017531335522,-5.54851143729973,-2.10849213112668,-12.5307751162171,-2.64608440299952
-21.8048370598148,-13.8278500550762,-4.80536764946149,-6.62104152096806,-6.17091893829075,-11.4365986069798,-5.32194061422436
-7.1483169478982,-2.7286947871356,-4.02445902504006,-2.987494853936,-3.67700318859634,-4.15151438094726,-2.95228115952488
-10.3449357454187,-3.93768200843579,-4.70775984435655,-4.68717032683688,-5.57434586668776,-6.81345762067579,-4.31186152900975
-1.38003432895497,-3.45800441154972,-4.74824461510092,-4.12743581855616,-5.00554426221916,-13.5124280550587,-2.06182488530581
-25.7235919588157,-8.27913481221168,-10.3412788783564,-5.6036127271243,-7.22385054147271,-10.773287264334,-6.39231014979773
-48.2875561090491,-17.7858340153937,-13.9792903269532,-9.63974948864096,-13.054362660221,-19.6350091408876,-10.7263090808533
-40.3153565918788,-10.1504469164563,-7.7894061901032,-8.60278005500555,-10.6349756414009,-9.13209832227199,-8.57497724706396
-2.03915261436722,-2.55550023122157,-19.0431612097325,-5.12011848027545,-6.31224559567311,-11.2879152098344,-2.63319268920801
-6.54380474549272,-2.25421894275654,-4.55852983276441,-4.51276361394454,-2.7516575995346,-4.80135180153871,-2.58282843757543
-30.1046526949581,-14.0719521435255,-74.1325642863735,-14.2680698545184,-20.2074555224227,-39.1102776966235,-14.9704806582063
-36.1053169153451,-11.2165188720592,-6.9112695646512,-7.04039509367137,-5.28550227719196,-11.2963672883832,-5.96177840969911
-17.5451675141565,-11.0280651825799,-17.7605634590248,-16.8154566974591,-7.13858735514632,-37.6405063494204,-8.75946557250218
-25.152172697563,-4.55216439993173,-8.15984179455621,-6.35194275953264,-4.53687094058419,-7.82269043583372,-4.84247365402954
-0.65903280307166,-2.25228407953954,-15.852044745584,-3.58058194494772,-5.26107425197355,-9.70760997873339,-1.30285589767168
-159.354586920573,-33.0191533742058,-28.4528747170542,-18.8362159830363,-31.4436081682471,-8.85348069721437,-12.6151920874955
-60.416461871325,-16.7331880159321,-11.4401502374982,-10.5719508002731,-20.8847442381845,-22.0399389777716,-11.8731027865557
-101.582840971535,-25.5883783310246,-44.9964822211893,-19.3534291698233,-31.3037397057851,-35.3249745550849,-21.6790351925269
