"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-97.5777012699713,-14.0416648437024,-8.73068384174699,-7.25954057554604,-11.4642490749108,-9.06864823551396,-8.15416872264084
-84.7248821007249,-36.9513734240688,-39.2992208528109,-39.2403065106217,-13.7296107070183,-82.1756087945325,-17.5771275354687
-152.185875200584,-33.7613596565366,-39.5130198194344,-21.1382751643738,-37.9815165826988,-50.0921949448811,-24.0803992690431
-41.9747798734803,-5.79693290548077,-6.80581226888924,-5.66518472618278,-10.2685082001495,-4.09284611292669,-5.02606519505283
-37.4242327424254,-10.7327411106248,-28.9010604186643,-15.0630849857346,-11.3460047366105,-43.5642502929685,-11.5850862560616
-201.083458538253,-70.4683693977071,-31.5976286016249,-53.3563140772363,-91.4404131130894,-67.2042473754384,-37.7980813946297
-49.698964335569,-6.62579632158111,-6.47211873448854,-4.05805078258056,-8.07161155614916,-8.90794487740178,-4.46257898883311
-115.448725302077,-25.3866017959512,-11.4992439993768,-12.8366567554528,-23.3262212648443,-8.04912991161548,-10.6709020154547
-10.619192403555,-3.22787422365078,-5.07934841434813,-2.82065981486772,-4.44507627869017,-6.26291611174111,-3.16699465162051
-2.89275684185326,-1.74995720835655,-2.47977688877885,-2.77696434383354,-4.34773020213887,-4.38746630613032,-1.96708809525518
-0.41220285308412,-1.37114007300579,-5.25955823419999,-3.15818884426773,-3.07504057450622,-5.87718321481194,-0.89957260870864
-94.3318893208972,-46.1147572048318,-26.9796714663064,-46.403663896546,-40.8044292658887,-83.9056445505833,-31.9201168305812
-13.6080967077567,-4.9587311679819,-12.2833210241396,-8.21372612547669,-6.23740893459803,-13.4731299486031,-5.43051234978857
-40.9288910901033,-5.08803955436956,-3.68428518884805,-5.00665680528463,-4.86742523744994,-10.4435334786431,-4.27840654958757
-11.556032405558,-2.92455894955743,-2.11559401550039,-2.63544736414522,-2.37123319923355,-4.31295900123411,-2.37106908075803
-22.8740997836915,-11.8792510179668,-9.37690260460675,-16.2344834803954,-15.1305532893729,-33.3945160192953,-10.8905124103519
-6.28628099209544,-3.00962671509209,-10.7859413779429,-6.20481270227765,-4.00085880211773,-10.5428200659145,-3.50625197589363
-21.7142822881161,-8.80596197815027,-12.8147652827406,-6.11623922384742,-7.99025974960402,-14.5370397069229,-6.94020383288083
-5.25441833057106,-2.5155156161054,-11.7307472537142,-5.44091770016542,-2.87042776274222,-7.14997839330082,-2.77228036747874
-8.92269102598304,-2.03353027540851,-4.31007232379776,-3.86485638016389,-5.60171410875328,-1.92264950822601,-2.25724517818318
-1.72781058143937,-3.91087386985382,-9.33176841559983,-6.37474741320939,-10.0984845049569,-18.3223535098642,-2.7916299572132
-25.7220508606507,-5.76313931134804,-7.65387098183032,-3.92194380145749,-8.73639759621273,-4.81970906823798,-4.57298093214635
-11.9020700296814,-2.78416815302984,-3.2137389389205,-4.95109799424761,-7.22578290743401,-11.0422145853867,-3.06664380843645
-81.9272601105787,-14.1795954759636,-20.7014190186315,-9.85964193212795,-11.9333865961593,-15.3400752890442,-10.8439452687459
-28.9764619080449,-10.142604040392,-15.7632384995113,-8.53590598616584,-14.7452821141466,-15.7992169239982,-9.61308501596903
-198.040639214384,-46.6382057140939,-68.4478439084174,-33.2782184883812,-59.2593450165093,-15.4160695512433,-21.331447905785
-567.001280882086,-50.9323756574291,-103.453555724864,-39.5394394260464,-45.7521850007352,-14.9493519361455,-20.865681215688
-161.394557516629,-41.7273165063441,-21.0543637355522,-24.1412898544676,-30.5260051609417,-37.6525000818689,-22.8303163440719
-3.81859496286449,-3.59756818284806,-2.3725992626385,-5.61504751476807,-6.34990057698889,-11.5546078732363,-2.96528928557757
-303.170139323199,-30.5128211909903,-11.7206288110759,-23.7671294186683,-28.0629780990719,-28.8452757612091,-14.4410957497799
-2.53226268138746,-12.942914728462,-43.86908091002,-19.0578083798085,-32.4702428107091,-47.8275619663376,-5.32712421095657
-52.4976570591255,-8.12202980147855,-12.2159946429121,-5.07792745700125,-9.37280800034402,-13.4737558727048,-5.58754027063066
-161.345792488422,-50.581323336345,-139.549425790245,-77.871116887696,-96.291761913685,-128.856712158753,-56.1044562850804
-1.57225689549746,-1.48452019374912,-6.60525947383453,-2.694138469569,-4.80477132839476,-4.98452232829857,-1.67507341162889
-0.733302055471168,-2.13729138540105,-4.75558533400101,-3.86085190637713,-6.88816513217967,-6.99716546021504,-1.41100024660833
-5.36025984142342,-2.78288479144109,-4.10348012800777,-4.26694551585206,-2.80214269392689,-8.12492624914381,-2.98499220301024
-3.2514600025471,-2.38346102036049,-4.37599724318621,-3.06633003777837,-4.3761277149837,-8.51195949485596,-2.60722745920204
-53.4828766547175,-5.13668165135904,-9.62304032118576,-4.35113007403998,-3.1909379085559,-7.68830622250345,-3.7989598132562
-68.1992402269112,-17.5865959220633,-13.6004790498882,-6.24415900653599,-14.2449497159312,-8.38464944431003,-7.1725177597783
