"row_num","gen_method","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","lambda_ICE_3","lambda_PHEV_3","lambda_BEV_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","lambda_ICE_4","lambda_PHEV_4","lambda_BEV_4","class_intercept_4","b_Price_5","b_Acceleration_5","b_OpCost_5","b_hev_5","b_phev20_5","b_phev40_5","b_bev_5","b_bevRangeRel_5","b_noBEVFC_5","b_american_5","b_chinese_5","b_japanese_5","b_skorean_5","lambda_ICE_5","lambda_PHEV_5","lambda_BEV_5","class_intercept_5","b_Price_6","b_Acceleration_6","b_OpCost_6","b_hev_6","b_phev20_6","b_phev40_6","b_bev_6","b_bevRangeRel_6","b_noBEVFC_6","b_american_6","b_chinese_6","b_japanese_6","b_skorean_6","lambda_ICE_6","lambda_PHEV_6","lambda_BEV_6","class_intercept_6","LL1","LL2","LL3","LL4","LL5","LL6","LL7","LL8","LL9","LL10","LL11","LL12","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","gradNorm7","gradNorm8","gradNorm9","gradNorm10","gradNorm11","gradNorm12","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
1,"beta_var_val",-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-0.06464181136,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-0.06398220104,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-0.06332259072,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-0.0626629804,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-9336.10183680542,-8441.21734152348,-8282.98601430273,-8282.92743524246,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.30557338155,1224.55282878594,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8282.92743524246,5,"pruned_test3_bad_gradient",1
2,"logit_random",-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.885853732856922,0.48685960337054,0.263013034095056,-0.153288952210693,-0.262732749706913,0.0624114716169582,0.180360913829444,0.0102572647514674,0.18505701864468,0.0701262341858362,0.226107601993933,0.0309525841729235,-0.259420771589974,-0.57327827984236,-0.124590335704268,-0.68586048238304,0.366887455838732,0.48931577314157,0.711718644252978,-0.0541562322046004,-0.112848067151392,0.0991456331420531,0.0592758347352313,0.0447629329450448,0.0121387979016246,0.246461935312003,-0.629382396280212,0.201723837175314,-0.927052213422227,-0.201333199365747,-0.86846191832483,-0.0474932047570274,-0.434785344543033,0.166285407012329,0.242264245371334,0.0287207925412804,0.140481490832526,0.015124492968186,-0.0273500109398884,-0.186378447803907,0.0769177364441665,-0.021781009932028,0.244328220220603,-0.25897313657162,-0.355768760061486,-0.458982099391389,-0.0912008269799181,-1.53099451673288,-0.103004542415063,-0.555818814557715,0.965164234703407,0.835356745971367,0.57362562162336,1.29981791330553,-0.101132789992446,-0.255333595646839,-0.341898882751159,0.125687066152888,-0.0213862741520417,0.082701053797275,-0.256072444068589,0.795029656135246,0.223044233588585,0.0280485206802689,-2.82967083709143,-0.133535174396896,-0.390610646481572,0.711415000292473,0.88058120965492,0.478716738708317,-0.477684242843914,-0.149722672061368,-0.0924740100921682,-0.154586252471739,-0.0189321320772195,0.0260284995864333,0.200414839761045,-0.480291020009137,0.273137613820939,-0.254679922929846,-0.0773164734298717,-2.08904702759707,-0.117671336643712,-0.782566056271804,0.776006289073266,0.705104449992068,0.47992411063984,-0.527318536167244,-9665.66244857587,-8303.42821766373,-8084.19459971613,-8067.81591322121,NA,NA,NA,NA,NA,NA,NA,NA,NA,2435.23527570951,844.062199679028,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8067.81591322121,5,"pruned_test3_bad_gradient",2
3,"logit_random",-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,0.67419874003157,0.215430199909024,0.0294260086491704,-0.0995620842160974,-0.324001447775707,-0.0871055685752962,0.13924824565847,0.0317746082773882,0.461849923913537,0.019502921642158,-0.360310732072751,-0.654596066545398,-0.13091965799495,-1.76435900884613,-0.0902369795494534,0.0547128191874626,0.626596752232872,0.49862176975701,0.186397380270064,-0.591028350897768,-0.175695275662128,-0.0380781912725697,0.0717938443625727,0.121120651571241,0.0303178376950307,0.0831112387815992,-0.222010194656691,0.537497667230866,-0.0515652330749908,-0.244123278221709,-0.0211129103924776,-0.0895364894997647,-0.55873947037622,0.119703888776712,0.316430689189583,0.222705961726606,-0.173613401434627,-0.0938949590096957,-0.152666784076307,-0.135336580554692,0.0579087527055845,-0.00250667353079171,0.0311952230068648,0.0109760807667149,0.587524878225393,-0.0737050871113874,-0.0850775428438443,-2.44857093037377,-0.0285947367369292,-0.193963650416014,0.75058334688656,0.357280921395868,0.778685551439412,1.03488545801032,0.0821640995929967,-0.0861606586313879,0.0145976113974428,0.053673878835407,0.0180803107757472,0.200915571791932,-0.221289219634369,0.728741972971452,-0.230244348314482,-0.0766723930102142,-1.48324767960633,-0.0799030611342924,0.311379447163624,0.334800478653051,0.659780704365112,0.415042628757656,0.304141812087475,-0.0434014536308567,-0.112166563008554,0.116905685833945,0.063982578548646,0.0272635059473781,-0.029664949561568,0.00898966498232379,0.518985889478881,0.111590904917953,-0.281857839148306,0.338007050607969,0.0361710460639466,-0.189470342617632,0.0180817797360942,0.929391960562207,0.0650890784710646,-0.282956673968266,-10197.3213003132,-8295.81413521646,-8095.16461286933,-8049.69854513366,-8036.32628965663,-8026.07059255267,-8023.57850766111,-8021.50072385156,-8020.35315991413,-8020.07556966952,-8019.95521594593,NA,NA,1483.58063946606,1388.71885808835,246.18886539212,278.42078353498,223.717274831285,107.768945611892,165.657394101798,139.730315728268,113.707416260848,1.07317554039232,NA,3,"test0_worse_conv",0,1,-8019.95521594593,3,"test0_worse_conv",3
4,"logit_random",-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,0.701687556202523,0.36959819230251,0.453475964735262,-0.121803389186635,-0.132039821982425,0.0198397129465968,0.106398663293584,0.0184115784255287,0.270268151881422,0.0578359891299991,0.352972884329999,0.266094690597116,-0.136537212056499,-2.54307676201489,-0.000741579185137294,-0.634215704806354,0.877638045768254,0.555736332214437,0.278203713805415,-1.01405050506505,-0.153976192089239,-0.0290618403480777,-0.196139362438514,0.0976787947863537,0.0448495983188176,0.237418497768627,-0.062682587205449,0.0937612361390492,-0.552640748979034,-0.146788065419043,-2.02523058439774,-0.104335042692394,-0.16468332373897,0.101240360173397,0.208025783989578,0.43740843641106,-0.74893552519784,-0.0260401169689809,-0.213967575732232,-0.147235704666567,0.110434985866121,0.0355491768882874,0.21643202712175,0.097535589796669,0.0725199886908732,-0.176135765124061,-0.16834089482386,-0.67242610345075,-0.0012716517154471,-0.909312672916716,0.145804912159219,0.796905127777718,0.574650389072485,0.102160442936821,-0.00884989365439114,-0.141461797584527,-0.087942588789901,0.0506544195373225,0.0252157920130407,0.10425567592901,-0.346780962338272,0.537143145506108,-0.425767678895838,-0.278493243442518,-2.57889058583559,-0.100621464056605,-0.248912068238917,0.0630685020517558,0.657852809955366,0.912131496877409,-0.296643279155455,0.0346305872469186,0.026043046274505,-0.190881791938695,0.130448902486277,0.0222408443769984,0.290890709341976,-0.570286807027225,0.505126425401381,0.254348896239804,0.029353575911069,-1.67058673542286,0.00440783707580622,-0.414104009614627,0.565850242418237,0.0489472459582612,0.447447884301655,0.966237213193454,-9673.10131521702,-8211.57947591016,-8052.18966714362,-8027.30508541107,-8027.30322102139,NA,NA,NA,NA,NA,NA,NA,NA,1002.39581811029,935.520470534325,574.720751727643,NA,NA,NA,NA,NA,NA,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8027.30322102139,5,"pruned_test3_bad_gradient",4
5,"logit_random",-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.221902657710016,0.742886021682061,0.185152029683813,-0.0220177578487729,-0.278063340662074,-0.39888513615997,0.120801099105044,0.00379379170623747,0.255761957740984,-0.16999337879178,0.484693362470269,-0.159778191908834,0.113604428067786,-1.44105906609083,-0.0650974308281752,0.272948119403218,0.847979026003741,0.114980680178851,0.309009046815336,0.0343736807369984,-0.0344677095085763,-0.0806047317938362,-0.121539005992091,0.166175189964629,0.019937281814258,0.0206714507279457,-0.365868466671529,0.198169684605283,-0.264785065336275,-0.0487820566051993,-2.95361726640925,-0.0723732754301962,-0.392746316964255,0.175795285338536,0.895465290551074,0.324056801963598,0.378384162223002,-0.104651107142736,-0.257078364493914,-0.277713164326368,0.018357656308262,-0.00397946163741983,0.252569727123743,-0.431632596092997,0.297084388051528,-0.581675303013017,-0.0739198719259233,-1.91723844755222,-0.0842654951491482,0.311477562752382,0.775013886285014,0.475571955684572,0.0369582862220705,-0.246557364217395,-0.0875800014154912,-0.0756338391211705,-0.133659562753235,0.199839897102198,-0.0224538419842849,0.313952044123372,-0.229177277459994,0.562620772917769,-0.828002096655428,-0.0477873585425559,-1.67603018242341,-0.0158774038226744,-0.260388007674708,0.438647347697988,0.662457763026468,0.748596886363812,0.786762939189623,0.0989285970200225,-0.127490112705947,-0.0889735671204619,0.0871094343529605,0.00938703736694842,0.117841605431793,-0.218366165137666,0.546194891424276,0.211183039034117,-0.22060886497935,-3.76651363741594,-0.141314667507818,-0.0975872933064353,0.212602346735075,0.842707844236866,0.570827070102096,-0.455287885145566,-9851.20049311384,-8229.79991672544,-8051.56872863496,-8023.26387231511,-8021.95384954369,NA,NA,NA,NA,NA,NA,NA,NA,1128.72806151119,542.861199536984,381.910901864482,NA,NA,NA,NA,NA,NA,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8021.95384954369,5,"pruned_test3_bad_gradient",5
6,"logit_random",-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,0.624987461329438,0.140049960147589,0.538978191604838,-0.127797129576185,-0.0417268056202652,-0.199214694213328,-0.00706532347317078,-0.0059396231409086,0.345605435586042,-0.136098545334769,0.461822330467948,-0.29657288397072,0.0854838880900569,-1.80523755544779,-0.169880642556855,-0.434240748078829,0.395211762483232,0.143358053257689,0.662739232121967,-0.425537802378237,-0.013034862570459,0.0764446018517688,-0.481154693957965,-0.0249185510261031,-0.00179797785690831,0.209389341053957,-0.305301139413788,0.509530920150093,-0.340777704402352,0.0516644900281328,-0.460037801183504,0.00164105203371449,-0.89355767739341,0.137243080502376,0.648693689419888,0.265520817744546,-0.109526134180569,-0.174460371543532,-0.190544435961543,-0.256282696505798,-0.0108858529267508,0.000998901632544284,0.0756078669584035,-0.0586165003532086,0.0142868013655467,-0.440882463146706,0.0472659902988315,-1.28022507323786,-0.0531276831843209,-0.00490580888973735,0.642333591128699,0.282561515383422,0.584687870559283,-0.650235349896601,-0.036269170973303,0.0130241731454592,0.0652191529771976,0.174275079722869,0.0300516642579111,0.197070087406196,0.0325273024435695,0.12052514778887,-0.240401530755678,-0.100062320429859,-0.727727904541279,-0.0710697545693396,0.0477824667652601,0.58313651737757,0.372271196539514,0.0265454527502879,0.150936473440297,-0.0544029055452308,-0.0185240910666857,-0.111300392731596,0.128327467770972,-0.00161887812675559,0.157668946497168,-0.0582420591708151,0.196183588584008,-0.16274922747697,-0.213636456649174,-2.56024845891937,-0.0369000264135848,-0.453884442618988,0.413868885799311,0.511085995463654,0.712206764179282,-0.255671962486723,-9650.35495073087,-8302.06164905495,-8079.17527638224,-8055.47262392528,NA,NA,NA,NA,NA,NA,NA,NA,NA,3606.11533684486,1069.78940414461,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8055.47262392528,5,"pruned_test3_bad_gradient",6
7,"logit_random",-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,0.479549244437367,0.521739922864363,0.618075629789382,-0.0944597915719685,-0.109716941928321,-0.150731716646354,0.0126207013401148,0.0225201359749669,0.242597842012939,-0.198880056514125,0.411556867611465,-0.32408436579496,-0.105012416595026,0.221383436432888,0.0108678477227839,0.528667497612538,0.637784777767956,0.503933576084673,0.962143624671735,0.356678799138128,0.0037463930264626,-0.167704967523131,-0.333879665692642,0.105431243653649,-0.0343423418336086,0.238928413245604,-0.402292086580783,0.193567959811916,-0.721266439302774,0.096928350603437,0.483359032898316,-0.000415864256044271,0.00641171221756043,0.0997566601354629,0.161173750380985,0.45949180431664,0.0450613294886651,-0.138134688554384,-0.109253184558495,0.137653416969296,0.0570293676756261,0.0241672531300018,0.152241290616544,-0.503526047239809,0.855408450379902,-0.316439624095416,-0.211080836337651,-1.85610088000484,-0.155376679236222,-0.322224902122006,0.560674127079546,0.304501083679497,0.136669066515751,0.6165034761886,-0.0117200550962901,-0.174673046690832,0.116716738634869,0.223764007940605,0.0190129662197065,0.212288808765996,-0.38652199392536,0.577581360890675,-0.146401423492993,-0.0401219447649773,-0.497007522927784,-0.159143852422208,0.0298043622772428,0.334187644049525,0.252987563461065,0.654809939949773,0.640972915951941,-0.0424195126750707,0.0191733270482476,0.125168810008834,0.0315371732394734,0.00855889178045679,0.141763034634822,0.0174418275631835,0.471720471817452,0.00267938039430909,-0.142740467101226,-0.000943199208024881,-0.13913585227877,-0.469099217498997,0.0851659875409678,0.630287923985161,0.175298765641637,-0.0203039047565768,-9618.71165450675,-8199.28577452486,-8050.53850879892,-8017.73084670303,-8013.60295067769,-8012.62077980694,-8007.7833342972,-8004.67987833499,-8003.96300181324,-8003.18039731273,-8002.38864881728,NA,NA,1428.85041563404,667.784704447684,222.17822575953,149.38568392259,30.2118731167045,162.414355618852,113.586448192798,44.9743367814105,65.7978401910077,2.35626014267334,NA,3,"test0_worse_conv",0,1,-8002.38864881728,3,"test0_worse_conv",7
8,"logit_random",-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,0.857346800053492,0.610036411811598,0.854001691639423,0.0805812147935416,-0.209019276034564,-0.153061360083236,0.0711360735133695,0.00710348011694325,0.223092869330531,-0.129536973655257,0.561619697948647,-0.148277187385065,-0.0603304651300501,-0.0291513800863321,-0.0289580296184768,-0.13032472326757,0.152790120132267,0.103796811518259,0.198551927725784,0.236406018564386,-0.0466505921070568,-0.0838487380763609,-0.134670731927495,-0.0380256007383466,0.00727598124913629,0.137661676776557,-0.10092590197004,-0.072515421477824,0.0139228384640828,-0.0638939546124252,-1.12212272740636,-0.00927465003923057,-0.603633169344943,0.463900137771852,0.561965959910303,0.201959124575369,-0.93351806172312,-0.0411822464039052,-0.149385321572237,-0.0336479214992131,0.143938174024341,0.0139850294756611,0.18159677743641,-0.0775301193334135,0.554283393988249,0.245445068764928,0.187528668449243,0.672317434237422,-0.105150870640815,-0.359497897318805,0.834344017440453,0.813025031397119,0.051281216670759,0.293198527614305,0.00764109654360692,-0.145875075525955,-0.223400471280837,0.0772909556195601,-0.0081846849600265,0.0978599156427806,-0.144797239110391,0.569969598657427,-0.486532644702809,-0.158101885477391,-1.46637466932555,-0.0786888553961071,-0.861925278387033,0.714600258423015,0.649332996546291,0.871538059255108,-0.178121798271033,-0.067135846690196,-0.0911102726853913,-0.200429493148301,-0.0437074468199931,-0.0060023155376496,-0.0316600468959976,-0.281705428572475,0.48753800243584,-0.593883160325653,-0.0780970743505492,-0.383824710146863,-0.145248070448122,-0.246846577965739,0.736617192775011,0.708407175079919,0.184743169201538,0.197580334594751,-10251.9314816711,-8368.85271354863,-8109.78053965255,-8053.02220157503,-8032.44188170153,-8025.49455316009,-8023.36551279266,-8022.75792031669,-8022.53485881234,-8022.45071970314,-8022.37731251351,NA,NA,3050.16306564824,810.965179420399,1052.82040518259,481.531936012862,323.487397016519,185.613785014464,167.125184499181,109.793108692985,89.0968055258299,1.16096691714906,NA,3,"test0_worse_conv",0,1,-8022.37731251351,3,"test0_worse_conv",8
9,"logit_random",0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,0.637746538082138,0.845757617191412,0.0434029314341024,0.0102542187774594,0.00975193477216532,-0.141229555825082,0.115339182595738,0.0374972997439749,0.105061617960644,0.126283136240146,0.160061376569333,-0.401567756847293,0.00489486150228816,-0.512581296315098,-0.0780596234085508,-0.464429931529186,0.738812468587421,0.377294126786292,0.126583511955105,-0.0883844847101298,-0.0490424190197093,-0.078448559962281,-0.0621793573482326,0.184705415706404,0.0169933976020426,0.265250134314467,-0.308888878174388,0.4066345370438,-0.570078643443487,-0.0437943688355986,-1.74222354949877,-0.0443618107485377,-1.2542358178213,0.611856253268197,0.51224120338913,0.911483793403022,-0.570264469549538,-0.0172136536802572,-0.0102440452043073,-0.0303854007944159,0.170294635940283,0.0236166005930221,0.363963503449884,-0.0291384926616461,0.110391555813607,0.238447914871159,-0.204947250928641,-0.112470435745733,-0.0992068708819416,0.155406185654605,0.051316924537532,0.275001877462491,0.912866220907308,-0.111769075224966,-0.0878988115631067,0.0958083745013213,-0.0906039152141285,0.032447546591401,0.0174265928649322,0.253130809827912,-0.00654651475036666,0.520311236734224,-0.41717657027376,0.021265749127336,-2.7483094030134,-0.0326605399042532,-1.04524969637231,0.957753310119733,0.0525661319494247,0.857366224280559,-0.308088990100616,-0.0888884946246359,-0.163279234281069,-0.145009160056335,-0.00101480075379608,0.0545513182910899,0.058579945079647,-0.258771514920717,0.428473344014238,-0.252330807047336,-0.104491481010825,-1.05625950279517,-0.039905877465257,-0.680894908690602,0.362425890294835,0.126726806843653,0.379027169700712,-0.749356563355442,-9590.88813500485,-8643.8343018955,-8090.41249118453,-8013.25832381813,-8004.53167750272,-8002.88847113797,-8002.51507157958,NA,NA,NA,NA,NA,NA,2671.59451325068,1390.94725319306,468.471258515377,223.106811389138,122.341769789919,58.08763515726,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",19,1,-8002.38881707089,3,"test0_worse_conv",19
10,"logit_random",-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,0.161469025830738,0.297850301484577,0.946001373231411,0.00519579669496309,-0.22868384127805,-0.260162219758618,0.0540226212429555,0.0116230272992851,0.266976184736921,0.0765154027209539,0.287083182515483,-0.42461999033645,-0.322956351046122,-2.73643821114547,-0.00456242783128318,-0.442814549385382,0.94660987184383,0.47998535072431,0.438344059232622,0.153713998886893,-0.0754525977444412,-0.196105431915178,-0.141080313503659,0.143236865383484,0.00945275159327684,0.28802484528721,-0.279163086805356,0.225612734475806,-0.556538225780844,0.0235243492202967,-1.13641991050993,0.00723389693339217,-0.58212895801552,0.23725705913268,0.396468733516522,0.348480707430281,-0.524690500016907,0.0159820256360939,-0.0251744194399883,-0.0913347097304514,0.141284879917668,-0.00847608446870756,0.308306178006741,-0.148499464890101,0.827596795529268,-0.12527301769981,-0.0979405972502786,-1.82196334463167,-0.0755732540143512,-0.215802628994956,0.852498801480979,0.261678248187527,0.824645526581444,0.0511689722574494,-0.143846401620616,-0.0747607261714726,-0.22291580830431,0.0411842951027707,0.019949063909629,0.0943535247778461,-0.496442963308854,0.743680952395034,-0.104822313796066,-0.247913479457828,-1.02505540296947,-0.0716327704126182,-0.414548056825417,0.417334360806271,0.384502892144956,0.261773377591744,0.531685835166633,-0.129034313880751,0.0177293586248842,-0.234985424095332,0.188628969181144,0.0491995807690964,-0.00537856601079598,0.257839811572728,-0.14042803624503,0.319711461823224,-0.146615659343258,0.257718069041475,-0.0642159947682974,-0.55310456806769,0.673047794168815,0.550450170366094,0.814677124097943,0.299323237619803,-9151.78601949737,-8220.59253895415,-8097.4849410032,-8032.60485880745,-8012.11587646919,NA,NA,NA,NA,NA,NA,NA,NA,1904.83289402069,1047.44601553254,370.506743996743,NA,NA,NA,NA,NA,NA,NA,NA,5,"pruned_test3_bad_gradient",0,0,-8012.11587646919,5,"pruned_test3_bad_gradient",10
