"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-3.02921452104589,-3.85830722020206,-5.52876399335122,-4.59901370616045,-5.20207851866074,-6.26248874232549,-3.4172306758548
-6.23392788954118,-2.65742538611384,-9.78725746726047,-4.93746708596566,-4.02190352544178,-9.95756835187478,-3.21095600147916
-2.74419235912163,-2.02834706380765,-1.32845192271154,-3.27283117232902,-2.60486966849606,-3.8826608555843,-1.68202695622701
-39.7510837152813,-36.8069459940474,-67.0742810941578,-43.2336787826134,-95.4472889614141,-26.6325378912088,-32.4361345383289
-18.533272915343,-17.6411342214871,-40.7142697086522,-33.2950558322968,-6.17400731307524,-40.9065399439507,-8.19971273609359
-5.11840482768395,-8.67694849329513,-11.6935150683383,-7.53628649058372,-10.9243154457202,-11.8955239761937,-5.61660796208125
-4.40868048209585,-4.02730824331476,-3.92193753920482,-4.49396833351905,-1.82667346728496,-9.17726445136237,-2.3223243162692
-4.42908457456632,-3.70678039135488,-7.50538253682197,-4.3282383681177,-13.4492574195484,-8.03136357629816,-4.07440798013213
-14.6915653990515,-7.99429141355871,-11.9186366412051,-12.0649811025977,-17.8612075683775,-7.83498094938442,-8.94604267511886
-2.46729211377954,-2.30770665882919,-2.43973240120086,-3.33553180691887,-2.69630656861638,-3.86401782222437,-2.44931478467482
-6.58854973837972,-8.17439265000589,-6.15080062689458,-9.41394165141819,-3.47748213923495,-12.1778734124472,-4.32160621955259
-11.6678495998641,-8.16056806708058,-9.2437283623697,-12.6416436998903,-20.0199618204548,-11.5026702387188,-8.91575971358589
-2.34113506001424,-1.44084220426917,-4.21028594507266,-3.49346549234071,-0.99948893328619,-2.54328422933282,-1.32803860638716
-65.6194539221376,-62.2104046592645,-43.7118105504755,-76.1694459879242,-19.3188482111714,-81.8618299249844,-26.7604269492209
-21.1548384107852,-11.7459233185876,-27.2837177644521,-27.2833940145238,-19.046369135798,-25.8652478992543,-13.6348415556741
-11.5102331248382,-8.39903872255875,-21.5326653983679,-21.2453300274236,-5.70570398450721,-34.3822044546429,-7.33665932219184
-15.6793437680565,-15.4087309343825,-17.5053568959658,-17.1116826457424,-5.58202966488768,-31.7651991097028,-7.38793293268369
-33.7755600058097,-13.8821634104315,-18.1499816201784,-24.6480293773927,-17.7233709492343,-46.6451245919719,-15.9034613365175
-26.1782000877033,-32.3347064988173,-15.360667989915,-27.7098767309743,-61.9798436758054,-25.2031032408342,-18.2383365603559
-14.0464133719233,-17.6590281375612,-35.4671804097603,-23.528828185135,-37.5170972245511,-30.0101534590932,-15.8643472848567
-27.1339770930545,-35.2439473853794,-23.7507104517897,-31.1378377468486,-53.8927730217851,-27.3380225889523,-26.2163624860522
-13.5118603314035,-19.5659245298069,-26.0774510861518,-20.2642292055178,-58.577247889749,-27.016543147691,-15.4460021370141
-6.13227322283534,-10.1267134272687,-16.5001091597594,-12.5551114483016,-14.9725733901163,-13.8851956483798,-7.04179935182809
-5.20062824906914,-4.76691784339798,-2.58883937631356,-8.08184974006037,-1.42015562836255,-4.38668480974445,-2.16508463834741
-4.08526851335747,-3.53912822423265,-3.10008957740575,-1.86958690887781,-4.66776402778398,-7.57841286617565,-2.41461872203858
-3.36672045089767,-1.29224380137659,-7.17329579368366,-2.27056630126574,-5.40832657042461,-8.65298139126578,-1.53886298972881
-5.76687537570343,-4.21141200441025,-7.31784317271231,-6.06307575720887,-6.67464615153714,-7.86963216649117,-4.54402745934927
-5.80548466081174,-7.55070031493487,-11.5176819229083,-10.111571587391,-7.74677241171318,-13.5616848656371,-6.68299819817119
-3.03224859925013,-2.13323427600201,-4.43698203063768,-3.41050364820987,-1.68631709056903,-5.53606978052314,-2.00871846403462
-3.65270560122413,-2.91071680798275,-3.54547585662087,-4.44809882045501,-0.802078526487496,-6.8686568729051,-1.1598820214551
-5.67266013924695,-5.9740266144397,-4.79699366289181,-7.905768265494,-5.06633160137979,-10.4005029725513,-5.26714354401118
-48.1442662960945,-46.0658392362642,-21.6357252685826,-60.5125530380589,-62.9502916112812,-64.3246799566955,-26.9316342191067
-5.77953991823877,-10.332299021366,-9.87989178892132,-10.7439766283006,-5.92550229944718,-9.82696531127091,-6.34165646488562
-4.08786089964798,-1.55282267090682,-4.81569019765208,-3.48948567690607,-3.73730686500425,-2.78916377236439,-1.88127016140069
-6.5776635229266,-5.21819470523617,-9.6316239305953,-6.10514755144837,-8.07770907473053,-11.1602562764017,-5.61184283522489
-9.47547770264717,-13.1100974076107,-6.88510771324534,-10.3302197159962,-18.6537169653965,-12.0898184661456,-7.8862332492888
-7.68913425072436,-7.67293410841461,-18.5547956888276,-6.4796723798672,-24.7309348495763,-20.483053771095,-7.40120359690679
-4.48853701946618,-4.00647888038729,-5.27953290422951,-4.95657080111762,-6.36488528829291,-4.97454895592017,-4.30743463383853
-3.86026757675754,-5.15533088579138,-8.41057131720541,-6.07608326808774,-10.039758662078,-4.48191813896446,-4.37047376753921
-8.99558062771156,-5.09849595387309,-8.42509969270588,-13.8409654492146,-7.18493420637278,-9.99973623884424,-5.85071421952051
-5.73667254202728,-4.2432341712563,-5.31830794572378,-8.55905290095286,-3.71810985060903,-4.01274938999597,-4.24175054622316
-3.47299258668083,-3.67419598589878,-7.28352072733579,-3.81424893538903,-10.3031063563218,-8.90124591087304,-3.7943989102343
-3.35732896538207,-1.74906704144678,-2.12250067324177,-2.30420842175302,-1.46329915508874,-3.88946018901534,-1.74171422658654
-2.90704012171035,-3.87125700513543,-4.3360999283579,-3.26004711115888,-4.44452788669542,-8.01918354607531,-3.26204218955794
-9.71467043687258,-14.7507324839648,-15.5071382612799,-14.604968062971,-22.5783013789402,-14.305200065004,-11.0860469652549
-4.8433966368297,-6.39274462250154,-6.04589768380943,-3.96978982719586,-10.5883763173433,-9.60396691063801,-4.57595477639908
-5.85692599081773,-12.4828874581092,-13.3681984931557,-10.6344928040616,-17.2431100501699,-13.3144519612593,-6.50638399377556
-8.22449314422624,-9.13296767008153,-6.55328089291079,-9.99121140248657,-9.63801844438408,-11.4253575357464,-7.23436802925201
-90.0136360431986,-73.6543472224039,-25.3048477865668,-46.8501701685548,-147.630565598704,-44.1389922585751,-33.1336610552639
-3.21678336501347,-1.85670510099106,-5.96308441505402,-4.31962066413949,-5.35124943582756,-4.10023901759121,-2.16796069199372
-8.23668797851366,-7.92152624985098,-17.0164033276032,-14.1884627427702,-11.1978466207934,-17.2272044683231,-8.46932631992098
-5.40605188067572,-3.04130809971352,-5.43986718871396,-6.39348146755372,-3.24472073705546,-5.03036239246507,-3.43223173034695
-7.45144932760902,-4.24537476450902,-14.0954703020981,-10.5687943819887,-10.8857980198839,-8.21502387192755,-5.03507507644994
-11.672461467113,-19.9121393798179,-27.5369679185641,-25.0390334979078,-23.4771515753845,-37.1381511156243,-13.5484018602991
-75.2161506815861,-60.6088175289339,-79.4607098317537,-98.9617782330274,-16.1739430992721,-115.57691490329,-25.1179823657003
-10.209965847935,-5.86629252706747,-11.8560394849005,-10.663833219043,-2.8797200779094,-20.5272790425898,-3.93133208096246
-2.59255408215408,-3.28759988701227,-4.89077445223728,-4.64463096516551,-3.46820481409491,-5.91337538393402,-2.96194767145452
-8.48450455153401,-7.47121994451231,-10.3158260456155,-13.7031703499207,-4.44188598793599,-10.7051788050387,-5.49338001030419
-9.14402741841118,-10.8375671875647,-21.8484937218261,-18.196764967646,-8.03598979833452,-28.4731785937648,-9.17191227489465
-3.70028764313696,-1.47070412851246,-2.61470289002815,-2.89238689846531,-1.27188126526864,-4.46239636298771,-1.57705304419203
-3.43884773813499,-1.94067596382899,-1.96951125619203,-2.16785066904181,-2.63803776155204,-2.99776001910344,-2.09694269690902
-6.5619328206067,-5.50674925200676,-5.87346494857748,-8.38930744228265,-3.12433968283629,-12.3040346737797,-4.12992506192899
