"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-7.32488262777791,-12.3755174331206,-8.32095487719987,-10.6298396407948,-27.7882782670356,-8.01473778229244,-8.15599184331026
-39.798871579655,-28.931281234906,-38.1378268750582,-14.0539960088182,-47.5705924974959,-84.733328476329,-17.9971353516786
-21.3791665319392,-36.8109279795521,-40.7647471777304,-42.6395520086423,-62.826183042173,-49.8547769009079,-24.4346708380421
-6.03320758462814,-6.11778416018643,-7.01135103032464,-11.2406287369595,-10.7287416049896,-4.33693245213386,-5.27159819835095
-14.4694933099417,-10.5533373282843,-25.4908861583976,-11.0019208306353,-21.6471308292107,-42.4157437976358,-11.5891994126465
-54.9169488559809,-86.9105277805411,-35.1678010762501,-104.06952626009,-92.6006631357872,-63.9010252518825,-41.1439671030819
-4.14599375499607,-6.44304984398223,-5.4794421557512,-7.77452897005213,-9.06149159098317,-7.59717275942788,-4.56543453044888
-13.375531835002,-24.5867923938194,-11.7167742616657,-23.9930438735276,-46.6360038435167,-8.52042876909006,-11.0957354335985
-2.89668331439379,-3.8033018526137,-5.40195218008277,-5.30840362725524,-5.0790559929029,-6.14509355977074,-3.31196585158638
-2.82010836874315,-2.20421259950009,-2.44651661740633,-4.78658120107209,-1.70707988469386,-3.87029701498836,-2.02964178476414
-3.2622197573848,-1.76928234336215,-4.7147745173229,-3.2566180858239,-1.00898873564233,-5.71318763708563,-1.3543220670626
-46.902569157524,-46.4035660552339,-27.0130665847893,-40.3826064850114,-48.3825364920378,-74.067616675346,-31.7795522378159
-8.48648724660247,-4.68286811443432,-12.0189904095246,-6.69937697598225,-9.07111774743671,-12.0397926373617,-5.28989095494964
-5.25783795303749,-5.28858235733955,-3.26514436617718,-5.12671477203512,-7.91869664510166,-9.94787691335461,-3.88114516492614
-2.654714296315,-2.79191254284376,-2.08371382721484,-2.53993644610953,-5.67609988507212,-4.55985004884526,-2.35326947188459
-16.3679663454679,-12.89552164948,-8.49967343105658,-15.9519543905417,-14.8128678682747,-31.0379732839076,-10.1002884589479
-6.19133611965613,-2.69538355281555,-9.01413483513502,-3.81119217618427,-3.8556461382562,-10.3550391275604,-3.30405828699206
-6.05910154980719,-9.29560372978173,-13.4442910469109,-8.5079673555915,-11.9364848556738,-12.0100824929152,-6.92040541691289
-5.42306205166873,-2.32146900099885,-11.2117715653195,-3.06512349296999,-3.84588981486338,-7.91244688578333,-2.67411763826116
-4.20115971054191,-1.83686773420324,-4.57429788643564,-6.50417707893665,-4.32361531156813,-1.7983925123799,-2.13433868894716
-6.19531571958637,-5.51654613162725,-9.32659408726833,-10.8126391315917,-1.94522930890393,-15.4657259971421,-2.71068656232897
-3.96156771213962,-5.29768701627951,-4.8567874146956,-7.98658934113103,-9.49221909143838,-3.9827371664686,-4.49152743971144
-5.03687949480169,-3.39335176108846,-3.29616625481863,-7.51360888185899,-2.49355414341255,-9.92991002272733,-2.9681083945669
-9.85269488605904,-14.7392418743272,-17.4321612055655,-12.0989563565653,-21.9954184103331,-15.1411826185356,-10.8777458449401
-8.37878257054557,-11.9790881928034,-15.0001785826678,-15.7402329769983,-14.767914329931,-14.9993647375579,-9.5838061518281
-33.4623386816759,-44.475871134213,-53.9544201457465,-62.4001345543084,-87.946220836771,-19.1236569666607,-24.9983273799702
