"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-13.326401406205,-14.7819134004694,-14.5341701636729,-7.71509857001804,-10.3392289590379,-128.098468365176,-7.88285495539653,-8.68598993428431,-8.38696430062174
-3.68729248972137,-1.44514928074075,-4.32345106729198,-2.83395278967086,-4.01971129815218,-2.15635644803363,-5.7758461103484,-4.79639009576671,-1.80541176867706
-19.2105844104963,-30.0090954049528,-28.4476038700753,-13.2204147595084,-12.8146809559802,-206.625372517432,-16.189637542678,-10.3268593032206,-13.1289133048266
-5.5087758194761,-3.24650032861753,-4.73176266822246,-2.56766124491816,-5.22736941090229,-22.3949461243153,-4.3627797026513,-6.28749976567851,-2.96693025923771
-1.73357605907228,-1.76323412881295,-3.45879613883815,-2.41939584773706,-3.24230207867229,-4.79410072793416,-3.98903639393785,-3.87764042793716,-1.94489472334109
-3.03556121662624,-3.69795244671116,-2.62477084548263,-2.75499973292909,-2.52832790885646,-22.7796772397108,-2.12278585123535,-4.26594821137299,-2.48148403344187
-16.796067546044,-5.23661465570504,-8.13001559952017,-9.5421511751558,-30.3144851962689,-20.9176326963807,-17.7823642608757,-19.3053395740195,-6.90446447954867
-14.0346513160361,-8.89747168637768,-9.99174234053817,-6.62919517974763,-16.7048062570363,-43.1296206172506,-6.94850127316056,-10.9735657890699,-7.30015787839922
-4.15642133125943,-2.05095742944011,-3.25203397851246,-3.48206923498562,-4.3171748230467,-14.7136036028359,-5.77811771388412,-1.79845666391318,-2.37610930637803
-2.50593182673025,-3.14826407911143,-4.40605320459974,-4.273489222399,-4.00941443023536,-8.33371010187949,-6.93079618107492,-10.5018616080311,-2.95724400240715
-40.5414195848738,-46.5622921202854,-43.3894261920058,-27.4849026115295,-20.9641892853719,-300.792944881232,-20.3007765357001,-37.5504681091946,-22.3685642518647
-2.19143152145471,-3.5738673685788,-6.61952467341616,-5.34795876750915,-2.90782427770519,-5.21052201238387,-4.78735184398259,-10.6758043852776,-2.83817601030263
-12.0945556682678,-11.52444023541,-8.54622444844981,-10.5476549919943,-7.74637365422607,-90.9054137727864,-13.5120168928885,-11.8906316388126,-9.18350535581753
-3.25214012629368,-0.968703487919448,-1.98243137278516,-2.33766772607119,-5.61762688168645,-1.91742145936159,-3.0852660384316,-2.01253362369793,-1.32912360109701
-22.9024383741801,-12.1017364396453,-14.4001801363581,-19.7030765437285,-32.6971194874938,-70.4471175545071,-24.5249354984332,-19.4233025110533,-14.5631897896693
-27.5566041436912,-11.0905251739444,-16.5553476136815,-16.6215179727944,-35.150205972593,-7.73005021280157,-22.3794446949485,-42.9054624827834,-10.7665970595953
-7.36594744676316,-5.87657305762224,-9.28259749302882,-8.62227592890888,-4.7074714465819,-29.8466951507009,-6.09588736184077,-8.56491049305994,-5.97826952311322
-5.74791666125065,-3.45091639949213,-1.37945457778873,-3.70663180493251,-9.19430228099648,-17.7074284966804,-3.59115887693239,-4.97519346430418,-1.85234812710243
-13.104746971295,-7.97050220550271,-10.9726789598477,-10.9118984010014,-31.3562817421484,-5.99023075294335,-18.3369110626605,-32.4200237376375,-8.2459324288544
-9.031673931751,-8.65508499230913,-15.458609530868,-8.79019787584648,-12.7009602572922,-63.3414059661723,-14.6542721748617,-17.4881754009691,-9.44792320669731
-3.45554352249707,-4.92538379503751,-2.02980442260063,-3.77663696009049,-5.61473314189332,-23.7559742162108,-1.86165974424944,-5.7496547958664,-2.17268778544478
-5.49491925469685,-4.89150784198112,-11.5615899277442,-8.33013848642389,-15.2176996289707,-10.180503243235,-8.13902744808442,-17.6263203179839,-5.88046557818182
-58.1006797761032,-34.1136200829977,-67.3946387336429,-50.2421339843604,-89.0832898863172,-109.878749940234,-82.0216895682474,-67.1544959209428,-42.7299705418522
-65.8968757507378,-62.2556499038112,-37.0466421465157,-36.7247722125494,-68.9465320016085,-359.434321642169,-33.5805450999583,-91.3660769962655,-36.9260661611882
-32.3562846318214,-36.1967964553553,-41.9528366697813,-26.2741685923035,-18.1462236374074,-244.471109725528,-31.4349827946893,-27.5515948906104,-22.4840590458958
-26.4679303523165,-31.4936286938516,-20.1725689742499,-14.1816978000785,-43.3518864313822,-256.325204232415,-17.6289699717126,-24.4820158094422,-16.1495029729526
-5.89464586538727,-4.25113265247412,-7.55129479737523,-2.67301037031075,-6.83264898465542,-22.5165657718808,-5.40134649426782,-5.89405285888263,-3.08145555638745
-6.58785069758273,-7.24080952446176,-9.77516607254858,-7.17305667389747,-7.70564806527415,-14.9336253928844,-10.3090757881896,-12.4361781517562,-7.20579606402789
-2.80623356552883,-1.20583655417271,-2.72619709341085,-2.42892429265326,-4.69684265900113,-2.36020948657784,-3.49080479020171,-3.90316515436008,-1.56809266651082
-6.19315101902645,-5.13336465072142,-4.58513381692734,-5.08773787429201,-10.6033737535058,-18.9797781151131,-7.10478885296344,-7.00044276282824,-5.0201234737472
-2.01853445268329,-1.50608289151655,-2.16039184210483,-3.21625567331786,-4.58231647041758,-0.183960357631377,-3.37381218183816,-4.97076463444908,-0.719841290063083
-3.01298556969442,-6.36131198949495,-6.23714905796916,-7.19084584670924,-6.09903922231522,-37.3723402625495,-5.67460790082799,-15.2759761760411,-3.94281403310983
-1.84426754605809,-0.566133302129471,-1.2695725065215,-2.10146585326568,-2.35203313119278,-2.69957715312864,-2.7730069009746,-2.78188465707058,-0.913202248044722
-5.95531535024396,-10.6155242553078,-8.89059540215823,-6.28388957271149,-5.60267798604598,-58.2144682947042,-5.78024083575792,-4.54986459319763,-5.70010638851173
-8.83197554621876,-6.16556838679904,-12.2884238905875,-13.7881850091978,-7.62448285219082,-29.6156812261717,-10.384789509796,-10.0626057937205,-7.75693820586658
