"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-1.48195289454109,-5.09441152460048,-6.7341846237974,-7.31491413658165,-4.82779029474319,-7.65224699111947,-6.74153397824901,-20.1903239107112,-2.24825806102588
-15.2699333331974,-13.8140422961991,-10.9930905612593,-6.76009646693928,-8.88171090554609,-94.6878319418304,-8.80460064050916,-18.0906335558261,-7.69085036665426
-57.7370779489186,-37.6750621554482,-40.2033815702387,-21.9962881587279,-36.1012480054154,-223.768103108058,-42.3900695545986,-75.8892665754936,-24.9550662367588
-4.60621332661667,-1.67369145976061,-4.95378579389822,-3.39557923444416,-4.16143978431163,-2.4465805794479,-6.85312906589392,-4.25393276927157,-1.9506485161018
-30.0585753553367,-13.5703985476431,-9.21840601858413,-14.4943935019011,-24.8166860009782,-54.0781109383092,-22.7797398007801,-71.6500829932447,-10.843354668979
-7.12478460583277,-6.55221139271969,-6.99645448407615,-4.38028178809963,-4.03631275999503,-28.0103106547317,-7.31019624313391,-7.87935736315905,-4.53524295302703
-18.7059210600211,-25.9467228897159,-24.3110784549072,-12.972755384307,-15.9205706675067,-150.625111058454,-15.3469447260714,-14.3927426988545,-14.7845978941164
-6.56246987707142,-3.64817767394485,-4.43836902334767,-4.92603347054445,-5.76693743585514,-8.10680440611802,-7.05255587957922,-4.8975293947904,-4.00638571749142
-7.04085446240517,-3.32793770243108,-4.71443333580981,-3.01348331528409,-4.31811518157701,-16.081521551963,-4.88448236583024,-8.57152257793608,-3.35011837255128
-2.07407355707211,-1.73517294314204,-3.66980446304553,-2.62450438812022,-3.05738719731942,-3.8483179491451,-4.79739528650188,-6.30911248903546,-1.98145394210297
-4.30135859453634,-1.55836681221713,-2.48600481967892,-3.25299093752515,-4.50038675296794,-0.167638980367325,-4.52041497719177,-6.99478801239881,-0.678010210527889
-10.8209694238575,-5.48981174569298,-5.52870945690254,-8.36966167225783,-17.2000151867537,-15.6057768911931,-7.971030925394,-15.7394297323824,-5.85952057048161
-3.61530257447643,-5.72398129787019,-4.41268300673607,-5.09712273818155,-2.83630748213342,-25.328081497376,-6.46094605885763,-17.684443169486,-3.85029366382895
-8.74884621318612,-13.4452064970797,-13.681645235346,-16.426211247182,-10.9658096855837,-28.9051757649726,-17.1500736617884,-51.2368917294269,-10.639969041981
-11.0593257060021,-2.95132676190171,-3.16705122148156,-5.92116042355875,-8.90948254628803,-6.9478326095277,-7.78783385887056,-18.7577897545962,-3.41433018959079
-24.3494915688503,-5.36472769999681,-9.99978836368309,-9.7819606092184,-25.7027899323863,-18.2557887409343,-26.3801259502356,-25.1102676929411,-6.6740196505074
-17.4039252302949,-8.50741337847776,-8.77601686498473,-6.01293630366814,-14.686594507088,-30.049288334815,-8.42809306214114,-22.2954721062253,-6.84504198265151
-11.8659802453338,-2.98433329273651,-2.47969692659133,-5.13670242627554,-11.9979173084171,-4.47432101758631,-6.62190612246997,-14.169547976426,-2.86914093023651
-5.05663491157058,-2.11180471010349,-4.55828250973119,-4.0596513552871,-4.07016514828149,-11.090956299069,-6.00210120987594,-3.73212690018426,-2.46278991797189
-9.99313548204955,-3.41780815629525,-9.83889815644168,-6.74078290581602,-7.46171002696209,-1.84313102709105,-10.8449432491025,-18.2748321795048,-2.91844047286482
-2.37160730080027,-2.91682635082085,-5.85215637116761,-5.4125602519907,-3.35610744478313,-5.58127880111293,-7.36935597869054,-11.0039035612957,-2.82349948531099
-1.20208853489923,-1.8137419920449,-3.26304055398653,-2.9742092709839,-1.88874393028821,-5.83793280811227,-2.95859602551284,-5.25754164637905,-1.58601426449635
-23.2660969071522,-15.1348715656573,-13.6209456107026,-9.83225185636742,-17.6717280226446,-66.6889671080073,-15.3622837462346,-27.5637667576629,-10.8312420609854
-21.4641407847738,-10.5391076643079,-15.3074480255477,-8.78105873275608,-14.8042444463734,-43.3400683114139,-13.4089034655632,-21.6186649191355,-9.89633506493552
-77.5709904204809,-44.588112645017,-57.1468189002384,-31.7380929983891,-63.8441462695128,-263.874547388781,-65.4587707204504,-12.9868825299913,-20.7940187566913
-8.57670193771919,-4.71625980482208,-7.60288865957397,-3.66963880820225,-10.2560730427239,-13.7751108332756,-4.51445956994032,-17.5894816555352,-4.16862849637594
-44.8933198720879,-42.8172449335134,-36.3825613549889,-27.4462610044905,-20.5397060518836,-216.53642191984,-13.740763924044,-53.5451346299804,-16.8445260711364
-1.93149168535271,-3.4554747446602,-6.04846701552053,-5.72799581034921,-2.2767498027778,-4.49965035572178,-6.67402857718283,-19.1470858558477,-2.59633207980926
-11.2955017852711,-31.5967297808502,-29.0816297122786,-25.5523480300229,-23.9072053925448,-160.06817464664,-14.2350370978971,-68.6594897924416,-14.3377422346204
-45.1654992728493,-9.91899131786269,-28.8797519126649,-19.7634572890498,-38.1088219892781,-3.75708757240449,-34.9214346881002,-34.4536971028989,-6.63403428363469
-14.7822137205808,-7.76195773889404,-9.76461366278235,-5.47948583817046,-11.807324743418,-27.9998785906084,-7.84527044244475,-15.380890090312,-5.99178472951803
-4.0826399161044,-2.81935861480012,-5.93145449911522,-5.0253883502818,-5.51386864035551,-1.23782222386597,-4.00303582883918,-12.9601467848236,-1.94315200951436
-5.40197753968169,-1.2642771172856,-3.71078780213401,-2.6712836703112,-4.47833789146675,-1.94600337431635,-5.25066246016528,-3.52625701129694,-1.53282839727535
-4.76526075937884,-1.84940612237352,-6.11928578754306,-4.19603113654186,-4.89520822500991,-0.993346509579213,-8.33896034292649,-6.3468651571753,-1.66259384107232
-4.27861625118541,-3.13000282158753,-3.22047550106059,-4.61170563541631,-5.37324829765661,-7.16797268918411,-3.32838853499087,-14.6201469154149,-3.36074466743299
-3.53867241443482,-2.41729540391187,-4.18388399988466,-3.33966865495305,-4.40839491462022,-3.98374587976628,-3.93304193849676,-9.24256617904894,-2.69378873102191
