"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price",-0.0697017561492045,NA,NA,NA,NA
"b_Acceleration",-0.0800488471154658,NA,NA,NA,NA
"b_OpCost",-0.128964121859053,NA,NA,NA,NA
"b_hev",0.0956569832274443,NA,NA,NA,NA
"b_phev20",0.0230340563996955,NA,NA,NA,NA
"b_phev40",0.147132726274241,NA,NA,NA,NA
"b_bev",-0.194990555953136,NA,NA,NA,NA
"b_bevRangeRel",0.316467159858616,NA,NA,NA,NA
"b_noBEVFC",-0.215787939914889,NA,NA,NA,NA
"b_american",-0.116424341969575,NA,NA,NA,NA
"b_chinese",-1.26804920059027,NA,NA,NA,NA
"b_japanese",-0.0423193806331796,NA,NA,NA,NA
"b_skorean",-0.399254373308969,NA,NA,NA,NA
