"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_scalingFactor",0.11169587804599,NA,NA,NA,NA
"sigma_scalingFactor",0.0501990008953351,NA,NA,NA,NA
"mu_wtp_Acceleration",-1.2393446353758,NA,NA,NA,NA
"sigma_wtp_Acceleration",1.9051825706433,NA,NA,NA,NA
"mu_wtp_OpCost",-1.94561030069661,NA,NA,NA,NA
"sigma_wtp_OpCost",-1.48063402715524,NA,NA,NA,NA
"mu_wtp_hev",0.841747535372279,NA,NA,NA,NA
"sigma_wtp_hev",-6.14795797982569,NA,NA,NA,NA
"mu_wtp_phev20",-0.432331646235426,NA,NA,NA,NA
"sigma_wtp_phev20",3.58181225471234,NA,NA,NA,NA
"mu_wtp_phev40",0.361293466843636,NA,NA,NA,NA
"sigma_wtp_phev40",-1.44861403698001,NA,NA,NA,NA
"mu_wtp_bev",-4.97249703737411,NA,NA,NA,NA
"sigma_wtp_bev",14.9264497584566,NA,NA,NA,NA
"mu_wtp_bevRangeRel",5.2262497997167,NA,NA,NA,NA
"sigma_wtp_bevRangeRel",5.68709011240091,NA,NA,NA,NA
"mu_wtp_noBEVFC",-3.90222208407902,NA,NA,NA,NA
"sigma_wtp_noBEVFC",1.12201512379957,NA,NA,NA,NA
"mu_wtp_american",-0.859844310846984,NA,NA,NA,NA
"sigma_wtp_american",-4.8532569925496,NA,NA,NA,NA
"mu_wtp_chinese",-21.2678357127672,NA,NA,NA,NA
"sigma_wtp_chinese",-17.3070213784245,NA,NA,NA,NA
"mu_wtp_japanese",-0.378190936137933,NA,NA,NA,NA
"sigma_wtp_japanese",-1.57740176901683,NA,NA,NA,NA
"mu_wtp_skorean",-4.45882090729438,NA,NA,NA,NA
"sigma_wtp_skorean",-3.01758471787372,NA,NA,NA,NA
