"ID","Task","DupChoiceCol","OgChoice","is_chosen","TypeDup","prob_og","prob_dup","psi_prime"
1,1,1,2,FALSE,"phev40",0.125798786419702,0.0920845262548851,0.40246
1,1,2,2,TRUE,"phev40",0.836379571868813,0.445563676165969,0.26534
1,1,3,2,FALSE,"bev300",0.0378216417114852,0.0304835620313805,0.33993
1,2,1,1,TRUE,"bev100",0.349094928381023,0.225145086926767,0.39918
1,2,2,1,FALSE,"hev",0.441260810017311,0.266341902292774,0.46557
1,2,3,1,FALSE,"bev100",0.209644261601666,0.143329582049705,0.43775
1,3,1,2,FALSE,"phev20",0.399407287240413,0.238791491086049,0.54394
1,3,2,2,TRUE,"bev100",0.557702315624526,0.317169834253885,0.51604
1,3,3,2,FALSE,"cv",0.0428903971350607,0.0368203339698844,0.21879
1,4,1,2,FALSE,"bev300",0.279461952628554,0.186458956513788,0.40618
1,4,2,2,TRUE,"bev150",0.435444497840332,0.261323099187586,0.49082
1,4,3,2,FALSE,"phev40",0.285093549531115,0.186933283607089,0.44027
1,5,1,3,FALSE,"bev150",0.020637405093969,0.0163496629042402,0.3909
1,5,2,3,FALSE,"bev100",0.303570894776864,0.199611197655652,0.41022
1,5,3,3,TRUE,"phev20",0.675791700129167,0.379911688153,0.35727
1,6,1,2,FALSE,"bev400",0.186903509356914,0.136374012864093,0.32955
1,6,2,2,TRUE,"bev150",0.671548144939833,0.379158382469091,0.34244
1,6,3,2,FALSE,"hev",0.141548345703253,0.0940357459513102,0.56294
1,7,1,3,FALSE,"phev40",0.0871928223380711,0.0658646647888907,0.39164
1,7,2,3,FALSE,"bev400",0.0323775210145746,0.0266355467817472,0.3115
1,7,3,3,TRUE,"cv",0.880429656647354,0.460918534620596,0.26037
1,8,1,2,FALSE,"cv",0.0620153237648148,0.0490657465121275,0.34062
1,8,2,2,TRUE,"phev40",0.658538996754737,0.37574664210444,0.3144
1,8,3,2,FALSE,"bev100",0.279445679480448,0.184673538317102,0.42875
1,9,1,2,FALSE,"phev40",0.201735443009398,0.150129884556425,0.26477
1,9,2,2,TRUE,"phev40",0.756371142947692,0.421176653889572,0.18048
1,9,3,2,FALSE,"cv",0.0418934140429101,0.0362685524979976,0.20456
1,10,1,3,FALSE,"hev",0.124200855982965,0.100979015134166,0.19637
1,10,2,3,FALSE,"bev300",0.0480321446339612,0.0387037788721437,0.32671
1,10,3,3,TRUE,"hev",0.827766999383074,0.447104871132313,0.14819
1,11,1,2,FALSE,"bev400",0.300528261179865,0.197381970570458,0.41699
1,11,2,2,TRUE,"phev40",0.474225378522912,0.279379298218804,0.50019
1,11,3,2,FALSE,"bev100",0.225246360297223,0.151849672836111,0.44918
1,12,1,2,FALSE,"cv",0.21463061442076,0.137809699713123,0.56053
1,12,2,2,TRUE,"bev100",0.18894417974308,0.131144753038553,0.43095
1,12,3,2,FALSE,"bev400",0.59642520583616,0.339137110222618,0.45715
1,13,1,1,TRUE,"bev400",0.781817496060067,0.426380434791198,0.25895
1,13,2,1,FALSE,"bev100",0.0264845043449225,0.0213391008767672,0.35529
1,13,3,1,FALSE,"bev100",0.191697999595011,0.137882810840435,0.35345
1,14,1,1,TRUE,"cv",0.550722105702778,0.330906260760477,0.30375
1,14,2,1,FALSE,"bev400",0.393187381116268,0.249871056212587,0.3778
1,14,3,1,FALSE,"cv",0.0560905131809541,0.0479234625587189,0.20697
1,15,1,1,TRUE,"bev300",0.410330729081316,0.258283019550059,0.38078
1,15,2,1,FALSE,"phev20",0.0792349599451402,0.0652485864211572,0.24169
1,15,3,1,FALSE,"hev",0.510434310973544,0.310553182554573,0.33106
2,1,1,3,FALSE,"bev100",0.0323597127602732,0.0276248840296764,0.24533
2,1,2,3,FALSE,"bev100",0.804246461748083,0.440775078174232,0.11407
2,1,3,3,TRUE,"bev150",0.163393825491644,0.13203960090338,0.14309
2,2,1,2,FALSE,"bev100",0.0316680345264964,0.027078080324911,0.24343
2,2,2,2,TRUE,"bev400",0.480624857974987,0.290867984300015,0.40027
2,2,3,2,FALSE,"phev20",0.487707107498517,0.293843991933843,0.40467
2,3,1,3,FALSE,"phev40",0.747989880884253,0.40835355433828,0.36278
2,3,2,3,FALSE,"bev400",0.146354943172631,0.101959658104109,0.47181
2,3,3,3,TRUE,"bev300",0.105655175943116,0.0822237039028653,0.31207
2,4,1,1,TRUE,"bev400",0.375165762762666,0.242298327742903,0.35804
2,4,2,1,FALSE,"phev20",0.16195939776858,0.109107742192979,0.5184
2,4,3,1,FALSE,"bev150",0.462874839468754,0.288846512851709,0.32442
2,5,1,1,TRUE,"bev300",0.651437192610297,0.372758583635343,0.31576
2,5,2,1,FALSE,"phev40",0.0538821475796592,0.0460929761305,0.20815
2,5,3,1,FALSE,"cv",0.294680659810043,0.199078372675762,0.35544
2,6,1,3,FALSE,"bev300",0.198128660321645,0.142947218014174,0.33812
2,6,2,3,FALSE,"phev40",0.384186014015516,0.239031388125297,0.45076
2,6,3,3,TRUE,"bev400",0.417685325662839,0.253100261084478,0.48407
2,7,1,3,FALSE,"bev150",0.128675087075936,0.0989519526891954,0.30308
2,7,2,3,FALSE,"bev400",0.785862677412634,0.431521402177785,0.18094
2,7,3,3,TRUE,"bev400",0.0854622355114304,0.0734460821762305,0.14686
2,8,1,3,FALSE,"hev",0.710731576199487,0.406447287935663,0.1499
2,8,2,3,FALSE,"bev150",0.108951279912836,0.0843413838713159,0.31769
2,8,3,3,TRUE,"cv",0.180317143887677,0.144462090078,0.13269
2,9,1,1,TRUE,"cv",0.861309437594464,0.457165663611376,0.17383
2,9,2,1,FALSE,"bev300",0.110336646469428,0.0881515252538942,0.25384
2,9,3,1,FALSE,"cv",0.0283539159361083,0.024039796872771,0.2637
2,10,1,1,TRUE,"phev20",0.499366228226793,0.30108440853009,0.38344
2,10,2,1,FALSE,"bev100",0.432347930094631,0.271500111720875,0.35421
2,10,3,1,FALSE,"bev100",0.068285841678576,0.0584755462331548,0.18287
2,11,1,2,FALSE,"phev40",0.0708884434402957,0.0595309083460486,0.21674
2,11,2,2,TRUE,"phev20",0.0978281981049895,0.078443814050251,0.26537
2,11,3,2,FALSE,"bev400",0.831283358454715,0.444502854509212,0.24631
