"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price",-0.0575023885529111,NA,NA,NA,NA
"b_Acceleration",-0.0701908025545837,NA,NA,NA,NA
"b_OpCost",-0.104296912977954,NA,NA,NA,NA
"b_hev",0.0822198208652682,NA,NA,NA,NA
"b_phev20",-9.09657417124539e-05,NA,NA,NA,NA
"b_phev40",0.156830202427367,NA,NA,NA,NA
"b_bev",-0.225489117525251,NA,NA,NA,NA
"b_bevRangeRel",0.236495259692777,NA,NA,NA,NA
"b_noBEVFC",-0.243654783378031,NA,NA,NA,NA
"b_american",-0.069036151605635,NA,NA,NA,NA
"b_chinese",-1.05623283757901,NA,NA,NA,NA
"b_japanese",-0.0502781957675269,NA,NA,NA,NA
"b_skorean",-0.367643674050444,NA,NA,NA,NA
"lambda_ICE",0.662822002460588,NA,NA,NA,NA
"lambda_PHEV",0.58166715116647,NA,NA,NA,NA
"lambda_BEV",0.794350229074351,NA,NA,NA,NA
