"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.136451588660049,NA,NA,NA,NA
"sigma_b_Price",0.094089409374214,NA,NA,NA,NA
"mu_b_Acceleration",-0.189940440488106,NA,NA,NA,NA
"sigma_b_Acceleration",-0.259843269611076,NA,NA,NA,NA
"mu_b_OpCost",-0.220341033573359,NA,NA,NA,NA
"sigma_b_OpCost",-0.180933084456056,NA,NA,NA,NA
"mu_b_hev",0.176757903010641,NA,NA,NA,NA
"sigma_b_hev",0.692858572980836,NA,NA,NA,NA
"mu_b_phev20",0.00338697304390105,NA,NA,NA,NA
"sigma_b_phev20",-0.0672233382461758,NA,NA,NA,NA
"mu_b_phev40",0.156422227475541,NA,NA,NA,NA
"sigma_b_phev40",-0.18745927500288,NA,NA,NA,NA
"mu_b_bev",-0.444884356172091,NA,NA,NA,NA
"sigma_b_bev",-1.76122325863873,NA,NA,NA,NA
"mu_b_bevRangeRel",0.665099011278814,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.711965204868488,NA,NA,NA,NA
"mu_b_noBEVFC",-0.535022851188003,NA,NA,NA,NA
"sigma_b_noBEVFC",0.417004087174395,NA,NA,NA,NA
"mu_b_american",-0.211808531120053,NA,NA,NA,NA
"sigma_b_american",0.897650497200254,NA,NA,NA,NA
"mu_b_chinese",-2.4184594154594,NA,NA,NA,NA
"sigma_b_chinese",-2.12940212803219,NA,NA,NA,NA
"mu_b_japanese",-0.0880711622150929,NA,NA,NA,NA
"sigma_b_japanese",0.710635950431854,NA,NA,NA,NA
"mu_b_skorean",-0.615531620745383,NA,NA,NA,NA
"sigma_b_skorean",-0.744872393502831,NA,NA,NA,NA
