"Model","whole_AL","whole_AIC","whole_BIC","in_AL_1","out_AL_1","in_AL_2","out_AL_2","in_AL_3","out_AL_3","in_AL_4","out_AL_4","in_AL_5","out_AL_5"
"MNL",0.4283,18698.1,18793.1,0.4259,0.4366,0.4232,0.4476,0.4295,0.4219,0.443,0.3733,0.4259,0.4363
"NL",0.4304,18596.6,18713.5,0.4278,0.4395,0.426,0.4469,0.4312,0.4254,0.4457,0.373,0.4277,0.4395
"CNL",0.4302,18603.8,18720.7,0.4274,0.4405,0.4257,0.4471,0.4316,0.4232,0.4455,0.3732,0.4279,0.438
"LCL (2 cl.)",0.4453,17868.1,18065.4,0.442,0.4516,0.4407,0.4619,0.4452,0.4427,0.4604,0.3875,0.4434,0.4505
"LC-NL (2 cl.)",0.4478,17755.8,17997,0.4448,0.4558,0.4441,0.4603,0.4475,0.4465,0.4635,0.3873,0.4457,0.4537
"LC-CNL (2 cl.)",0.4483,17731.4,17972.5,0.4453,0.4531,0.4445,0.4612,0.4484,0.4452,0.464,0.3883,0.4466,0.4532
"LCL (4 cl.)",0.4703,16722.1,17124,0.4658,0.4827,0.4662,0.4812,0.4691,0.4668,0.4851,0.4097,0.4684,0.4708
"LC-NL (4 cl.)",0.4726,16638.3,17127.8,0.4686,0.4815,0.4694,0.4783,0.4707,0.4719,0.4883,0.4077,0.4703,0.4737
"LC-CNL (4 cl.)",0.473,16621.2,17110.8,0.4686,0.4853,0.4696,0.4808,0.471,0.4714,0.4883,0.4106,0.4705,0.4765
"LCL (6 cl.)",0.4811,16279.2,16885.6,0.477,0.4861,0.4782,0.4853,0.479,0.4694,0.4946,0.4207,0.4796,0.4775
"LC-NL (6 cl.)",0.484,16179,16916.9,0.4798,0.4902,0.4819,0.4868,0.4816,0.4823,0.4974,0.415,0.4821,0.4798
"LC-CNL (6 cl.)",0.4844,16163.4,16901.4,0.4801,0.4914,0.482,0.487,0.4822,0.4759,0.4983,NA,0.4824,0.4807
"LCL (8 cl.)",0.4903,15917.3,16728.4,0.487,0.4923,0.4893,0.4837,0.4889,0.4802,0.5056,0.4143,0.4898,0.4775
"LC-NL (8 cl.)",0.4931,15839.8,16826.2,0.4894,0.4995,0.4909,0.4854,0.4914,0.486,0.5074,0.4069,0.4928,0.4773
"LC-CNL (8 cl.)",0.4935,15820.7,16807.1,0.4903,0.4906,0.4937,NA,0.4919,0.483,0.5095,0.4089,0.4919,0.4938
"MXL (Pref, 100 dr.)",0.4792,16252.9,16442.9,0.4729,0.4866,0.4722,0.4855,0.4755,0.4776,0.4905,0.4173,0.4732,0.4822
"MXL (Pref, 500 dr.)",0.4819,16127.3,16317.2,0.4798,0.4978,0.481,0.4932,0.4811,0.4887,0.4958,0.4274,0.4808,0.4873
"MXL (Pref, 1k dr.)",0.4838,16040.9,16230.8,0.4793,0.4994,0.4804,0.4991,0.4819,0.4879,0.4992,0.4277,0.4825,0.4867
"MXL (WTP, 100 dr.)",0.4689,16728.6,16918.6,0.4661,0.4743,0.4635,0.4783,0.4678,0.466,0.4821,0.4055,0.4638,0.4778
"MXL (WTP, 500 dr.)",0.4707,16646.1,16836,0.4679,0.481,0.4681,0.4808,0.4707,0.4724,0.4875,0.4108,0.4682,0.4799
"MXL (WTP, 1k dr.)",0.4721,16580.7,16770.7,0.47,0.4796,0.4693,0.483,0.4714,0.4746,0.4862,0.4109,0.4688,0.4814
