"model_label","mean_AL","mean_psi","mean_cpu","rel_cpu","norm_accuracy","norm_psi","norm_cpu"
"MNL",0.423138936347264,0,0.00463700000000033,1,NA,0,0
"NL",0.424843963954317,0.156457806842265,0.0389933333333329,8.40917259722454,NA,0.341957051891615,0.0138943747659419
"CNL",0.424410336125162,0.107321544656373,0.0391020000000001,8.43260728919502,NA,0.234563936155303,0.0139383216963838
"LCL (2 cl.)",0.438828038244071,0.0686417614290039,0.0333209999999997,7.18589605348229,NA,0.150024692590597,0.0116003719581914
"LC-NL (2 cl.)",0.440712652130917,0.247553392673327,0.0958330000000001,20.6670260944562,NA,0.5410572348728,0.0368814503241961
"LC-CNL (2 cl.)",0.440200718472017,0.208227771419921,0.101787,21.9510459348702,NA,0.455106435874458,0.0392893646541039
"LCL (4 cl.)",0.462238505635607,0.172710148955495,0.0411363333333333,8.87132485083683,NA,0.37747846886365,0.0147610459800825
"LC-NL (4 cl.)",0.462616013932907,0.290426408719346,0.160176,34.5430235065751,NA,0.634761284985038,0.0629030209874901
"LC-CNL (4 cl.)",0.46490791241849,0.268012714501968,0.178071,38.402199698078,NA,0.58577350386203,0.0701401098241879
"LCL (6 cl.)",0.467796350475622,0.229100538298517,0.0476933333333331,10.2853856660189,NA,0.500726337946978,0.0174128253319811
"LC-NL (6 cl.)",0.470826022451848,0.333177647593097,0.245626666666666,52.9710301200451,NA,0.728199176676315,0.0974609458727494
"LC-CNL (6 cl.)",NA,0.299251119588253,0.262987666666666,56.7150456473254,NA,0.654048734895222,0.104482074640221
"LCL (8 cl.)",0.469587356750635,0.270752336663639,0.0539486666666672,11.634390051038,NA,0.591761272300114,0.0199426047696171
"LC-NL (8 cl.)",0.47102719663506,0.375785546472903,0.326374333333333,70.3848033929934,NA,0.821323781848133,0.130116885354321
"LC-CNL (8 cl.)",NA,0.350911848319709,0.355311,76.6251886995849,NA,0.766959371009348,0.141819440666117
"MXL (Pref, 100 dr.)",0.469860239117016,0.370178454132607,0.292578666666667,63.0965423046466,NA,0.809068818001523,0.116449255180413
"MXL (Pref, 500 dr.)",0.478858101331085,0.4289860626703,1.525251,328.930558550764,NA,0.937599805685759,0.614966113681272
"MXL (Pref, 1k dr.)",0.480142816446667,0.45753642446261,2.47731633333333,534.249802314678,NA,1,1
"MXL (WTP, 100 dr.)",0.460392474873299,0.312842766273085,0.278153333333334,59.9856228883576,NA,0.683754887144839,0.110615367567543
"MXL (WTP, 500 dr.)",0.464967761483112,0.355594660006055,1.29214333333333,278.659334339712,NA,0.777194210108434,0.520692803137434
"MXL (WTP, 1k dr.)",0.465896887554336,0.383864982137451,2.37504433333333,512.194162892639,NA,0.838982344604174,0.95863919812759
