model,psi_prime_real,psi_prime_small,psi_prime_big,cpu_per_call_real_sec,cpu_per_call_small_sec,cpu_per_call_big_sec
MXL1k_none_pref,0.458,0.255,0.0031,2.5677,0.000289,0.012413
MXL500_none_pref,0.429,0.254,0.0031,1.8366,0.000313,0.006003
MXL1k_none_wtp,0.384,0.268,0.0033,2.3070,0.000349,0.014328
LC8_NL_pref,0.376,0.457,0.0074,0.2736,0.002515,0.003745
MXL100_none_pref,0.370,0.206,0.0026,0.2065,0.000168,0.001068
MXL500_none_wtp,0.356,0.236,0.0029,1.2703,0.000283,0.007732
LC8_CNL_pref,0.351,0.411,0.0054,0.3024,0.002264,0.014490
LCL6_NL_pref,0.333,0.416,0.0068,0.2319,0.002289,0.003255
MXL100_none_wtp,0.313,0.212,0.0025,0.2069,0.000193,0.001487
LCL6_CNL_pref,0.299,0.314,0.0049,0.2453,0.001926,0.011751
LCL4_NL_pref,0.290,0.365,0.0060,0.1321,0.001225,0.001830
LCL8_none_pref,0.271,0.252,0.0031,0.0465,0.001019,0.001172
LCL4_CNL_pref,0.268,0.278,0.0044,0.1524,0.001139,0.007258
LCL2_NL_pref,0.248,0.361,0.0047,0.0819,0.000676,0.000987
LCL6_none_pref,0.229,0.195,0.0024,0.0453,0.001238,0.001193
LCL2_CNL_pref,0.208,0.191,0.0023,0.0949,0.000634,0.003780
LCL4_none_pref,0.173,0.119,0.0014,0.0386,0.000718,0.000735
NL_NL_pref,0.156,0.288,0.0039,0.0339,0.000331,0.000499
CNL_CNL_pref,0.107,0.126,0.0015,0.0352,0.000319,0.001976
LCL2_none_pref,0.069,0.018,0.0002,0.0302,0.000348,0.000387
MNL_none_pref,0.000,0.000,0.0000,0.0048,0.000202,0.000184
