"model","psi_prime_real","psi_prime_small","psi_prime_big","cpu_per_call_real_sec","cpu_per_call_small_sec","cpu_per_call_big_sec","cpu_per_call_epa_sec","psi_prime_epa","psi_prime_epa_ICE","psi_prime_epa_HEV","psi_prime_epa_PHEV","psi_prime_epa_BEV","psi_prime_epa_real_lineage","psi_prime_epa_created"
"MXL1k_none_pref",0.458,0.255,0.0031,2.5677,0.000252,0.017776,0.073366,0.0042848669527897,0.00411573208722741,0.0058865306122449,0.00337507692307692,0.00510123456790123,0.00424835294117647,0.00430583783783784
"MXL500_none_pref",0.429,0.254,0.0031,1.8366,0.00015,0.009034,0.036118,0.00369404291845494,0.00326557632398754,0.00559775510204082,0.00310828205128205,0.00436738271604938,0.00350136470588235,0.0038047027027027
"MXL1k_none_wtp",0.384,0.268,0.0033,2.307,0.000363,0.02236,0.089885,0.00552784246575342,0.00422534161490683,0.0103424489795918,0.00572107416879795,0.00579369458128079,0.0047856338028169,0.00595396226415094
"LC8_NL_pref",0.376,0.457,0.0074,0.2736,0.000785,0.001522,0.003788,0.00419121575342466,0.00685065217391304,0.00254897959183673,0.00354309462915601,0.0029043842364532,0.00577542253521127,0.0032816846361186
"MXL100_none_pref",0.37,0.206,0.0026,0.2065,4e-05,0.001612,0.007216,0.00416186643835616,0.00284698757763975,0.00283020408163265,0.00394549872122762,0.00557379310344828,0.00280504694835681,0.00494084905660377
"MXL500_none_wtp",0.356,0.236,0.0029,1.2703,0.000216,0.011656,0.043398,0.00482683219178082,0.00402708074534161,0.00958530612244898,0.00486680306905371,0.00484832512315271,0.0044999765258216,0.00501448787061995
"LC8_CNL_pref",0.351,0.411,0.0054,0.3024,0.001181,0.001907,0.004078,0.00351155821917808,0.00665906832298137,0.00159142857142857,0.00178176470588235,0.00291288177339901,0.00542985915492958,0.00241021563342318
"LCL6_NL_pref",0.333,0.416,0.0068,0.2319,0.00058,0.000989,0.0022,0.00322994863013699,0.00424341614906832,0.00200387755102041,0.00359194373401535,0.00222551724137931,0.00369392018779343,0.00296357142857143
"MXL100_none_wtp",0.313,0.212,0.0025,0.2069,9.4e-05,0.00276,0.009216,0.00333710616438356,0.0025238198757764,0.00405775510204082,0.00348657289002558,0.00375120689655172,0.00256152582159624,0.00378238544474394
"LCL6_CNL_pref",0.299,0.314,0.0049,0.2453,0.000546,0.000927,0.00257,0.00228628424657534,0.00435813664596273,0.00143204081632653,0.000974757033248082,0.00200926108374384,0.00362776995305164,0.0015161051212938
"LCL4_NL_pref",0.29,0.365,0.006,0.1321,0.000458,0.000738,0.001635,0.0027021147260274,0.00261574534161491,0.00131265306122449,0.0033681074168798,0.00229692118226601,0.00236258215962441,0.00289704851752022
"LCL8_none_pref",0.271,0.252,0.0031,0.0465,1e-04,0.000234,0.00065,0.00225159246575342,0.00443270186335404,0.00108734693877551,0.000841841432225064,0.00201992610837438,0.0036580985915493,0.00144408355795148
"LCL4_CNL_pref",0.268,0.278,0.0044,0.1524,0.000278,0.000569,0.001365,0.00214591609589041,0.00335565217391304,0.00122163265306122,0.0010120716112532,0.00238997536945813,0.0028556338028169,0.00173845013477089
"LCL2_NL_pref",0.248,0.361,0.0047,0.0819,0.000252,0.000453,0.000801,0.00220267123287671,0.00210711180124224,0.00116979591836735,0.00316391304347826,0.00147738916256158,0.00190572769953052,0.00237315363881402
"LCL6_none_pref",0.229,0.195,0.0024,0.0453,8.9e-05,0.000185,0.000514,0.00141518835616438,0.00226357142857143,0.000641428571428571,0.000590690537084399,0.00162975369458128,0.00190542253521127,0.00113373315363881
"LCL2_CNL_pref",0.208,0.191,0.0023,0.0949,0.000218,0.000361,0.000822,0.00138645547945205,0.00192111801242236,0.00084469387755102,0.000851483375959079,0.00154300492610837,0.00167103286384977,0.00122307277628032
"LCL4_none_pref",0.173,0.119,0.0014,0.0386,9.3e-05,0.000198,0.000464,0.000890770547945206,0.00105164596273292,0.000379795918367347,0.000466470588235294,0.00123347290640394,0.000928920187793427,0.000868867924528302
"NL_NL_pref",0.156,0.288,0.0039,0.0339,8.9e-05,0.000155,0.000407,0.00102513698630137,0.000924565217391304,0.000600612244897959,0.00178992327365729,0.000419605911330049,0.000872981220657277,0.00111249326145553
"CNL_CNL_pref",0.107,0.126,0.0015,0.0352,8.6e-05,0.000132,0.000307,0.00040791095890411,0.000415186335403727,0.000263265306122449,0.00031695652173913,0.000507192118226601,0.000394600938967136,0.0004155525606469
"LCL2_none_pref",0.069,0.018,2e-04,0.0302,7.5e-05,0.000111,0.000232,0.000480256849315069,0.000616801242236025,0.000380612244897959,0.000381483375959079,0.000479113300492611,0.000548427230046948,0.000441118598382749
"MNL_none_pref",0,0,0,0.0048,8e-06,2.3e-05,7e-05,0,0,0,0,0,0,0
