"model_name","cores","inter_draws","intra_draws","batch_number","sys_elapsed_seconds","proc_user_seconds","proc_system_seconds","proc_elapsed_seconds","proc_total_cpu_seconds","timestamp"
"MXL1k_none_wtp",1,1000,0,1,3.14151558876038,2.62999999999993,0.509999999999991,3.14300000000221,3.13999999999992,"2025-11-14 16:20:39.835"
"MXL1k_none_wtp",1,1000,0,2,3.08041830062866,2.63600000000006,0.440000000000009,3.07799999999988,3.07600000000007,"2025-11-14 16:21:11.251"
"MXL1k_none_wtp",1,1000,0,3,3.10659739971161,2.63400000000001,0.462999999999988,3.1070000000007,3.097,"2025-11-14 16:21:42.056"
"MXL1k_none_wtp",1,1000,0,4,3.11684799194336,2.62399999999998,0.490000000000009,3.11700000000128,3.11399999999999,"2025-11-14 16:22:13.123"
"MXL1k_none_wtp",1,1000,0,5,3.10054130554199,2.66700000000001,0.427999999999997,3.1,3.095,"2025-11-14 16:22:44.292"
"MXL1k_none_wtp",1,1000,0,6,3.08980071544647,2.58099999999995,0.499000000000001,3.08999999999942,3.07999999999995,"2025-11-14 16:23:15.299"
"MXL1k_none_wtp",1,1000,0,7,3.12838370800018,2.62200000000012,0.48599999999999,3.12999999999884,3.10800000000011,"2025-11-14 16:23:46.198"
"MXL1k_none_wtp",1,1000,0,8,3.09937651157379,2.60299999999988,0.494000000000005,3.09800000000105,3.09699999999989,"2025-11-14 16:24:17.482"
"MXL1k_none_wtp",1,1000,0,9,3.09504380226135,2.58299999999999,0.503999999999996,3.09599999999919,3.08699999999999,"2025-11-14 16:24:48.477"
"MXL1k_none_wtp",1,1000,0,10,3.11457509994507,2.60699999999997,0.502999999999997,3.11499999999942,3.10999999999997,"2025-11-14 16:25:19.428"
"MXL1k_none_wtp",1,1000,0,11,3.10631420612335,2.62600000000002,0.476999999999998,3.1070000000007,3.10300000000002,"2025-11-14 16:25:50.574"
"MXL1k_none_wtp",1,1000,0,12,3.05879940986633,2.58600000000006,0.466000000000008,3.0570000000007,3.05200000000007,"2025-11-14 16:26:21.638"
"MXL1k_none_wtp",1,1000,0,13,3.14725861549377,2.65499999999993,0.481999999999994,3.14899999999907,3.13699999999992,"2025-11-14 16:26:52.227"
"MXL1k_none_wtp",1,1000,0,14,3.10745279788971,2.64200000000001,0.46400000000001,3.10599999999977,3.10600000000002,"2025-11-14 16:27:23.700"
"MXL1k_none_wtp",1,1000,0,15,3.10441341400146,2.58700000000008,0.509999999999991,3.10500000000175,3.09700000000007,"2025-11-14 16:27:54.775"
"MXL1k_none_wtp",1,1000,0,16,3.12107579708099,2.63799999999992,0.477999999999997,3.12200000000012,3.11599999999992,"2025-11-14 16:28:25.820"
"MXL1k_none_wtp",1,1000,0,17,3.08893280029297,2.60200000000004,0.475,3.08699999999953,3.07700000000004,"2025-11-14 16:28:57.031"
"MXL1k_none_wtp",1,1000,0,18,3.07166800498962,2.60300000000007,0.46400000000001,3.07200000000012,3.06700000000008,"2025-11-14 16:29:27.921"
"MXL1k_none_wtp",1,1000,0,19,3.15305290222168,2.63599999999988,0.513999999999987,3.15299999999988,3.14999999999986,"2025-11-14 16:29:58.639"
"MXL1k_none_wtp",1,1000,0,20,3.1137521982193,2.62100000000009,0.492000000000007,3.11199999999953,3.1130000000001,"2025-11-14 16:30:30.170"
"MXL1k_none_wtp",1,1000,0,21,3.08149521350861,2.56299999999992,0.521000000000004,3.0820000000007,3.08399999999992,"2025-11-14 16:31:01.308"
"MXL1k_none_wtp",1,1000,0,22,3.11503121852875,2.65,0.45,3.11399999999849,3.1,"2025-11-14 16:31:32.124"
"MXL1k_none_wtp",1,1000,0,23,3.11183478832245,2.58900000000012,0.518000000000006,3.11100000000151,3.10700000000013,"2025-11-14 16:32:03.276"
"MXL1k_none_wtp",1,1000,0,24,3.11261608600616,2.6,0.504999999999995,3.11300000000047,3.105,"2025-11-14 16:32:34.395"
"MXL1k_none_wtp",1,1000,0,25,3.10881700515747,2.58599999999988,0.522000000000003,3.10899999999965,3.10799999999988,"2025-11-14 16:33:05.521"
"MXL1k_none_wtp",1,1000,0,26,3.06902840137482,2.59200000000001,0.475,3.06900000000023,3.06700000000001,"2025-11-14 16:33:36.610"
