"model_name","cores","inter_draws","intra_draws","batch_number","sys_elapsed_seconds","proc_user_seconds","proc_system_seconds","proc_elapsed_seconds","proc_total_cpu_seconds","timestamp"
"MXL100_none_wtp",1,100,0,1,0.199578595161438,0.148000000000002,0.05,0.2,0.198000000000002,"2025-11-17 13:07:45.925"
"MXL100_none_wtp",1,100,0,2,0.196489500999451,0.163000000000011,0.0299999999999983,0.197000000000025,0.193000000000009,"2025-11-17 13:07:47.921"
"MXL100_none_wtp",1,100,0,3,0.198343086242676,0.158999999999992,0.0390000000000015,0.197999999999956,0.197999999999993,"2025-11-17 13:07:49.886"
"MXL100_none_wtp",1,100,0,4,0.21877589225769,0.185000000000014,0.0340000000000003,0.219000000000051,0.219000000000014,"2025-11-17 13:07:51.870"
"MXL100_none_wtp",1,100,0,5,0.197497701644897,0.152999999999997,0.0419999999999987,0.197000000000025,0.194999999999996,"2025-11-17 13:07:54.059"
"MXL100_none_wtp",1,100,0,6,0.198173499107361,0.155999999999995,0.0430000000000007,0.197999999999956,0.198999999999995,"2025-11-17 13:07:56.034"
"MXL100_none_wtp",1,100,0,7,0.198177003860474,0.170000000000005,0.0280000000000001,0.198000000000047,0.198000000000005,"2025-11-17 13:07:58.017"
"MXL100_none_wtp",1,100,0,8,0.217317080497742,0.175,0.0389999999999986,0.21899999999996,0.213999999999999,"2025-11-17 13:07:59.999"
"MXL100_none_wtp",1,100,0,9,0.197845911979675,0.168999999999983,0.029000000000002,0.197000000000025,0.197999999999985,"2025-11-17 13:08:02.173"
"MXL100_none_wtp",1,100,0,10,0.200298190116882,0.158000000000015,0.0429999999999978,0.2,0.201000000000013,"2025-11-17 13:08:04.152"
"MXL100_none_wtp",1,100,0,11,0.199166488647461,0.157999999999993,0.0400000000000006,0.198999999999978,0.197999999999993,"2025-11-17 13:08:06.155"
"MXL100_none_wtp",1,100,0,12,0.218535590171814,0.187000000000012,0.0310000000000002,0.218000000000029,0.218000000000012,"2025-11-17 13:08:08.148"
"MXL100_none_wtp",1,100,0,13,0.197080492973328,0.16099999999999,0.0360000000000014,0.198999999999978,0.196999999999991,"2025-11-17 13:08:10.333"
"MXL100_none_wtp",1,100,0,14,0.197565603256226,0.149000000000001,0.045999999999998,0.197000000000025,0.194999999999999,"2025-11-17 13:08:12.305"
"MXL100_none_wtp",1,100,0,15,0.198104000091553,0.158999999999992,0.0390000000000015,0.197999999999956,0.197999999999993,"2025-11-17 13:08:14.281"
"MXL100_none_wtp",1,100,0,16,0.217411613464355,0.180000000000018,0.0370000000000005,0.217000000000007,0.217000000000019,"2025-11-17 13:08:16.263"
"MXL100_none_wtp",1,100,0,17,0.197645688056946,0.16099999999999,0.0379999999999995,0.197000000000025,0.19899999999999,"2025-11-17 13:08:18.437"
"MXL100_none_wtp",1,100,0,18,0.197943210601807,0.153999999999996,0.0419999999999987,0.198999999999978,0.195999999999995,"2025-11-17 13:08:20.414"
"MXL100_none_wtp",1,100,0,19,0.199344801902771,0.157999999999993,0.0420000000000016,0.2,0.199999999999994,"2025-11-17 13:08:22.395"
"MXL100_none_wtp",1,100,0,20,0.217649698257446,0.17800000000002,0.0379999999999995,0.217000000000007,0.21600000000002,"2025-11-17 13:08:24.389"
"MXL100_none_wtp",1,100,0,21,0.198268008232117,0.15,0.0449999999999989,0.2,0.194999999999999,"2025-11-17 13:08:26.566"
"MXL100_none_wtp",1,100,0,22,0.197470903396606,0.15,0.0469999999999999,0.197000000000025,0.197,"2025-11-17 13:08:28.549"
"MXL100_none_wtp",1,100,0,23,0.197555804252625,0.162999999999988,0.0330000000000013,0.196000000000004,0.195999999999989,"2025-11-17 13:08:30.524"
"MXL100_none_wtp",1,100,0,24,0.217937898635864,0.168000000000006,0.05,0.217999999999938,0.218000000000006,"2025-11-17 13:08:32.501"
"MXL100_none_wtp",1,100,0,25,0.199345111846924,0.159999999999991,0.0389999999999986,0.2,0.19899999999999,"2025-11-17 13:08:34.680"
"MXL100_none_wtp",1,100,0,26,0.217173385620117,0.177999999999997,0.0390000000000015,0.217000000000007,0.216999999999999,"2025-11-17 13:08:36.674"
"MXL100_none_wtp",1,100,0,27,0.22269139289856,0.181000000000017,0.0389999999999986,0.223000000000047,0.220000000000016,"2025-11-17 13:08:38.847"
"MXL100_none_wtp",1,100,0,28,0.219125699996948,0.180999999999995,0.0370000000000005,0.21899999999996,0.217999999999995,"2025-11-17 13:08:41.074"
"MXL100_none_wtp",1,100,0,29,0.199068808555603,0.147000000000003,0.052000000000001,0.2,0.199000000000004,"2025-11-17 13:08:43.266"
"MXL100_none_wtp",1,100,0,30,0.197527694702148,0.163999999999987,0.0340000000000003,0.197000000000025,0.197999999999988,"2025-11-17 13:08:45.257"
"MXL100_none_wtp",1,100,0,31,0.197714591026306,0.160000000000014,0.0379999999999995,0.197999999999956,0.198000000000013,"2025-11-17 13:08:47.233"
"MXL100_none_wtp",1,100,0,32,0.217128992080688,0.176999999999998,0.0370000000000005,0.218000000000029,0.213999999999999,"2025-11-17 13:08:49.211"
"MXL100_none_wtp",1,100,0,33,0.197083401679993,0.151999999999998,0.045999999999998,0.196000000000004,0.197999999999996,"2025-11-17 13:08:51.383"
"MXL100_none_wtp",1,100,0,34,0.199666285514832,0.170000000000005,0.0260000000000019,0.2,0.196000000000006,"2025-11-17 13:08:53.354"
"MXL100_none_wtp",1,100,0,35,0.197672986984253,0.152999999999997,0.0439999999999998,0.197000000000025,0.196999999999997,"2025-11-17 13:08:55.352"
"MXL100_none_wtp",1,100,0,36,0.216882109642029,0.179999999999995,0.0370000000000005,0.217000000000007,0.216999999999996,"2025-11-17 13:08:57.329"
"MXL100_none_wtp",1,100,0,37,0.19792001247406,0.152999999999997,0.045999999999998,0.198999999999978,0.198999999999995,"2025-11-17 13:08:59.498"
"MXL100_none_wtp",1,100,0,38,0.197845196723938,0.163000000000011,0.0340000000000003,0.197999999999956,0.197000000000011,"2025-11-17 13:09:01.478"
"MXL100_none_wtp",1,100,0,39,0.200616908073425,0.173000000000002,0.0280000000000001,0.2,0.201000000000002,"2025-11-17 13:09:03.457"
"MXL100_none_wtp",1,100,0,40,0.218830108642578,0.176999999999998,0.0420000000000016,0.219000000000051,0.219,"2025-11-17 13:09:05.464"
"MXL100_none_wtp",1,100,0,41,0.1965735912323,0.16099999999999,0.0349999999999994,0.194999999999982,0.195999999999989,"2025-11-17 13:09:07.653"
"MXL100_none_wtp",1,100,0,42,0.199432706832886,0.15,0.0449999999999989,0.2,0.194999999999999,"2025-11-17 13:09:09.619"
"MXL100_none_wtp",1,100,0,43,0.199222803115845,0.158999999999992,0.0390000000000015,0.2,0.197999999999993,"2025-11-17 13:09:11.614"
"MXL100_none_wtp",1,100,0,44,0.21830620765686,0.181000000000017,0.0379999999999995,0.21899999999996,0.219000000000017,"2025-11-17 13:09:13.607"
"MXL100_none_wtp",1,100,0,45,0.198372578620911,0.157999999999993,0.0370000000000005,0.199000000000069,0.194999999999993,"2025-11-17 13:09:15.790"
"MXL100_none_wtp",1,100,0,46,0.19776611328125,0.158999999999992,0.0379999999999995,0.196000000000004,0.196999999999991,"2025-11-17 13:09:17.774"
"MXL100_none_wtp",1,100,0,47,0.197164702415466,0.148000000000002,0.0469999999999999,0.196999999999935,0.195000000000002,"2025-11-17 13:09:19.753"
"MXL100_none_wtp",1,100,0,48,0.21940450668335,0.171000000000004,0.05,0.221000000000004,0.221000000000004,"2025-11-17 13:09:21.725"
"MXL100_none_wtp",1,100,0,49,0.198939800262451,0.161000000000013,0.0349999999999994,0.198000000000047,0.196000000000012,"2025-11-17 13:09:23.919"
"MXL100_none_wtp",1,100,0,50,0.197622799873352,0.144999999999982,0.0539999999999992,0.198999999999978,0.198999999999981,"2025-11-17 13:09:25.909"
"MXL100_none_wtp",1,100,0,51,0.19947521686554,0.161000000000013,0.0370000000000005,0.2,0.198000000000013,"2025-11-17 13:09:27.886"
